track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Have It All,3nDcelgqa0pvLsFskOyhKt,MC Dino,Slow Motion Tragedy,0.749,0.428,0,-8.971,0,0.0421,0.32,0.0048,0.101,0.562,120.0
Bad Love,11Ih00HmuRIG4oD5sA1sYF,MC Dino,Slow Motion Tragedy,0.669,0.468,0,-8.471,1,0.0306,0.156,0.000477,0.111,0.124,122.95
Getting Higher - original,5dumMna956NmF5uWfwVeQF,MC Dino,Getting Higher (Original),0.625,0.988,2,0.615,1,0.126,0.00303,0.000118,0.161,0.495,173.979
Watching Us (Featuring MC Dino),0Vyamzc1NQvhRU63hJkH1w,MC Dino,Break The System,0.478,0.973,11,-5.866,0,0.123,9.43e-05,0.336,0.391,0.334,174.984
Underground,7DOjO39OYUpFlBzsCkKuxh,MC Dino,Underground / Bumbaclot,0.71,0.853,0,-4.792,1,0.0522,0.00528,0.834,0.114,0.155,89.007
Choke,2bnTRR1j2cO9RH8EWBtYVJ,MC Dino,Slow Motion Tragedy,0.806,0.634,3,-6.937,0,0.0382,0.0859,0.0152,0.0602,0.906,117.988
Pico Skank,628fFagjS5HsTpU7q12B4k,MC Dino,Have To Die EP,0.734,0.982,8,-1.253,0,0.151,0.00111,0.665,0.0474,0.44,87.0
The Forsaken,3Nvc6v3Ko3xku8aXsiXp3A,MC Dino,Raise The Hellfire,0.376,0.97,4,-2.283,0,0.347,0.000657,0.000153,0.147,0.141,173.918
Love Shot,6UY8xsZurn0gGmpI6je1Wi,MC Dino,Slow Motion Tragedy,0.889,0.713,1,-6.626,1,0.0624,0.323,4.73e-06,0.0928,0.561,131.96
Freak Show,0gnt9DbijeVcKTo0CbkEol,MC Dino,Freak Show,0.372,0.993,10,0.06,0,0.0923,0.00229,0.218,0.345,0.209,116.028
The Get Down,6KzvuwRxkZCN2ndMbeM6u2,MC Dino,Critical Mass Vol. 2,0.54,0.988,8,-0.423,0,0.243,0.00107,0.00207,0.294,0.221,174.057
Vem Chama,6pB97xFGPCDq2wdfZQZDvW,MC Dino,Vem Chama,0.789,0.942,1,0.133,1,0.306,0.266,0.0,0.341,0.708,129.655
Bumbum em Câmera Lenta,7ax6e6VSq1gUZfJf3WrqTa,MC Dino,Bumbum em Câmera Lenta,0.699,0.838,8,-2.227,0,0.111,0.115,0.0,0.157,0.691,121.653
Rip Rt,3puhUOebVvYGEOkbVBjHlf,MC Dino,Midas,0.765,0.595,0,-7.018,0,0.0591,0.0468,0.0,0.131,0.698,114.981
Midas - Remasterizado,5giUj3RkhOrv8BsrNtugGO,MC Dino,Midas (Remasterizado),0.85,0.518,1,-7.054,1,0.114,0.0158,0.0,0.0887,0.372,134.888
Dia e Noite,7F8Np6bL8q7jedZ8g7bI0a,MC Dino,Midas,0.333,0.476,0,-6.163,0,0.0608,0.033,0.0,0.187,0.312,84.785
Cinderela,2uKifBn57H5VcijDdc7T4x,MC Dino,Midas,0.69,0.618,2,-8.02,1,0.0645,0.00335,0.0,0.144,0.481,147.996
Vai Passar o Tempo,4aFuwbc4DkIiE4V2xI9F88,MC Dino,Vai Passar o Tempo,0.656,0.399,11,-9.582,1,0.323,0.331,0.0,0.0873,0.338,89.688
Yoga,52B1qFaigYrYseFkYUGBQX,MC Dino,Midas,0.868,0.604,0,-5.672,1,0.0595,0.0283,0.0,0.096,0.387,123.004
Tchau Obrigado,0Q5FSRSjXcVjH5uAsT3KM1,MC Dino,Tchau Obrigado,0.848,0.554,6,-5.463,0,0.0932,0.0517,0.0,0.109,0.94,113.308
Sensacional,6WHi77GpcpoNgqPyxv6eOK,MC Dino,Sensacional,0.802,0.443,4,-9.738,0,0.168,0.34,0.0,0.111,0.779,144.953
Porsche Carrera,4txQkQtqgYAIb5lSgSmEQX,MC Dino,Porsche Carrera,0.918,0.741,8,-5.162,1,0.392,0.103,0.0,0.236,0.66,130.084
Era uma Vez,1FjHguugl1IcyZozzfdlp5,MC Dino,Era uma Vez,0.813,0.544,5,-6.073,0,0.0713,0.234,0.0,0.257,0.66,97.971
Tá Tendo Evolução - Remix,2Xfn6738d3r3ru9ANrFgyk,MC Dino,Tá Tendo Evolução (Remix),0.799,0.877,0,-5.676,1,0.107,0.0906,0.0,0.335,0.695,129.982
Tá Tendo Evolução,4I8LdtMohpYmEmuanp7lx0,MC Dino,Tá Tendo Evolução,0.849,0.895,4,-4.894,0,0.219,0.229,0.0,0.286,0.881,129.963
Midas,1RFE4tWFxonB6SLBXgZfud,MC Dino,Midas,0.8,0.501,5,-8.048,0,0.0974,0.039,0.0,0.0852,0.16,134.938
Final de Ano,6Vw07jr34qyRF0mGkeH0wi,MC Dino,Final de Ano,0.666,0.376,3,-4.504,0,0.67,0.253,0.00584,0.107,0.271,115.909
Ayrton Senna,5r3U06SGMbfkPkNceO7HOM,MC Dino,Midas,0.816,0.521,8,-6.277,0,0.202,0.157,0.0,0.727,0.697,130.051
Iate,182IFsWTkDWfhDdA9zcCnR,MC Dino,Iate,0.637,0.589,11,-6.187,0,0.406,0.238,0.0,0.0971,0.464,100.067
Mlk Classe A,2K3Ot2jrizunCZiajkZfUJ,MC Dino,Mlk Classe A,0.789,0.72,4,-3.143,1,0.0581,0.0927,0.0,0.057,0.758,130.049
É Que os Guri São Ruim,18b2YgRCWI5SICOjRXhj3W,MC Dino,É Que os Guri São Ruim,0.651,0.841,9,-3.329,1,0.347,0.325,0.0,0.486,0.699,127.964
