track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
My Little White Pony,46PRAC9BDGinxWR2Jw6chN,MCR-T,Farm Fantasies,0.652,0.778,1,-11.103,1,0.0473,0.0369,0.0313,0.307,0.369,170.037
My Barn My Rules,1bXW9UIZWmXtoSGXJvyyAm,MCR-T,My Barn My Rules,0.848,0.692,1,-11.519,1,0.101,0.00332,0.158,0.0811,0.64,147.001
"TITS, LIPS, HIPS, KISS (10/10 Remix)",3KkesrPkSGFZYXUHtk1Zfn,MCR-T,"TITS, LIPS, HIPS, KISS (10/10 Remix)",0.763,0.682,9,-7.723,0,0.0529,0.00091,0.837,0.0704,0.739,144.996
1-800-GHETTOLICIOUS,1xD29FMhqkCJ2KaTgKHoln,MCR-T,Tootsie Pop,0.87,0.837,11,-8.384,0,0.137,0.00143,0.0431,0.145,0.822,136.981
GIIRLSWORLD,47AVZ6U30HmixCjSfFQFda,MCR-T,GIIRLSWORLD,0.77,0.84,1,-5.691,1,0.0534,0.0181,0.101,0.12,0.406,155.014
Bitches like me,34SvOGLgayPHz4qtktNqdR,MCR-T,X-sex,0.764,0.706,6,-7.164,0,0.0583,0.122,0.36,0.123,0.92,151.022
Buurman Uit Berlijn,0FWaLpqG0Ze5PPJNOvaMdE,MCR-T,NOT THE SAME ≠ (2024),0.784,0.963,7,-4.867,1,0.222,0.0487,0.0128,0.08,0.663,170.022
Slut Commandments,5JxGIPcfHWiR4t5FoBUFFO,MCR-T,Tootsie Pop,0.77,0.929,4,-6.544,1,0.204,0.00374,0.557,0.354,0.711,75.01
MAKE ENDS MEET,4DUmt5ZC50OYRnRoTRfkUy,MCR-T,MY VOICE MY WEAPON OF CHOICE,0.874,0.629,0,-7.617,1,0.129,0.0765,0.438,0.0857,0.638,145.003
Up And Down,5FexuFbg6SeMFFxRojpWTg,MCR-T,Supply And Demand,0.826,0.902,6,-6.196,0,0.0924,0.0587,0.00128,0.0845,0.93,149.986
