track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Beat Is Jumping,4yM4Z1ifPXm4qFetMI659J,Morgan Seatree,Beat Is Jumping,0.667,0.889,8,-6.314,1,0.214,0.0613,0.00379,0.0651,0.37,142.085
Say My Name - Remix,6GOOcBV0wLoHrH5D9AWA32,Morgan Seatree,Say My Name (Remix),0.48,0.954,11,-4.078,0,0.079,0.0164,0.000594,0.1,0.471,140.067
Showstoppa - Radio Edit,6B4D1bqrHe3qzzh750Lr4F,Morgan Seatree,Showstoppa,0.775,0.983,7,-6.833,0,0.0625,0.24,0.0,0.337,0.86,135.018
Sippin' Yak - Morgan Seatree Remix,4E3klPai3AIiVkpkUuut63,Morgan Seatree,Sippin' Yak (Morgan Seatree Remix),0.654,0.985,0,-6.164,1,0.0767,0.171,3.78e-06,0.374,0.694,139.952
Say My Name - Sub Focus Remix,4FgVnU3X6rcmnd5ujsfoK6,Morgan Seatree,Say My Name (Sub Focus Remix),0.442,0.971,11,-0.573,0,0.0423,0.00451,0.0308,0.581,0.279,174.051
Say My Name - Dub Remix,2M3FZEyvrGDgsiXipszMbR,Morgan Seatree,Say My Name (Dub Remix),0.529,0.902,7,-5.301,1,0.0463,0.0876,0.0064,0.0637,0.342,139.9
Feel It - Morgan Seatree Remix,49iDzvrd1nZa2UGJoHhOkq,Morgan Seatree,Feel It (Morgan Seatree Remix),0.588,0.913,0,-8.032,1,0.0426,0.0222,0.163,0.588,0.567,136.991
Tell Me - Morgan Seatree Remix,1Y5VD2XnZ4MUBv5lrYdcQe,Morgan Seatree,Tell Me (Morgan Seatree Remix),0.551,0.906,6,-5.52,1,0.0431,0.208,0.000699,0.0556,0.363,140.037
Follow You,7M2rD1l5WwqMUXwioGehGD,Morgan Seatree,Follow You,0.693,0.886,3,-5.481,1,0.0342,0.0577,0.0701,0.338,0.568,140.022
Blessings - Morgan Seatree Remix,65S6FGMOl5n1qybM7FaYJH,Morgan Seatree,Blessings (Morgan Seatree Remix),0.542,0.981,11,-5.273,0,0.149,0.0648,0.004,0.456,0.375,140.046
Do Me Baby,5sHQnnzsZJSxTWb16oWVZH,Morgan Seatree,Do Me Baby,0.831,0.935,7,-4.244,0,0.042,0.051,0.131,0.241,0.769,124.001
Finally (with Alicia Keys) - Morgan Seatree Remix,6phrB4MUGsGALwBfOOj8O7,Morgan Seatree,Finally (Remixes),0.544,0.936,10,-5.355,0,0.128,0.19,0.083,0.103,0.246,140.034
Say My Name - Extended Remix,2o4jEBE8I1hk3BGkzcBGJP,Morgan Seatree,Say My Name (Extended Remix),0.636,0.928,11,-4.993,0,0.0805,0.00455,0.0021,0.0475,0.558,139.983
Good Life,1JddhbIQo64KbYvuM3fLlK,Morgan Seatree,KMS TREASURES REVISITED - Vol. 2,0.586,0.898,4,-9.561,0,0.0361,0.061,0.238,0.305,0.86,134.996
LBD (feat. HQA),7akbfAwNEgPdwLi5RR4hhN,Morgan Seatree,LBD (feat. HQA),0.711,0.9,1,-6.659,1,0.0393,0.00185,0.465,0.0587,0.809,129.994
Hit It! - Radio Edit,1pIKEwB8TZ526c4CHlrnR5,Morgan Seatree,Hit It,0.631,0.985,0,-5.063,1,0.0488,0.0695,0.016,0.382,0.783,140.07
Showstoppa - Extended,1VzqSfcZaUzzZBH23ep5K1,Morgan Seatree,Showstoppa,0.77,0.98,9,-7.066,0,0.0565,0.0185,8.5e-05,0.0237,0.881,135.013
Birds In The Sky - Morgan Seatree Remix,68EYMelCjRN6NmAGGLCLUo,Morgan Seatree,Birds In The Sky (Morgan Seatree Remix),0.566,0.893,10,-7.897,1,0.0394,0.163,0.787,0.089,0.248,139.944
Sippin' Yak (Morgan Seatree Remix) - Mixed,1NtA94t8riAYZpQwRpmMmJ,Morgan Seatree,GEWAH Selects,0.686,0.983,0,-7.126,1,0.0558,0.0904,0.00156,0.04,0.78,139.983
La Di Da,6WjNYsFmXdH7JWKFAwliFO,Morgan Seatree,La Di Da,0.655,0.87,9,-5.536,1,0.0361,0.223,0.0176,0.227,0.665,139.973
My Love Is Real,5BHQIcmpv2P3pGz4RBtkwi,Morgan Seatree,My Love Is Real,0.688,0.797,9,-7.752,0,0.0414,0.0065,0.0577,0.177,0.36,126.0
Chandler 95,4qVeuQn2IUhIRf8bdXXmFy,Morgan Seatree,Chandler 95,0.753,0.887,8,-5.942,1,0.102,0.0511,0.00577,0.198,0.265,126.978
The Strength feat. Tasty Lopez,70TC6Bjuth1GZjgWxO6MgE,Morgan Seatree,The Strength,0.754,0.828,1,-4.936,0,0.0368,0.015,0.000324,0.191,0.802,135.017
Positivity,7st9APZdwznnrV1IkJbIbU,Morgan Seatree,Positivity,0.725,0.774,0,-6.562,0,0.0586,0.0118,0.571,0.0811,0.601,126.997
Never Gonna Stop,5zz3OzoZ0pi898rJIG5auu,Morgan Seatree,Best Of Insomniac Records: 2025,0.528,0.97,8,-3.817,0,0.0423,0.107,0.84,0.108,0.526,144.985
Higher,6oJQ3n9RDh5WTdFuASYpX6,Morgan Seatree,Higher,0.697,0.961,7,-5.188,1,0.0526,0.00258,0.592,0.136,0.864,128.009
Groove Me - Original,0MGgy7PSMcOEoDHeceMjxr,Morgan Seatree,Something for Your Soul,0.721,0.727,7,-7.457,1,0.0754,0.00125,0.862,0.0925,0.0881,127.995
