track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I'm Not Alone - MPH Remix,1z6pTKnrEpokcfwked9cNx,MPH,I'm Not Alone (MPH Remix),0.749,0.96,6,-4.204,1,0.0881,0.00799,0.721,0.156,0.0589,135.025
Pushing (Intro),7ngqIMeAns9uAnsxFd3NVb,MPH,Refraction,0.657,0.639,5,-6.476,0,0.0756,0.00355,0.593,0.394,0.116,134.968
Euphoria,2O6mtr20D3AMB1mtjF9AcE,MPH,Substance,0.453,0.266,5,-11.035,0,0.0548,0.771,1.74e-05,0.284,0.0906,117.143
ABC's,73P8YjW0PLirC8MygBp3hj,MPH,ABC's,0.628,0.983,6,-4.484,1,0.0846,0.000963,0.0558,0.0799,0.857,139.967
North LDN,53yPOp97qI2i4PydJWk8vy,MPH,Refraction,0.719,0.93,11,-3.164,0,0.153,0.105,6.73e-06,0.215,0.546,137.977
Shoot To Kill,28oXcCC2XVz6lHkq11zg4D,MPH,Refraction,0.828,0.933,11,-5.145,0,0.432,0.0513,0.00121,0.631,0.964,135.032
Bouncin',6EDZ0cSwItIWsMlDo0iMet,MPH,Substance,0.688,0.926,1,-3.825,1,0.308,0.431,0.0,0.223,0.631,139.947
Promise,6mTaiZPlOEop2t4FLUEMUc,MPH,Crash & Burn EP,0.809,0.577,0,-6.731,1,0.0694,0.0109,0.135,0.444,0.202,129.972
Soothe,6M2efMtwZ5K8TiVKr6UrZp,MPH,Spend The Night,0.826,0.789,4,-4.334,0,0.193,0.0589,0.6,0.449,0.3,132.015
Lights On,6D5a5CV8ARtijH5pLUKEuK,MPH,Lights On,0.745,0.812,4,-4.98,0,0.0585,0.0344,0.0138,0.23,0.407,135.0
Substance,2m5Tt73oLPYJ9bLJ0kuG4R,MPH,Substance,0.925,0.909,6,-5.015,1,0.271,0.0157,0.00303,0.0601,0.585,132.027
Screamer,6oejP1jDCBj0M2kl6wumaS,MPH,Screamer,0.838,0.804,10,-5.275,0,0.235,0.347,0.829,0.0742,0.203,127.987
Cadence,70fplEUWEuEIaJ2peNpPxW,MPH,Refraction,0.813,0.84,10,-3.076,0,0.353,0.0115,0.643,0.522,0.463,134.91
Fiesta,6HQZTHthmIW0QIefnOsSh1,MPH,Fiesta,0.759,0.898,9,-4.261,1,0.195,0.000349,0.646,0.0389,0.293,138.012
Tremble (ft. Kim English) - MPH Remix,2dpnKA2CVuFwJrgY4AHAZC,MPH,Tremble (ft. Kim English),0.815,0.91,10,-5.424,0,0.248,0.25,0.011,0.133,0.623,135.027
Calling (feat. Ell Murphy) [MPH Remix],2ebVEKFjz2TpUTXrkdOvcf,MPH,Calling (feat. Ell Murphy),0.762,0.833,1,-7.266,1,0.203,0.0378,0.00503,0.169,0.612,134.874
Show Me,0fOYe1mfPRzQ64zvMcqA59,MPH,Show Me,0.732,0.654,10,-6.192,0,0.365,0.0594,0.056,0.31,0.24,135.021
Vulnerable,3avFI1prPiApAVgWSqgv5a,MPH,Substance,0.684,0.912,1,-5.893,1,0.0899,0.404,0.0594,0.125,0.175,139.888
Pre's,0RMO4XyRq6JEC60lnAsfWJ,MPH,Substance,0.874,0.722,11,-6.166,1,0.234,0.00357,0.491,0.0836,0.53,134.984
Funk Master,6bB9BQEsEJQQJJ2rT5ZnkL,MPH,Refraction,0.657,0.675,3,-6.631,0,0.111,0.0124,0.296,0.644,0.164,140.088
Endorphins,2SbOCHgR5Vxg8NYvrdQ2Sk,MPH,Refraction,0.831,0.69,1,-5.857,1,0.299,0.0238,0.0727,0.104,0.0445,138.099
Reach For You,2HMQxhTjVKyaL2TeorjmbX,MPH,Chemistry,0.562,0.78,1,-6.589,1,0.0507,0.0777,0.749,0.118,0.27,134.946
LA NYC,0IvrXoiEersp0bPYwCEMNC,MPH,Substance,0.828,0.958,10,-2.786,0,0.104,0.0509,1.84e-05,0.0778,0.354,134.986
Spend The Night,47S3zvHZpNTj0tgUNYjVOO,MPH,Spend The Night,0.875,0.831,10,-4.97,0,0.119,0.000784,0.888,0.137,0.651,131.961
Run,16iHE1uKRvAKd1Mt13udlV,MPH,Substance,0.755,0.809,9,-2.904,1,0.175,0.0152,0.166,0.048,0.471,135.059
Alone,1RHsONwpXcquKICISbiJxB,MPH,Alone,0.852,0.774,4,-4.732,0,0.272,0.2,6.72e-05,0.289,0.35,135.037
Rush,6wL3KiaYImEVwWWmO5InbZ,MPH,132.00FM,0.674,0.898,3,-4.406,0,0.128,0.0315,0.597,0.674,0.474,132.025
My Mind,2PQOSqKLsPRWoFhQWm0BJz,MPH,Refraction,0.64,0.942,7,-2.48,0,0.0979,0.0241,0.00352,0.188,0.477,136.946
Untouchable,4uL8aMOboWSKK0CWsW5KyD,MPH,Substance,0.85,0.949,7,-3.924,1,0.266,0.134,0.252,0.904,0.311,136.038
Against The Clock,0HWbcXeIvAV9xsbGiCb09t,MPH,Substance,0.868,0.89,7,-2.254,1,0.205,0.000306,0.00168,0.102,0.423,135.005
One Sixty,0ePErw4KttL2LvS4K76Iwz,MPH,One Sixty,0.865,0.982,10,-2.855,0,0.241,0.0088,0.000151,0.36,0.712,134.981
Hold On,6pCrx0kmrXsXlMfKK9KksT,MPH,Hold On,0.773,0.725,11,-4.474,0,0.103,0.213,0.00159,0.0693,0.248,138.103
Nova,4n6t4Vfm7d0Juz9hlsep9P,MPH,Nova,0.797,0.602,10,-7.231,0,0.141,0.149,0.845,0.109,0.478,131.998
See You In The Afterlife - MPH Remix,1NVlb4tRm4uD6xOU3vLcgr,MPH,See You In The Afterlife (MPH Remix),0.879,0.569,1,-5.837,1,0.331,0.0982,9.74e-06,0.407,0.337,131.934
Falling 4 U,7g041SdEW1CgvWxi5KT6rN,MPH,Falling 4 U,0.687,0.914,1,-2.586,1,0.0777,0.0674,0.121,0.121,0.215,140.011
Ghost,78rRLDGVaJXpGrLvk2VlQJ,MPH,132.00FM,0.844,0.945,1,-3.421,1,0.302,0.00516,0.0202,0.0866,0.852,131.924
R&R,4Tw1Yfo5aOcdlb18QyZo78,MPH,132.00FM,0.704,0.924,9,-4.767,0,0.0427,0.0481,0.53,0.0968,0.205,134.046
Haunted,1GYSph6IaJCku9IglGT71n,MPH,Refraction,0.589,0.839,10,-7.549,0,0.138,0.0182,0.355,0.309,0.138,139.933
Follow Me - MPH Remix,6GNOQvVneRCDtTGphpLvuO,MPH,Follow Me (MPH Remix),0.843,0.824,6,-4.409,0,0.297,0.0308,4.27e-05,0.287,0.443,131.838
-Sunrise-,1l8VMJC1N7fZF8COg6BXSM,MPH,132.00FM,0.881,0.844,1,-4.12,1,0.224,0.152,0.504,0.157,0.585,131.927
Compass,6ds08aMxIjhYxLUPsnh4gn,MPH,Compass,0.853,0.952,1,-3.254,1,0.152,0.0176,0.00498,0.129,0.735,135.046
Just Like,7irbhODkTYtv3aTOze7ts1,MPH,Refraction,0.773,0.939,1,-3.887,1,0.268,0.0124,0.553,0.228,0.79,131.837
Overrated,6VWDavwPns4qyPimkdBxP5,MPH,Overrated,0.666,0.785,10,-5.098,1,0.0653,0.0424,0.69,0.428,0.143,135.039
Toxic,3FEfbkYJlIRWMdHVRVbI3i,MPH,Toxic,0.709,0.852,6,-4.087,1,0.0672,0.00453,0.041,0.0978,0.608,129.997
All Of My Love,37ye3FcmmqWPrgctpbPzfJ,MPH,Together,0.781,0.841,10,-3.816,0,0.424,0.0953,0.06,0.313,0.494,132.006
Get Dumb,3UZn0r01qyD1UqckgmIsll,MPH,Get Dumb,0.868,0.94,6,-5.405,0,0.203,0.00485,0.00659,0.546,0.676,134.959
Easy,2VY3RmDNfIXeHA2X8Ezbj8,MPH,Easy,0.67,0.784,5,-4.415,1,0.0366,0.0863,2.01e-05,0.129,0.636,157.966
Run It,725Nbm1gC1jrxbYS68NZjO,MPH,Run It,0.786,0.828,6,-3.833,0,0.115,0.107,0.239,0.41,0.321,140.089
Records,26gFtbx0qvKBYp4EVK6HAf,MPH,Refraction,0.784,0.851,10,-5.736,0,0.0877,0.0212,0.431,0.0831,0.366,127.99
Doubt,7uQJer8Iyw9DxpwexyeCLV,MPH,132.00FM,0.896,0.898,11,-3.348,1,0.487,0.0796,0.108,0.328,0.665,132.052
Brainwashing,5UvZE7fZxHrukHbdKef3KA,MPH,Refraction,0.895,0.882,11,-4.624,1,0.224,0.0101,0.438,0.12,0.46,131.973
California,1blNJhFYnxkCBKYuUFQYcK,MPH,132.00FM,0.729,0.915,8,-4.909,0,0.0731,0.0153,0.757,0.0861,0.649,132.083
The Night (feat. Purple Velvet Curtains),1O5aDl6qjgN80CJJ9JHDgw,MPH,The Night (feat. Purple Velvet Curtains),0.869,0.899,8,-3.984,0,0.0617,0.0113,0.858,0.105,0.649,128.025
Nobody,4FWEg3SlEHt1iBYa5NG6eV,MPH,Summer Fruits,0.598,0.559,1,-6.409,1,0.0469,0.0214,0.357,0.112,0.312,135.14
