track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
You Make Me Horny,52tyA5PDC5veclwTVmvEEx,Nico Moreno,You Make Me Horny,0.716,0.979,4,-5.615,0,0.0806,0.11,0.74,0.141,0.17,160.01
Because They Want Our Seat,19P0dOcggnCTCIu51gsp5F,Nico Moreno,Spiritual Driveby,0.671,0.994,10,-6.214,0,0.0846,0.00159,0.853,0.224,0.143,160.003
Insolent Rave,3dDQ62IpPo5ELve35xfvZu,Nico Moreno,Insolent Rave,0.491,0.983,0,-6.998,1,0.0757,0.363,0.95,0.0783,0.417,155.013
Confined in Hell,3d7UZ5IntQFaNReyoFYSUh,Nico Moreno,Confined in Hell,0.548,0.964,6,-7.28,1,0.0658,0.0118,0.824,0.554,0.38,143.015
Purple Widow,04GyfkxwKrbaa9qrZTu3Pa,Nico Moreno,Purple Widow (Original & Remix Versions),0.594,0.978,2,-7.598,1,0.0634,0.0028,0.639,0.112,0.154,145.014
2 Be High - Holy Priest Remix,5AasW9NXAJMfvun0XOLECt,Nico Moreno,2 Be High (Holy Priest Remix),0.629,0.925,7,-5.596,1,0.332,0.000107,0.787,0.377,0.131,159.949
Make Sacrifices For Glory,6UL8kegWViNO7sOM0hH64L,Nico Moreno,You Can't Stop The Movement,0.613,0.987,9,-7.647,0,0.0828,0.061,0.847,0.117,0.0347,160.019
T'as Cru Quoi,6m6uSYYNuStRlQUKQz17b3,Nico Moreno,You Can't Stop The Movement,0.604,0.948,5,-5.784,0,0.0876,0.000545,0.544,0.273,0.0336,155.031
Listen To My Acid,2Lk33v2irG9bnIgqH0cG8I,Nico Moreno,This Is For My Haters,0.649,0.994,5,-7.076,1,0.108,0.00481,0.533,0.157,0.0346,146.006
2 Be High,3uJu9affvKImT1msXqFwTj,Nico Moreno,2 Be High,0.587,0.936,1,-6.07,1,0.0823,0.00145,0.661,0.667,0.309,155.028
Queen of the Banshees - Nico Moreno Remix,1RM4nxRkTwXtOKilbWtsKk,Nico Moreno,Queen of the Banshees,0.646,0.989,1,-7.244,1,0.054,0.000255,0.868,0.62,0.342,144.978
This Is For My Haters,0LFiawtiKcP3qF91gl2mTp,Nico Moreno,This Is For My Haters,0.539,0.98,1,-8.112,1,0.0861,0.00182,0.767,0.212,0.0385,144.992
