track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Dead Rock Commandos,4qBh3lrE2YiD3qlc3quiJZ,Nightstalker,Dead Rock Commandos,0.431,0.871,10,-6.378,0,0.0456,0.000599,0.421,0.141,0.266,93.011
Heavy Trippin',6yNV6mjICQiY4aqDLBVsWN,Nightstalker,Return From The Point of No Return,0.477,0.819,0,-6.186,0,0.0416,0.0183,0.405,0.0994,0.466,151.915
Children of the Sun,5o6F1CKTMWh1V8sc6wNi6O,Nightstalker,Dead Rock Commandos,0.497,0.475,10,-7.379,1,0.0324,0.0424,0.577,0.391,0.136,129.943
Go Get Some,7zSIJrCE2NGJMNaV82XDAo,Nightstalker,Dead Rock Commandos,0.44,0.889,3,-5.718,1,0.0348,0.00114,0.0163,0.182,0.139,144.885
Space Matter,20T2nX0Ri6LBwAekXH2trW,Nightstalker,"As Above, So Below",0.36,0.893,2,-6.849,0,0.0609,0.000627,0.19,0.088,0.381,152.628
Heavy Mental,5du0MZku8zYiFf2Sd4BSRb,Nightstalker,Superfreak (Remixed & Remastered 2021),0.447,0.703,6,-6.603,0,0.0304,0.00068,0.106,0.117,0.309,98.065
Stain,1xghGOtZzc6mI3vzJ5cA0S,Nightstalker,Superfreak (Remixed & Remastered 2021),0.519,0.395,9,-7.745,1,0.0272,0.0922,0.0513,0.111,0.291,80.056
Seven out of Ten,0opwTkE90Dyij7fsYjrmwH,Nightstalker,Great Hallucinations,0.246,0.915,5,-5.813,1,0.0435,5.88e-06,0.606,0.118,0.206,139.589
Superfreak,2cBvM6PZG5FobcvzGwuFtl,Nightstalker,Superfreak (Remixed & Remastered 2021),0.384,0.911,6,-6.625,0,0.05,0.00036,0.629,0.319,0.342,103.983
Use,3R53OoeDkVfrth5gZuGsZd,Nightstalker,Use,0.393,0.762,7,-4.71,1,0.0365,3.67e-05,5.18e-06,0.108,0.0797,136.008
The Underdog,6YFnZndLrFv7Tg5RpRkPVO,Nightstalker,Dead Rock Commandos,0.426,0.835,3,-6.024,0,0.0395,7.6e-05,0.118,0.162,0.628,114.028
Uncut,4voRzAE0FUeqjvEhOOrYII,Nightstalker,Uncut,0.56,0.916,5,-5.665,1,0.0508,0.00568,0.365,0.11,0.669,108.004
Flying Mode,1VXWPt8Ri9YBx66KMkRK6e,Nightstalker,Return From The Point of No Return,0.374,0.949,5,-6.292,1,0.0677,0.0201,0.204,0.178,0.423,110.867
Rockaine,1NaXSFM2CLWHFn5KipSh3p,Nightstalker,Dead Rock Commandos,0.528,0.801,10,-5.501,0,0.0579,8.58e-05,0.000126,0.0565,0.66,122.973
Deeper,5U60GnsA6vqLClbOs9jUPS,Nightstalker,"As Above, So Below",0.457,0.884,1,-6.026,1,0.0425,0.00109,0.017,0.169,0.355,103.951
Sweet Knife,0RDb06IuhvQYon1q4qPFMm,Nightstalker,Sweet Knife - Single,0.362,0.731,7,-7.284,0,0.0478,0.000299,0.12,0.113,0.246,114.556
Voodoo U Do,4pnxs8F0TMIpcOwQcnWkrs,Nightstalker,Stoner Box,0.0978,0.6,9,-5.624,0,0.0364,0.000326,0.865,0.163,0.471,81.644
This Is U,5yRZIaTfJMotZc2WVIIDh0,Nightstalker,Use,0.297,0.34,2,-8.611,0,0.0382,0.00236,0.0128,0.14,0.114,125.307
Black Cloud,4L7ERdgXeGLcEnEXuBB9Wr,Nightstalker,Great Hallucinations,0.495,0.947,8,-6.84,1,0.0597,6.84e-05,0.538,0.146,0.392,127.042
We Belong to the Dead,6CEf2NMzCP1UbzUGcl5Fyn,Nightstalker,"As Above, So Below",0.528,0.632,10,-7.861,0,0.0311,0.00304,0.0387,0.117,0.23,120.283
Shadows,1joODkq2XrjH7y3SPJ8alj,Nightstalker,Just a Burn,0.275,0.188,10,-13.206,1,0.0314,0.306,0.917,0.108,0.158,176.469
Keystone,5DjsZuDOqUTyC6oWqyjkJ7,Nightstalker,Dead Rock Commandos,0.475,0.67,10,-5.808,0,0.0316,0.000323,0.000864,0.0956,0.689,97.966
Back to Dirt,4qoNPDo2FVNgdYxgPeFUKR,Nightstalker,Dead Rock Commandos,0.554,0.625,3,-7.72,1,0.0284,0.00676,0.0107,0.0565,0.232,104.014
Ήρθε Η Ώρα / Say Your Prayer,528JT2zDCSnMJlm7RsLn5y,Nightstalker,Ήρθε Η Ώρα / Say Your Prayer,0.626,0.676,3,-7.939,1,0.0484,0.115,2.38e-05,0.073,0.676,128.032
Line,544drk8Nz0uQGJ5dhbhRHz,Nightstalker,Just a Burn,0.654,0.633,5,-5.802,1,0.0297,0.000642,0.107,0.146,0.544,104.977
Never Know (Supersonic),6zCQorkskHXcumewdn8KOr,Nightstalker,The Ritual,0.297,0.658,0,-8.838,1,0.0262,0.0144,0.0788,0.108,0.452,89.13
RAW,53CUN6k5h4Jwq2nsOPAIxF,Nightstalker,Use,0.493,0.769,2,-5.228,1,0.0303,8.75e-05,0.0375,0.255,0.21,103.372
Great Hallucinations,5at3RxyhtYjuQddXMKquSS,Nightstalker,Great Hallucinations,0.357,0.597,10,-6.415,1,0.0318,0.00499,0.515,0.112,0.144,146.43
Iron,3beChZMszU5kGeZv3BgocB,Nightstalker,Just a Burn,0.242,0.638,7,-4.977,0,0.0322,2.49e-06,0.848,0.165,0.524,180.061
The Boogie Man Plan,6M4JbyDpV2MExWmIRFy47M,Nightstalker,Dead Rock Commandos,0.441,0.916,10,-5.978,0,0.0614,0.000166,0.000515,0.142,0.533,132.003
All Around (Satanic Drugs from Outer Space),1RQ6yNCv7QF6lif5QOeAwi,Nightstalker,Just a Burn,0.404,0.842,7,-5.635,1,0.0501,2.29e-05,0.0104,0.122,0.243,140.075
