track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
London Song,42a9PusvgFnyH0WgdCn6PV,Ninajirachi,I Love My Computer,0.807,0.867,1,-4.781,1,0.127,0.00494,0.0119,0.109,0.931,127.998
iPod Touch,1xqT27jSG1Y15vOXfsV0gv,Ninajirachi,I Love My Computer,0.641,0.867,5,-4.538,0,0.131,0.00353,0.00498,0.388,0.734,137.948
Fuck My Computer,5ZbztTcvj6QWWbeYsL4GTa,Ninajirachi,I Love My Computer,0.639,0.692,0,-3.841,0,0.161,9.85e-05,0.0649,0.0836,0.834,135.933
CSIRAC,33nOHyNeOKwwjKMrF9VN4V,Ninajirachi,I Love My Computer,0.744,0.952,11,-5.49,0,0.0719,0.0765,0.79,0.161,0.562,145.061
Delete,0CVbCtcdXAIw00YBXXbneu,Ninajirachi,I Love My Computer,0.471,0.673,3,-4.48,1,0.0455,0.0228,2.17e-06,0.221,0.546,137.985
ฅ^•ﻌ•^ฅ,0qubDCNLgEKECDhRSq7Q38,Ninajirachi,I Love My Computer,0.632,0.622,7,-8.422,1,0.036,0.31,0.137,0.138,0.348,140.08
All I Am,3CbF4eluvVhJ9v0axMj2Rk,Ninajirachi,I Love My Computer,0.505,0.713,7,-6.004,1,0.0624,0.0164,0.0184,0.34,0.473,139.96
Infohazard,6CfromGdojo0R0vlgA7iU8,Ninajirachi,I Love My Computer,0.648,0.881,6,-5.058,0,0.0804,0.0462,0.00232,0.242,0.449,148.038
Battery Death,2XGJUQGZQXr5pHH11AL9oG,Ninajirachi,I Love My Computer,0.407,0.603,6,-2.465,0,0.0771,0.0292,2.3e-05,0.11,0.462,149.488
Sing Good,3n2t35gDOHQS0NMtxKKkZq,Ninajirachi,I Love My Computer,0.738,0.394,0,-16.701,1,0.173,0.827,0.313,0.11,0.332,180.042
It's You,6raYznZkOrvB3n7B2Ur3zr,Ninajirachi,I Love My Computer,0.476,0.836,9,-4.661,0,0.301,0.00227,0.0,0.673,0.582,130.166
All At Once,5ddKhEInw4xkOYzI6KIXsG,Ninajirachi,I Love My Computer,0.674,0.721,8,-4.88,1,0.0804,0.00368,0.32,0.146,0.392,133.974
The Face Of This Earth,2oce0DI683jLdKk0PxPV5r,Ninajirachi,Second Nature,0.604,0.574,11,-7.751,0,0.0929,0.0303,0.739,0.632,0.189,125.04
Start Small,3Zzb5zbAY02YU4p7I4oVim,Ninajirachi,Second Nature,0.637,0.835,0,-6.541,1,0.048,0.000772,0.0789,0.347,0.393,136.01
Things I Never Nu,1NAYrYgd473ua418mz32xb,Ninajirachi,Second Nature,0.781,0.81,0,-3.997,1,0.0488,0.607,0.00403,0.155,0.75,127.09
One Long Firework in the Sky,7LQhqFOOXEVcjLG6W9XULb,Ninajirachi,Second Nature,0.672,0.721,9,-5.912,0,0.0273,0.0229,0.0,0.528,0.577,128.044
Soma,6AzJ0W8jTvz01thky9Nszy,Ninajirachi,Second Nature,0.426,0.827,10,-7.938,0,0.0733,0.276,0.644,0.514,0.354,135.984
Petroleum,7ukOEET9ARORbbq3pZtr8S,Ninajirachi,Second Nature,0.601,0.667,7,-7.012,1,0.0669,0.419,0.0,0.193,0.634,146.088
X33 (Angel☆Type!),6rf8jHLH0zQAfMz01R2Xvc,Ninajirachi,Second Nature,0.596,0.901,1,-5.713,1,0.0623,0.00526,0.623,0.422,0.29,132.003
Tiankeng,59yvPe3cdp9wcaXufway88,Ninajirachi,Second Nature,0.126,0.473,8,-15.526,1,0.0446,0.926,0.933,0.531,0.132,146.869
Hidden Land,1rnPVF9xMwVpDy9xYQBh19,Ninajirachi,Second Nature,0.752,0.929,8,-5.727,1,0.168,0.171,3.79e-05,0.0782,0.644,125.053
Crush Me,6KV155X0T39sg7oDqi3G4L,Ninajirachi,Second Nature,0.548,0.672,0,-6.923,1,0.0558,0.0527,1.04e-05,0.0987,0.243,175.846
Can't Wake Up,1fuZH2MTNMpdj5CYQrDB4c,Ninajirachi,Second Nature,0.677,0.725,7,-6.375,1,0.0461,0.189,0.00102,0.279,0.308,102.013
Icebody,2y6TboVjztQLdr4FSJMxCd,Ninajirachi,Second Nature,0.614,0.99,2,-5.262,1,0.0949,0.11,0.901,0.454,0.771,94.985
Lapland,7IURQEU0molESohfF1nIW3,Ninajirachi,Lapland,0.642,0.327,5,-9.524,0,0.134,0.366,0.314,0.111,0.0535,105.029
Human,14TARl268x9f2S2sL5d8df,Ninajirachi,Lapland,0.812,0.508,7,-8.943,0,0.0414,0.391,3.79e-05,0.095,0.361,104.965
Gardenia Pt. I,50FMZtVh0sIF4QLCBFepgF,Ninajirachi,Lapland,0.8,0.778,0,-9.102,0,0.0671,0.0416,0.895,0.166,0.0544,120.012
Gardenia Pt. II,4gq89fohXEinbLdhQqneWT,Ninajirachi,Lapland,0.807,0.659,0,-8.532,0,0.0422,0.0445,0.585,0.196,0.707,120.021
Pathetic,6uWdhLqMAUNvnYb3FLAVBo,Ninajirachi,Lapland,0.82,0.73,1,-8.327,0,0.0547,0.0163,0.000379,0.0705,0.594,135.0
Glass,0TfhsmrSWkpcwRw5tsACIZ,Ninajirachi,Lapland,0.727,0.496,0,-9.243,0,0.0352,0.0706,0.0544,0.499,0.0458,130.006
Voss,2Ej9ZrhdVnZFY96b3HUbNK,Ninajirachi,Lapland,0.652,0.638,5,-9.851,1,0.0462,0.0233,0.927,0.36,0.0842,140.021
Fuck My Computer - Frost Children Remix,4msZzTP3dJlqmHRhUb4v3f,Ninajirachi,Fuck My Computer (Frost Children Remix),0.557,0.858,7,-1.423,1,0.0487,0.000791,0.183,0.425,0.414,136.958
承認欲求 | Shoninyokkyu -Ninajirachi Remix-,645R0v1SWIdEpLHqCN0dd3,Ninajirachi,承認欲求 | Shoninyokkyu -Ninajirachi Remix-,0.693,0.811,10,-2.364,0,0.115,0.00687,0.0422,0.319,0.801,138.087
How Could U,0IdDlW4OuwalouHxttXdYk,Ninajirachi,How Could U,0.666,0.777,10,-5.206,1,0.0424,0.00672,0.851,0.386,0.361,144.977
