track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Summer 91 (Looking Back),4FEcEwbE2vsqhxbTPtiNTL,Noizu,Summer 91 (Looking Back),0.509,0.953,11,-4.954,0,0.0414,0.0159,3.3e-05,0.28,0.406,125.015
Dance,3Nt13GFJxmmIibwIDV1GDP,Noizu,Dance,0.816,0.854,11,-5.523,1,0.051,0.000442,0.653,0.0608,0.3,124.026
Live Stream - Noizu Remix,44wKNLBs2kjyY5KqjWqY0z,Noizu,Live Stream (Noizu Remix),0.628,0.957,7,-4.935,1,0.108,0.00639,0.0233,0.259,0.379,126.999
Catch My Love,0C0LsZeUyAG50xJKEIpBgY,Noizu,Catch My Love,0.753,0.851,10,-4.451,0,0.0497,0.00545,0.135,0.245,0.652,126.012
A Different Way - Noizu Remix,309SiwzPSY8X0byeZZR7uZ,Noizu,A Different Way (Noizu Remix),0.817,0.758,1,-5.979,1,0.0402,0.023,0.0014,0.0963,0.711,124.026
Push To Start - T78 Remix,3RKCzGsThiB77vKvmNxUgG,Noizu,Push To Start (T78 Remix),0.675,0.905,0,-4.98,1,0.063,0.000362,0.508,0.145,0.503,135.005
Snapped Up,3TIntILeVDiB673eV5ayLr,Noizu,Snapped Up,0.86,0.9,10,-4.697,0,0.14,0.00148,0.402,0.13,0.691,127.986
Inside My Head,7x5zEOkuKVqhabPKeQ8ttX,Noizu,Inside My Head,0.728,0.963,9,-6.548,1,0.0428,0.000699,0.895,0.0675,0.967,126.976
Rave Alarm,3Lybys0ZY88DK3pH53DxPR,Noizu,Rave Alarm,0.751,0.797,1,-4.419,1,0.0591,0.0139,0.681,0.0701,0.655,125.008
Vogue - AVALAN ROKSTON Remix,1FYBDusHdqq77nvYqhlglo,Noizu,Vogue (AVALAN ROKSTON Remix),0.733,0.784,6,-8.503,1,0.0396,0.1,0.0935,0.579,0.423,128.057
Vogue - Extended Mix,2a4fsElppxhJd11sGXfsoW,Noizu,Vogue,0.82,0.839,6,-5.635,1,0.0586,0.0592,0.177,0.0997,0.949,127.99
Turn Back Time - Noizu Remix,1yEal32dxepcfajXJfqB5h,Noizu,Turn Back Time (Remixes),0.782,0.988,5,-3.848,0,0.059,0.00919,0.509,0.0653,0.95,126.995
Jungle,7tGfSaUdygABlAYfwgHg2B,Noizu,Jungle EP,0.801,0.764,9,-6.373,1,0.0509,0.00563,0.921,0.0887,0.656,124.03
Push To Start (feat. No/Me),6t4VHEcJ7Kek9pgGHlDp6R,Noizu,Push To Start (feat. No/Me),0.851,0.988,1,-6.013,0,0.0588,0.00965,0.313,0.0639,0.671,128.017
Baby Baby,2fMtXRKJDPtT8Xs4EJkBQh,Noizu,Baby Baby,0.627,0.948,7,-4.478,1,0.0428,0.00354,0.551,0.0599,0.569,125.048
Summer 91 (Looking Back) - 220 KID Remix,1FbXgPKatKyAIz9hgBZhnx,Noizu,Summer 91 (Looking Back) [220 KID Remix],0.636,0.894,11,-5.238,0,0.0306,0.0407,0.0,0.337,0.757,124.996
Desire,49Rqh9WqG8DEYoEy7S9nCi,Noizu,Desire,0.627,0.935,11,-5.629,0,0.0457,0.156,0.655,0.39,0.331,130.001
Summer 91 (Looking Back) - Illyus & Barrientos Remix,3ZNU3mVwAMnCJfsFS2HPau,Noizu,Summer 91 (Looking Back) [Illyus & Barrientos Remix],0.606,0.881,2,-5.581,1,0.0341,0.0155,0.00387,0.0467,0.801,124.98
4 The People,1pMK3CNjKECeAavfhMi1kn,Noizu,4 The People,0.833,0.965,6,-5.215,0,0.0528,0.0687,0.135,0.0927,0.922,123.994
