track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Coming Up (It’s Dare),7JHkJ5mDS868b5j5h67cwL,OMNOM,Coming Up (It’s Dare),0.587,0.817,2,-4.718,0,0.0397,0.00796,0.00112,0.633,0.0844,134.049
By Myself (feat. XKYLAR),6aA1acXyys7qbWxObLbwjj,OMNOM,By Myself (feat. XKYLAR),0.764,0.728,1,-6.014,1,0.0429,0.0153,0.604,0.0851,0.347,128.01
Know I'm Bad,23fPjEtvx1N4q5UaLMWQIK,OMNOM,Goin' Dumb,0.948,0.569,0,-6.902,1,0.161,0.00333,0.0868,0.22,0.728,127.011
Skin,4CgAQivv0iH8UFCnmTEmO2,OMNOM,Skin,0.789,0.805,4,-5.243,1,0.124,0.00182,0.337,0.0862,0.432,126.003
Fo Free,3xPsx8Mw5v7wbRuMi38vG8,OMNOM,Fo Free,0.831,0.539,11,-8.401,0,0.0545,0.00769,0.891,0.101,0.796,123.994
La Banda,2H72ddAymCONWUmWgtzVrw,OMNOM,La Banda,0.71,0.997,3,-3.568,1,0.0601,0.00545,0.871,0.0185,0.537,130.004
Work Dat Body,4NdHU8HEfdJQ8LOvB87LOx,OMNOM,Work Dat Body,0.756,0.861,6,-6.061,1,0.17,0.0101,0.661,0.104,0.521,130.002
Deeeep End,0C0LnLeFAvkyRrpL4zFBK4,OMNOM,The Friendless Summer,0.727,0.346,5,-10.68,1,0.084,0.957,0.0429,0.103,0.115,123.851
"Mind Awake, Body Asleep",6iGDeaY8vCTqxfGz6B8gTk,OMNOM,"Mind Awake, Body Asleep",0.741,0.849,1,-7.755,1,0.0874,0.251,0.625,0.163,0.265,133.938
Bringing Me Home - OMNOM Remix,0MqW3v6dcZkbJ6ijxG5dTi,OMNOM,Bringing Me Home (OMNOM Remix),0.665,0.717,4,-9.916,0,0.383,0.0543,0.0959,0.109,0.132,133.979
Stunt,1pBhF1Et802WMPynD3TUdw,OMNOM,Babysitter / Stunt,0.815,0.651,2,-7.232,1,0.0708,0.0302,0.00362,0.103,0.771,126.015
"All Day, All Night",4PSq1vPPpzEpVfwLCadN9j,OMNOM,"All Day, All Night",0.772,0.813,10,-6.894,0,0.0547,0.0896,0.264,0.0772,0.792,128.004
Skinny Jeans,3phhGhWB72lFyFpqtQQUXa,OMNOM,Skinny Jeans,0.76,0.815,11,-4.944,0,0.0981,0.12,0.255,0.0499,0.361,128.009
Number One Fan,6YjFyLggEUNsWTYmps3eeu,OMNOM,Number One Fan,0.929,0.395,6,-8.184,0,0.228,0.0145,0.546,0.0749,0.554,125.006
That's the Spot,6evSxq4h3VyxaPPz8udIhX,OMNOM,That's the Spot,0.721,0.891,2,-5.306,1,0.0408,0.00122,0.0666,0.0378,0.382,129.999
