track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rancho Relaxo - Paramida & E-Talking Remix,2wxmzjkEIU0InHZQwVk421,Paramida,Reworks & Remixes (Pt. 1/2),0.744,0.702,7,-9.446,1,0.078,0.0469,0.878,0.0955,0.773,131.988
Hotplay - Paramida's Hotpants Remix,5HvVpXrtKBv0EDQFs1FXGF,Paramida,Groove Radiance,0.735,0.923,7,-9.399,1,0.0433,0.011,0.897,0.236,0.646,128.001
Intense Affectionate - Paramida Remix,0cjH60I2somWIf6aIa474I,Paramida,See You In Paradise Remixes 2,0.687,0.945,1,-5.91,1,0.0418,0.00262,0.864,0.0772,0.97,123.985
Limbo In Heaven - Edit,0aBr6VU9gaJ589Y3wgO8eX,Paramida,Limbo In Heaven,0.711,0.422,8,-14.435,1,0.0368,0.156,0.913,0.112,0.0467,130.003
Konbanwa - Ibiza Mix,6TEkCFeViRFP2y5N00k7eE,Paramida,Sounds From the Iranian Ultraverse,0.8,0.833,6,-8.378,0,0.0778,0.0105,0.805,0.311,0.877,130.004
Grace (Paramida's LOL Mix),1ObMUC4CSBejcIFdSDlnFc,Paramida,In Amber (Remixes),0.756,0.877,10,-8.533,0,0.0613,0.00995,0.924,0.102,0.279,119.992
Ride Out The Wave,4wOUsCbFaxk791ng5FNwjA,Paramida,Ostgut Ton Fünfzehn + 1,0.797,0.914,10,-9.413,0,0.0522,0.000335,0.875,0.067,0.692,125.005
Deal,6m2vLuL2wsJuxRr6ADl69A,Paramida,Supergau: 5 Years of Love on the Rocks,0.807,0.646,1,-10.254,1,0.0409,7.27e-05,0.956,0.0841,0.078,120.009
Read My Lips,5m67IYuYT7JqcJrAbiphoA,Paramida,20 Years Of Phonica (Digital Sampler 3),0.715,0.988,2,-4.85,1,0.063,0.0151,0.846,0.188,0.522,130.009
Track 4 Daniela,2RV7gJ11DM2zYrrFa354OA,Paramida,Coping Mechanisms (Electronic Meditation),0.578,0.708,5,-13.279,1,0.0429,0.00214,0.00588,0.344,0.284,119.998
