track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ready Steady Go! - Beatman & Ludmilla Radio Edit,2pw0P04KK7QHInJZR3J9fr,Paul Oakenfold,Trance Mission,0.557,0.981,1,-1.036,0,0.0376,0.000169,0.81,0.262,0.0928,132.004
Concentrate,5r95IdimXwAdL3jN33BjVB,Paul Oakenfold,Concentrate,0.757,0.924,7,-9.131,1,0.0511,0.000446,0.798,0.0871,0.156,131.993
I'm Into It,3qy5kNtZQSQjOcezvEzc4i,Paul Oakenfold,Shine On,0.51,0.545,4,-8.591,0,0.0679,0.421,0.209,0.0742,0.147,125.01
Hallelujah - Club Mix,1gAbNhSjDgQEVg8g18mxSZ,Paul Oakenfold,Hallelujah,0.62,0.908,5,-6.773,1,0.0349,0.00315,0.19,0.417,0.575,98.009
Rock Your Body - Paul Oakenfold Mix,369m6KUvZ2ANGGYn41AneD,Paul Oakenfold,"12"" Masters - The Essential Mixes",0.739,0.81,2,-5.699,1,0.0386,0.000179,0.378,0.234,0.795,107.996
Open Your Eyes - Radio Edit,4JSr1NlTG5EjbCL9T1WoFn,Paul Oakenfold,Trance Mission,0.557,0.986,7,-5.024,1,0.0381,8.52e-05,0.819,0.334,0.135,134.001
Touch Me,0mE9Uwnzhco5P3RfRS21EW,Paul Oakenfold,Trance Mission,0.454,0.425,4,-10.545,0,0.0326,0.659,0.145,0.0972,0.0766,128.022
Unafraid - Paul Oakenfold Swordfish Remix,3BCPbX6YPbRvBbV6gGxtR7,Paul Oakenfold,Emerging,0.61,0.886,0,-5.419,1,0.0574,5.59e-05,0.0459,0.594,0.506,115.002
Locked out of Heaven - Paul Oakenfold Remix,03BpMAiFJ0b9c47Ntt8MRf,Paul Oakenfold,Locked out of Heaven (Remix),0.665,0.91,2,-5.289,0,0.0756,0.0371,0.000487,0.493,0.102,130.021
Gimme More - Paul Oakenfold Radio Mix,7dvpIzRPKzwXWDn9MHZHJF,Paul Oakenfold,Gimme More,0.614,0.958,6,-3.548,0,0.0361,0.0127,0.0458,0.3,0.715,124.967
London To Buenos Aires,44db9t1Dj5UJrBp99RQgvg,Paul Oakenfold,London To Buenos Aires,0.569,0.942,7,-4.659,1,0.0472,0.000136,0.945,0.0575,0.466,124.008
When The World Ends - Oakenfold Remix,5neg7PDgpZ9gtbcpgGdxur,Paul Oakenfold,The Matrix Reloaded: The Album,0.582,0.771,5,-6.827,0,0.0482,0.00967,0.0389,0.117,0.486,90.009
C.L.U. - Remixed by Paul Oakenfold,6hEvTmmvby9ZTkSdfmPW3m,Paul Oakenfold,TRON: Legacy Reconfigured,0.595,0.605,6,-6.746,0,0.031,0.000132,0.802,0.181,0.163,130.019
Dread Rock,5vM8xMswH4MzinpWjQ3snK,Paul Oakenfold,The Matrix Reloaded: The Album,0.521,0.748,8,-5.804,1,0.0249,5.86e-05,0.922,0.208,0.203,140.045
ResuRection - Paul Oakenfold Full On Fluoro Mix,6aMbSmv99DETtr97inIrJ4,Paul Oakenfold,ResuRection,0.526,0.935,4,-5.015,0,0.04,0.000594,0.77,0.925,0.0581,138.048
Glass Danse - Paul Oakenfold Remix,08yC7uoO7LJ2ysoNmPkjm9,Paul Oakenfold,Danse Macabre Remixes,0.648,0.948,0,-5.502,1,0.0492,0.0277,0.183,0.377,0.822,129.994
I'm Alive [Mix Cut] - Original Mix,11gICvwTiOkQGvD3ZQETVs,Paul Oakenfold,Never Mind The Bollocks... Here's Paul Oakenfold (Mixed Version),0.605,0.683,1,-8.629,1,0.0313,0.00409,0.559,0.434,0.343,138.006
Sorry - Paul Oakenfold Remix Edit,5v52dXCJPhRuaHlT2ujvwx,Paul Oakenfold,Sorry,0.593,0.876,0,-7.971,0,0.0494,0.0153,3.17e-05,0.128,0.591,135.986
Touch Me - Rodg Chill Mix,5n0RtXsD1Zl3tfAkVUKmYj,Paul Oakenfold,Touch Me,0.658,0.534,4,-11.295,0,0.0403,0.00645,0.393,0.0763,0.066,105.007
Southern Sun - DJ Tiësto Mix,00h8VRuIdpbQFXEjo5xAVp,Paul Oakenfold,In Search of Sunrise 3 (Panama) mixed by Tiësto,0.598,0.883,4,-10.224,0,0.0399,0.0233,0.363,0.294,0.47,134.203
Ordinary World,0YpFvJuLxcuyT4cQ31hNIJ,Paul Oakenfold,Ordinary World,0.374,0.616,1,-9.916,0,0.0811,0.156,0.0,0.0619,0.045,120.041
"Crazy Love, Vol. II - Paul Oakenfold Extended Remix",3EWKerGUrnzI4f1XjikAPP,Paul Oakenfold,Graceland - The Remixes,0.807,0.564,7,-7.565,1,0.109,0.00786,0.0138,0.0492,0.662,124.017
Otherside (Mix Cut) - 2012 Official Mix,3Gqx3idg23cnWhNvQTBwff,Paul Oakenfold,"We Are Planet Perfecto, Vol. 1 (Mixed By Paul Oakenfold)",0.603,0.766,9,-6.156,0,0.0289,0.00106,0.169,0.0946,0.121,128.002
Even Better Than The Real Thing - Trance Mix / Remastered 2021,3fCBd4mNYeaYFbi13Hmg7V,Paul Oakenfold,Achtung Baby (30th Anniversary Edition),0.581,0.81,7,-8.728,1,0.0339,0.000277,0.479,0.0585,0.585,126.143
Lose It,49A2aHajwGDX9LeqFjSiMY,Paul Oakenfold,Lose It,0.728,0.95,6,-5.986,1,0.0966,0.0804,0.105,0.283,0.383,127.991
Stonehenge - Club Mix,6dT9fNdD8hJnh1OWW1zxKX,Paul Oakenfold,Stonehenge,0.635,0.794,6,-5.887,1,0.0404,0.000151,0.824,0.253,0.493,119.999
W.F.L. - Think About the Future Mix,38Ke0TTmH6PzUklnVtg5XH,Paul Oakenfold,Hallelujah,0.738,0.689,10,-8.008,0,0.069,0.0023,0.184,0.0663,0.406,101.837
Give It 2 Me - Paul Oakenfold Edit,5JSO4xZiCjO0JGho4HnIdl,Paul Oakenfold,Hard Candy,0.733,0.809,4,-4.929,1,0.0445,0.000726,0.00971,0.0228,0.509,127.011
Please Me - Original Mix,29lS6jhMxuGzARk1rD22ZS,Paul Oakenfold,Please Me,0.629,0.953,5,-5.224,1,0.0522,0.000457,0.525,0.152,0.694,129.976
Cafe Del Mar - Radio Edit,4LIbYKwuUBMKmqyZZC7XVg,Paul Oakenfold,25 Years Of Perfecto Records (Mixed by Paul Oakenfold),0.509,0.904,0,-7.045,1,0.0405,0.00442,0.843,0.653,0.153,132.009
Dreams - Radio Edit,0OtfoTTnhNLcDOjCtJ1Rhh,Paul Oakenfold,Trance Mission,0.503,0.927,1,-5.714,1,0.0537,6.53e-06,0.934,0.293,0.151,132.001
Cafe Del Mar - Activa Extended Remix,1oluYMxetAVq80mxSUtWZc,Paul Oakenfold,Cafe Del Mar,0.712,0.883,0,-9.269,1,0.0409,0.00211,0.841,0.0758,0.436,136.988
Buenos Aires To London,4aRxVPXyT3C8g70WYPjcOO,Paul Oakenfold,Buenos Aires To London,0.644,0.973,2,-6.686,1,0.0402,3.06e-05,0.791,0.108,0.098,123.999
Theme For Great Cities - Radio Edit,0QMzoBJAexABPlKFBamfLF,Paul Oakenfold,Trance Mission,0.486,0.855,7,-8.358,0,0.0319,0.000418,0.65,0.763,0.216,135.01
Hollywood (feat. Paul Oakenfold),1FjWJL0dar07yd7ZblEHe0,Paul Oakenfold,I Get Even EP,0.818,0.796,6,-5.69,0,0.24,0.0337,2.32e-05,0.0704,0.929,91.983
I'm Alive - Original Mix,1oaFXnAYJNz0a2E4UBWcmO,Paul Oakenfold,I'm Alive,0.661,0.665,10,-7.065,0,0.04,0.00326,0.101,0.143,0.466,139.994
James Bond Theme - Bond vs. Oakenfold,4Nce7tdMEyP9s67zflDOJP,Paul Oakenfold,Music From The MGM Motion Picture Die Another Day,0.564,0.976,4,-5.339,0,0.0702,0.00195,0.827,0.176,0.331,129.991
