track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1998 - Paul van Dyk Remix,72lRA680a5ZWu0l14phseH,Paul van Dyk,1998,0.452,0.925,2,-7.481,1,0.0398,0.000241,0.85,0.12,0.436,136.997
For An Angel - PvD Angel In Heaven Radio Edit,2zI4py4xY6v4vIrAlR6GtP,Paul van Dyk,For An Angel,0.668,0.982,9,-7.979,0,0.0331,0.0437,0.849,0.887,0.591,138.223
Duality,75dtuLXf7uNtQNAGMDIM7k,Paul van Dyk,Duality,0.486,0.912,0,-6.211,0,0.0388,0.000619,0.816,0.319,0.272,136.007
Nothing but You,5qwtQRNEhvzSEX4hrdDmRT,Paul van Dyk,Reflections,0.531,0.932,8,-6.827,1,0.0377,0.000197,0.872,0.233,0.0484,139.372
Another Way,2G75VlDNpCmdDr7Jq9kner,Paul van Dyk,Out There and Back,0.631,0.984,9,-5.288,0,0.0385,0.0021,0.863,0.0663,0.358,136.154
Time of Our Lives,0Bq6Wkne4KLKYqP1TAR1yn,Paul van Dyk,Reflections,0.584,0.852,9,-6.692,1,0.0299,0.00479,0.0893,0.185,0.132,135.345
Stay,1jts9oi0XfqcQxT07Kvj3c,Paul van Dyk,Stay,0.715,0.926,6,-5.234,1,0.0698,0.0213,0.889,0.0899,0.0588,134.008
Parallel Dimension,5eyIjJrQqJJGujEhx4kobQ,Paul van Dyk,Parallel Dimension,0.447,0.952,7,-5.961,1,0.0421,0.000134,0.962,0.0683,0.117,138.012
Crush,3aS5reOG1d7b49WCY2Hhg2,Paul van Dyk,Reflections,0.659,0.898,9,-7.739,0,0.0386,0.0161,0.721,0.365,0.132,134.99
Nothing But You - CIrrus Mix,5o4W8Zu8DDY6lDIi0mtSrn,Paul van Dyk,Nothing But You,0.66,0.832,8,-10.695,1,0.0495,0.0163,0.836,0.258,0.648,129.822
Seven Seas / The Poem,7dub73ADzBTXTuN6ONhfWM,Paul van Dyk,Seven Seas,0.367,0.771,9,-9.508,0,0.0585,0.00885,0.579,0.29,0.0778,128.001
While You Were Gone,1KF1zJSSn9vZ6ySnFcSUK9,Paul van Dyk,From Then On,0.274,0.584,10,-11.757,0,0.0335,0.112,0.954,0.105,0.111,129.956
For an Angel - Escape Mix,0ExCyxehX4OUKfEdUEF93g,Paul van Dyk,Escape Reality,0.599,0.336,7,-15.182,1,0.0337,0.588,0.902,0.119,0.0703,132.016
Let Go - Single Edit,32UzL4LPJB0uNtmAS1UFq7,Paul van Dyk,Let Go,0.603,0.792,0,-6.128,1,0.0291,0.00428,0.113,0.0742,0.896,134.991
In Your Arms (For An Angel),5WOnsi0Bug74LmhxcPfKvR,Paul van Dyk,In Your Arms (For An Angel),0.694,0.828,11,-4.653,0,0.0336,0.0399,0.0,0.0796,0.407,126.002
We Are Alive - Radio Mix,7fRjxQ1g7A8WbNR6y1wuDZ,Paul van Dyk,We Are Alive,0.62,0.902,6,-6.076,1,0.0322,0.0144,0.0358,0.376,0.334,134.697
Guiding Light,12fAh75wd7qDk7FrMhV2q4,Paul van Dyk,Guiding Light,0.492,0.858,3,-6.484,1,0.0373,0.000234,0.664,0.119,0.0943,138.022
The Ocean,78KbOBTFGzuE4faiBJemLx,Paul van Dyk,Evolution,0.761,0.575,4,-7.958,1,0.0874,0.00104,0.315,0.434,0.132,129.996
For an Angel,3PbDqZ1VMsBTjXCbs6Jv7P,Paul van Dyk,45 RPM,0.78,0.926,7,-8.751,1,0.0443,0.00206,0.831,0.132,0.666,137.992
Beautiful,75JEQxjvZKEBCSAIFEkZnz,Paul van Dyk,This World Is Ours,0.608,0.715,0,-11.75,1,0.034,0.0123,0.398,0.105,0.304,128.0
Nothing But You - PvD Radio Mix,1kfiagiVDM4Ikk1px3BD3D,Paul van Dyk,Nothing But You,0.504,0.957,8,-5.39,1,0.0334,4.97e-05,0.753,0.0848,0.282,139.381
For An Angel - PvD's E-Werk Club Mix,2g2ObG4CPkpOSKLqffImGn,Paul van Dyk,For An Angel (30th Anniversary Edition),0.732,0.92,9,-8.658,0,0.0478,0.00292,0.865,0.0706,0.664,138.256
1998 - Paul van Dyk Extended Remix,1URGVyteSpKhBBaxzQQbYj,Paul van Dyk,1998,0.539,0.926,5,-10.138,1,0.0378,0.000697,0.908,0.109,0.412,141.976
You Found Me,3yn83WJ9BZ7EW3bNh0JOsc,Paul van Dyk,Guiding Light,0.581,0.962,10,-6.06,0,0.0347,6.78e-05,0.905,0.287,0.446,137.972
Another Way - Radio Mix,7oOFEl6kaVUZ4p03CMKMnj,Paul van Dyk,Another Way / Avenue,0.619,0.952,9,-11.554,0,0.033,0.0105,0.941,0.237,0.656,135.957
Avenue,076eUPHpeRl7gOYCFTD15d,Paul van Dyk,Out There and Back,0.547,0.996,5,-6.177,1,0.0473,2.72e-05,0.887,0.256,0.618,142.007
The Other Side - Radio Mix,56HKwnRZSGXHRiu3fm7jZe,Paul van Dyk,The Other Side,0.554,0.966,11,-4.721,1,0.0319,0.0007,0.162,0.126,0.507,139.996
From the Ashes - Paul van Dyk Remix,4u2hcUHLRix1F3U67HkQtj,Paul van Dyk,ILLENIUM (Remixes),0.574,0.967,11,-5.562,0,0.0433,0.000219,0.0342,0.147,0.0418,140.018
Lights (feat. Sue McLaren) - Radio Edit,1TJZWz3P7ncwJ5Oior9v8r,Paul van Dyk,Lights (feat. Sue McLaren) [Remixes],0.633,0.882,8,-5.02,1,0.0402,0.00508,0.0193,0.454,0.547,131.999
Tell Me Why (The Riddle),1STuJLLQWGdDunnRoiB1Yn,Paul van Dyk,Out There and Back,0.525,0.969,11,-6.248,0,0.044,0.000538,0.789,0.256,0.689,138.139
I Don't Deserve You,5l60os2CdBUZ2eK4A8dQts,Paul van Dyk,Need You Now,0.717,0.763,11,-6.681,1,0.033,0.0577,0.0132,0.106,0.198,129.974
Tell Me Why (The Riddle) - Radio Mix,0UGbxJ14tbSyrCP6eFvnf0,Paul van Dyk,Tell Me Why (The Riddle),0.585,0.982,11,-5.191,0,0.0354,0.00121,0.741,0.0562,0.666,137.983
Café del Mar - Paul van Dyk’s SHINE Remix Edit,5DClUUbj3h24TAe9X5dNY9,Paul van Dyk,Café Del Mar (The Anthems Edits),0.506,0.91,5,-7.767,0,0.0329,0.00166,0.869,0.0733,0.2,138.008
I Don't Deserve You - John O'Callaghan Remix Edit,6WpaocWPsHF7G1ADuxb3uu,Paul van Dyk,Subculture 2013,0.582,0.942,11,-5.872,1,0.0571,0.00292,0.319,0.331,0.327,139.937
Music Rescues Me,51OKLPkeBryHaauCtddqi3,Paul van Dyk,Music Rescues Me,0.335,0.887,0,-4.762,1,0.0458,0.0485,0.000133,0.441,0.194,137.902
Time Of Our Lives - Swiss-American Federation Remix,64VrM89yD2mxHPxllLPdRK,Paul van Dyk,Time Of Our Lives / Connected,0.417,0.897,9,-3.324,1,0.0331,0.000103,0.0795,0.233,0.346,135.46
