track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Here With Me,6qLM7FY8SPWYIyKKhzzVO0,PEEKABOO,Here With Me,0.64,0.59,1,-2.502,0,0.0691,0.0495,0.206,0.144,0.103,90.047
Pump It Up,753rbQGinx1824G2x3k5HM,PEEKABOO,Are We Dreaming?,0.693,0.959,2,-3.806,1,0.127,0.0255,2.74e-05,0.0903,0.22,140.003
NOSEBLEED,6qxOL5Opjw8rVp3xMsR9os,PEEKABOO,NOSEBLEED,0.562,0.934,1,-3.022,1,0.0478,0.122,0.00131,0.384,0.0734,140.026
Pushin Stacks,4cLFnU75cTHlBOMrUJcRHr,PEEKABOO,Shockwave,0.622,0.902,2,-4.539,1,0.117,0.000655,0.523,0.22,0.496,140.024
RELOAD,7Da0d3oeqFpaPvWOH8eQuZ,PEEKABOO,RELOAD,0.67,0.755,9,-2.978,1,0.0479,0.000861,0.272,0.381,0.288,139.943
Hypnotendiez,3OywneuYVsbn40b9AzH58I,PEEKABOO,Wrecking Ball,0.649,0.749,10,-4.891,0,0.212,0.003,0.3,0.111,0.448,139.875
Lights Go Down - Peekaboo Remix,0RJgmCUXLIDQ2kMMAD5cGs,PEEKABOO,Lights Go Down (Peekaboo Remix),0.596,0.763,10,-5.819,0,0.0525,0.0363,0.129,0.107,0.0658,140.208
Like That,2lguz0NI8QXqhFp3nMB2AS,PEEKABOO,Eyes Wide Open,0.766,0.958,2,-6.328,1,0.198,0.00543,0.124,0.251,0.484,139.851
Dope,7zm1VQ9xmz0bsnDn2LY93R,PEEKABOO,Eyes Wide Open,0.798,0.517,1,-7.991,1,0.136,0.0178,0.155,0.153,0.0434,139.987
Colossal,68259QF2vdPWB3zu9YE6Ol,PEEKABOO,Colossal,0.737,0.782,1,-5.741,0,0.0552,0.0235,0.453,0.0977,0.323,140.051
POWERMOVE,1ndzPP1VWJvnF7CG5qX2Wx,PEEKABOO,POWERMOVE,0.629,0.963,9,-2.219,1,0.0742,0.00184,0.197,0.247,0.379,130.018
Vortex,6N6Sagy5jvDDUh9lfWrgJ1,PEEKABOO,Spiral,0.707,0.756,0,-3.928,1,0.0426,0.00083,0.843,0.137,0.129,94.946
