track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Like This,7hCkaxvq1PSl7YJ4JR57L0,Pegassi,Like This,0.63,0.8,7,-9.348,1,0.0525,0.00376,0.879,0.176,0.444,147.981
Dikke Beat,1C5mmdbWD5ksvTU0gHPfao,Pegassi,Dikke Beat,0.627,0.961,6,-7.257,0,0.0445,0.000545,0.609,0.0754,0.34,150.005
Bring It Back,24ZahOwPra9cPxv6RO1G1R,Pegassi,Bring It Back,0.751,0.989,4,-3.811,0,0.0461,0.003,0.845,0.177,0.533,145.003
Style,3vfnd6vuX2j7fSFSPEg22a,Pegassi,Style,0.69,0.986,7,-5.234,1,0.0569,0.00818,0.391,0.305,0.379,140.986
Wanna Feel,5mgLOhX1IXSCZXUFWWkf0c,Pegassi,Wanna Feel,0.721,0.961,1,-6.668,0,0.0403,0.00239,0.727,0.147,0.611,148.005
Flashback - Radio Edit,6mwmRDlrBAJGWPOzrqUlSY,Pegassi,Flashback (Radio Edit),0.622,0.988,9,-4.573,1,0.0667,0.00658,0.213,0.102,0.509,75.009
No Type,4tNCSo5ZDCDWjUnlggKqnU,Pegassi,No Type,0.615,0.944,6,-6.225,0,0.0622,0.0931,0.198,0.261,0.139,152.032
Billie Eilish - Edit,6fnvIZWiSl54TGgIlXGtXb,Pegassi,Billie Eilish,0.68,0.896,8,-8.02,0,0.0477,0.148,0.00591,0.0786,0.454,125.028
Baby I Dont Mind,3METanqjj23WcjlVPLtSMw,Pegassi,Baby I Don't Mind,0.654,1.0,8,-6.308,0,0.0951,0.0148,0.695,0.315,0.694,74.995
Diamond Coochie,5ZR2sczAINzRY7jCpNwOtv,Pegassi,Diamond Coochie,0.773,0.599,11,-10.085,0,0.08,0.0227,0.363,0.06,0.8,145.0
Wat Is Die Mo?,4dpV1kwSTAEP2Nlo6lqmwY,Pegassi,Wat Is Die Mo?,0.853,0.946,6,-6.665,0,0.0629,0.00374,0.417,0.0564,0.543,141.983
Cut It,3Rq4e84urkKVip2cQcoAnM,Pegassi,COLOR VA03,0.76,0.975,9,-8.381,0,0.0568,0.168,0.568,0.0804,0.906,146.001
Patsers - From “Patsers”/“Gangstas” – The Movie,6yNuJ5PjEqK8yMwV7wTaHs,Pegassi,Patsers (From “Patsers”/“Gangstas” – The Movie),0.728,0.913,0,-5.565,1,0.0378,0.00751,0.666,0.0705,0.671,142.016
Knife Talk,5zzf3tCyakWfASFtPs2mBl,Pegassi,Knife Talk,0.841,0.792,7,-9.447,1,0.0857,0.142,0.938,0.11,0.633,145.005
Living Life - Original Mix,2KcYCtIsCZe72Z1jojrxMr,Pegassi,"Modernize House, Vol. 26",0.724,0.828,11,-6.285,1,0.244,0.00281,0.319,0.281,0.287,124.989
Baby I Dont Mind - Extended,05OYL4pygAtB371xLh3ml2,Pegassi,Baby I Don't Mind,0.67,1.0,8,-6.404,0,0.0915,0.00843,0.571,0.318,0.625,74.987
Billie Eilish - Original Mix,4TSjM7in4RiNilaEXQl3Za,Pegassi,Billie Eilish,0.729,0.922,8,-7.811,0,0.0509,0.0464,0.0779,0.033,0.572,125.017
Not Too Late - Pegassi Remix,5Xe7KiBahF42tLerfu1gGc,Pegassi,Not Too Late (Pegassi Remix),0.73,0.513,9,-9.667,0,0.043,0.121,1.32e-05,0.0739,0.327,123.029
Mystery,3kkSPiZaNjcysfHiHbKoTs,Pegassi,Outertone: Deep House 001 - Abyss,0.711,0.832,9,-4.708,0,0.0388,0.00353,0.315,0.209,0.273,124.033
Flair,2SN85V8PbgJkiinJxauHbq,Pegassi,Flair,0.77,0.805,1,-4.155,0,0.126,0.178,0.0,0.0878,0.404,96.0
L.A Kitty,0H8cRWBvnbkPwKMqttUsLV,Pegassi,L.A Kitty,0.594,0.942,2,-6.531,1,0.061,0.0251,0.935,0.342,0.463,122.998
