track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
(It Goes Like) Nanana,5Hijdt7rmbj9fUJdXEs6Nz,Peggy Gou,(It Goes Like) Nanana,0.676,0.884,7,-6.16,0,0.0387,0.0546,0.599,0.0318,0.963,130.0
I Go,2o7wQuwySXB2EDtNp7ymJa,Peggy Gou,I Hear You,0.764,0.86,11,-7.41,1,0.0461,0.0961,0.806,0.063,0.961,120.016
I Go - Edit,6tmlxpASowJoNYy6pnDdjq,Peggy Gou,I Go,0.721,0.931,11,-6.504,1,0.0369,0.13,0.664,0.0747,0.968,119.993
I Believe In Love Again,4fZ9WECee9p7FEWOUP03jD,Peggy Gou,I Believe In Love Again,0.711,0.853,10,-6.334,0,0.0363,0.0774,0.0178,0.23,0.664,101.986
I Go - Soulwax Remix,3PQyUWqndc51vb1JYrqxuC,Peggy Gou,I Go (Remixes),0.734,0.764,8,-7.406,0,0.0493,0.0136,0.817,0.172,0.151,125.005
Han Pan,3KAMgcLxqce9PRkwzbYkHa,Peggy Gou,Moment EP,0.786,0.756,11,-10.276,0,0.0559,0.062,0.646,0.0883,0.197,125.997
Purple Horizon,2W3QmPhnMnjUqgYBdG7HsT,Peggy Gou,I Hear You,0.64,0.752,6,-6.953,1,0.0374,0.00117,0.476,0.105,0.874,106.033
Rose,06iR09uUfFS3kVEAJHJyeB,Peggy Gou,Seek For Maktoop,0.729,0.73,10,-7.833,0,0.0422,0.172,0.713,0.17,0.887,125.004
Hungboo - DJ-Kicks,2k9aBWJjIv3onRBIdg7oWm,Peggy Gou,DJ-Kicks EP,0.705,0.853,5,-7.048,0,0.0855,0.515,0.253,0.445,0.768,95.075
All That,2iMuxgCe0aR2DYeXkDl43u,Peggy Gou,I Hear You,0.721,0.644,0,-7.064,1,0.0632,0.048,1.02e-05,0.0409,0.765,98.99
1+1=11 - Edit,2HMas4DrtQoPebT1VL52Dr,Peggy Gou,1+1=11,0.55,0.926,1,-5.146,1,0.0318,0.00964,0.893,0.159,0.604,130.993
like JENNIE - Peggy Gou Remix,6Mg21kBQhf0VScEF8DL4LD,Peggy Gou,like JENNIE,0.806,0.944,11,-2.889,0,0.0627,0.0461,0.382,0.0526,0.838,129.951
Lobster Telephone,1p7xMy97vysFjYTpiEAc92,Peggy Gou,I Hear You,0.743,0.738,9,-7.165,1,0.0354,0.00572,0.206,0.0795,0.8,129.982
At Night - Peggy Gou's Acid Journey Remix,4ysVtA41HJ3ezbaGr59egu,Peggy Gou,At Night (Remixes),0.763,0.916,7,-7.775,1,0.0574,0.000616,0.605,0.11,0.196,123.983
like JENNIE - Peggy Gou Remix - EXTENDED MIX,6pITIqSBFvBcafDKwEaJgc,Peggy Gou,like JENNIE,0.776,0.968,2,-3.019,1,0.0577,0.0353,0.782,0.276,0.597,130.012
1+1=11,2SJlBRXv2tSQB3bnQ4kk03,Peggy Gou,I Hear You,0.588,0.935,1,-5.384,1,0.0359,0.0137,0.903,0.117,0.646,130.989
Jen High,5a7ukZt5n6y5iyWWXJTEH0,Peggy Gou,Art of War (Pt. II) EP,0.81,0.926,8,-8.674,0,0.0493,0.0747,0.931,0.0736,0.823,121.813
D.A.N.C.E,4WSkbdWkqj16I7pDWS9yzq,Peggy Gou,F1 The Album (Cinematic Edition),0.736,0.921,11,-7.128,0,0.0351,0.00177,0.747,0.0837,0.904,133.016
Your Art,3xSdEXX2d1A02U1jaLmGwl,Peggy Gou,I Hear You,0.585,0.554,10,-11.381,1,0.078,0.791,0.0365,0.138,0.242,85.006
Maktoop,7iIzRv3H2BtA03xuAmxiOu,Peggy Gou,Seek For Maktoop,0.603,0.806,8,-8.327,0,0.0392,0.000496,0.904,0.0862,0.636,122.997
Seoulsi Peggygou (서울시페기구),2MQWxF9FTFBHBkU3NcvODv,Peggy Gou,I Hear You,0.684,0.845,4,-6.431,0,0.0409,0.00747,0.881,0.0985,0.861,158.948
Gou Talk,2sTP6ghDk046UnBZqsLyyO,Peggy Gou,Seek For Maktoop,0.804,0.918,8,-9.969,1,0.0382,0.0919,0.857,0.0418,0.953,119.983
