track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Love Songs (feat. Kosmo Kint),0aNPB23MLFcGGYaMNN7DCf,Prospa,Love Songs (feat. Kosmo Kint),0.684,0.796,1,-4.809,1,0.037,0.00261,0.162,0.146,0.589,127.003
This Rhythm (feat. RAHH),4NtQwxR7o3ixPVKLyOTS66,Prospa,This Rhythm (feat. RAHH),0.928,0.713,10,-5.697,0,0.0593,0.102,3.37e-05,0.0996,0.671,127.004
Close Your Eyes,1JkiUUejePFuSJkbCxiOta,Prospa,Close Your Eyes,0.574,0.945,6,-5.66,0,0.0551,0.000396,0.787,0.2,0.18,140.01
The Thrill,6pKeuJDicz6NTYxXLOyxQG,Prospa,The Thrill,0.62,0.905,8,-4.903,1,0.0458,0.00336,0.0129,0.434,0.35,125.005
WANT NEED LOVE,3FIb81xI76x7pGPbFbzZXu,Prospa,WANT NEED LOVE,0.429,0.683,8,-7.297,1,0.038,0.000823,0.00342,0.0801,0.0536,126.873
Don't Stop,13cX2o4cASGLYXNaQyXWxt,Prospa,Don't Stop,0.79,0.825,11,-5.174,1,0.0421,0.00577,0.92,0.128,0.85,128.036
A Place 4 MNU,6Fi1TgD8DWMUOWxpQJ4KdK,Prospa,Close Your Eyes EP,0.317,0.932,1,-7.411,1,0.0387,0.000105,0.891,0.283,0.11,133.609
Will You Be Mine,15H467gdxSmq8IMl1TC46u,Prospa,Will You Be Mine,0.311,0.7,0,-6.709,1,0.0696,0.000675,0.0,0.351,0.104,127.951
One Of A Kind,0kVERdA5KiHfK9j9TXnasd,Prospa,One Of A Kind,0.54,0.846,1,-5.99,0,0.0351,0.00097,4.14e-05,0.122,0.0926,132.028
Intended,4YjyvJCYlJPQnFQ6VlbGXW,Prospa,Intended,0.653,0.744,0,-6.752,1,0.0322,0.0163,0.28,0.106,0.528,126.996
Heartbeat (Dance The Night Away),4r9RxOUirxXfipfRlGNp8A,Prospa,Heartbeat (Dance The Night Away),0.755,0.716,6,-7.077,0,0.0455,0.0123,0.0167,0.155,0.623,130.024
I Believe,6oezzvqFntOUamuBZPixLx,Prospa,Archangel,0.703,0.95,5,-5.17,0,0.0349,0.00212,0.764,0.0915,0.588,129.97
Love Someone,0kcaKKnAbjtjWreExi0YtB,Prospa,Rave Science Vol. 2,0.529,0.788,8,-7.723,1,0.0351,7.15e-05,0.745,0.248,0.051,124.988
Highest Building (feat. Oklou) [Prospa Remix],4izlFGEa1phprc4ypqx7sF,Prospa,Highest Building (feat. Oklou) [Prospa Remix],0.716,0.826,8,-7.533,1,0.0678,0.00409,0.632,0.0656,0.324,135.01
Make The Night Last,7LhJcuKVjWEJpCRWuE9EiK,Prospa,Make The Night Last,0.683,0.85,9,-5.221,0,0.0351,0.00101,0.123,0.634,0.543,123.026
I Want Your Soul - Prospa Remix,2ZPiyBKaaV2UNmA4JIMW6O,Prospa,I Want Your Soul,0.597,0.819,10,-9.642,0,0.0318,0.000329,0.273,0.109,0.496,129.971
Motions,17uHvLtwD5GefKQECNBUv8,Prospa,If You Want My Loving,0.787,0.634,8,-6.253,0,0.0645,0.000659,0.0793,0.152,0.45,130.023
If You Want My Loving,3wfQcoBLrfd15VPuKm6Kjv,Prospa,If You Want My Loving,0.725,0.74,1,-5.98,1,0.0382,0.00534,0.0907,0.0607,0.759,126.986
I Want Your Soul - Prospa Remix (Extended Version),5znJAnSVREHEb87zWYfMrS,Prospa,I Want Your Soul,0.605,0.802,10,-9.892,0,0.0323,0.000413,0.362,0.134,0.502,129.977
Ecstasy (Over & Over) - Model Man Remix,0khE5TLTG1KUFDxiZxri4m,Prospa,Ecstasy (Over & Over) [Model Man Remix],0.624,0.746,5,-8.722,1,0.0371,0.119,0.723,0.137,0.339,117.959
Ecstasy (Over & Over),2nHBfIdQ4ndFNaWilLdBUN,Prospa,Ecstasy (Over & Over),0.757,0.82,10,-4.999,1,0.0406,0.00426,0.421,0.173,0.656,128.012
Prayer - Edit,4Gd5Cxw7V4JCM9Uj6VpiwL,Prospa,Prayer (Edit),0.614,0.796,6,-7.702,1,0.0439,0.000216,0.767,0.0915,0.368,122.981
WANT NEED LOVE - LSDXOXO Remix,2mE1WGxym75ezXYa8anIY7,Prospa,WANT NEED LOVE (Remixes),0.72,0.874,6,-5.085,1,0.0292,0.00181,0.897,0.0884,0.457,127.014
Closer (feat. Chenai) - Prospa Remix,2lfqywnJ3dpzrW4XpAdJBl,Prospa,Closer (feat. Chenai) [Prospa Remix],0.638,0.901,7,-5.337,0,0.034,0.00535,0.438,0.318,0.842,128.01
WANT NEED LOVE - Dimension Remix,1IHOCU7v322k1TPovsbInD,Prospa,WANT NEED LOVE (Remixes),0.368,0.982,8,-0.936,1,0.05,0.00149,0.0348,0.146,0.201,174.064
Ecstasy (Over & Over) - Extended Version,2qSi41sVOi6vLzxtj23Dzj,Prospa,Ecstasy (Over & Over),0.767,0.862,0,-4.879,1,0.0353,0.00376,0.53,0.0476,0.692,127.987
Voyage,2StmBgb1tIVUK5xysDHAUM,Prospa,Voyage,0.645,0.87,7,-6.974,0,0.0366,0.00129,0.827,0.102,0.0808,124.022
Control The Party - Edit,2IDlRhJjaz5fRuQDbt5UX6,Prospa,Control The Party,0.391,0.904,11,-6.759,0,0.0931,0.00456,0.819,0.114,0.04,169.298
I Found You - Prospa Remix,2LenfxaYtwKW8LwYXu8sqw,Prospa,I Found You (Prospa Remix),0.69,0.85,7,-7.897,1,0.0456,0.0646,0.0193,0.0885,0.399,135.999
Made 4 U,2gqoaVqj3suM9DAkeBgUKD,Prospa,Made 4 U,0.636,0.937,7,-5.538,0,0.0669,0.034,0.0266,0.0617,0.424,130.005
Sira,6kwG16ti90w35N0Ydq3vJR,Prospa,Rave Science Vol. 1,0.506,0.858,7,-10.779,1,0.036,0.000385,0.892,0.0513,0.321,128.019
Feel It (feat. Theophilus London) - Prospa Remix,7FIR1bxBZ5Va0LTDe5B4SJ,Prospa,Feel It (feat. Theophilus London) [Prospa Remix],0.692,0.805,10,-9.97,0,0.0411,0.000258,0.0916,0.0811,0.352,124.996
WANT NEED LOVE - Cameo Blush Remix,1tc2IEgfFFbdHEJdFyr2xq,Prospa,WANT NEED LOVE (Remixes),0.62,0.673,2,-10.036,1,0.0394,0.00016,0.464,0.0798,0.25,138.018
The Thrill - Extended Mix,4a5chUP6Vt7IWwNIJAt1D9,Prospa,The Thrill,0.604,0.847,8,-7.46,1,0.034,0.00179,0.269,0.0762,0.213,124.971
My Life Belongs to You,5jbMnbXy9P5mLPh9PweTN6,Prospa,My Life Belongs to You,0.354,0.518,3,-6.044,1,0.0387,0.169,0.0,0.103,0.205,67.577
The Way It Is (Prospa Remix),0tlKgWfNYISUjYQbO3Rfyx,Prospa,The Way It Is (Prospa Remix),0.572,0.974,11,-6.351,0,0.0372,0.00178,0.516,0.335,0.518,124.999
KNOW ME - Prospa Remix,1Mz5VGCvvKIZmpr5tvfCZD,Prospa,BRONSON Remixes N°.2,0.589,0.781,11,-9.076,0,0.0486,0.00419,0.687,0.113,0.161,127.881
Boy Racer,55T3ZAE8mYihtu227Jsezp,Prospa,Rave Science Vol. 1,0.716,0.796,11,-12.002,0,0.054,0.000298,0.834,0.0713,0.247,135.014
Seizm,3Tf4NVMwLvx7pIzKxG7u0c,Prospa,Seizm,0.685,0.897,4,-6.966,0,0.0451,0.00277,0.821,0.0889,0.113,122.003
Codex,14FYoLbeMsZdUGEYzz0oqG,Prospa,Machines,0.632,0.934,1,-7.963,1,0.0511,0.102,0.845,0.364,0.262,123.013
Bloodshot,4KmYmy1tggcPhqJTFDQAd1,Prospa,Voyage,0.815,0.71,1,-8.009,1,0.0582,0.00124,0.846,0.0721,0.223,129.998
The System,4a9iuK44L7BPFKLXZPUVCu,Prospa,The System / Evacuate,0.788,0.99,1,-8.91,1,0.0603,0.0135,0.904,0.0516,0.918,122.993
