track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Shall We Begin - Mixed,61B3uouEnuXKZpRGkoCqiC,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.48,0.228,11,-14.255,0,0.0356,0.981,0.942,0.118,0.0806,120.012
List - Mixed,5WbMh0s4ASTCEyT99ZjNcK,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.624,0.7,11,-10.475,0,0.0346,0.398,0.918,0.12,0.406,112.005
Second Chance - Mixed,2MMrEtkKkTQMzzoDnOz5TU,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.258,0.162,11,-20.67,1,0.0364,0.753,0.931,0.118,0.0379,123.118
Ghosts [Strings] - Mixed,7FAcuUh516z31xDUD4RBxL,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.35,0.435,8,-9.186,0,0.0484,0.129,0.17,0.205,0.0658,170.29
Machine Keys - Cephas Azariah Revisit (Mixed),0qgdWA7J0vEWMphQxgMOdQ,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.636,0.0816,1,-22.511,0,0.0423,0.982,0.923,0.0996,0.199,120.046
holding on like it's the last time - Mixed,0P3ZIyLDWmeqdJSuaalHKU,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.292,0.313,11,-18.24,1,0.0312,0.904,0.94,0.141,0.0741,56.019
Joy Paradox - Mixed,0WQ33Gjpm2TBmcOgOAtvzx,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.219,0.201,7,-19.341,1,0.0342,0.958,0.97,0.0769,0.0361,74.876
Afterlife - Mixed,27CvfrUvWvv4t9mCXL4LmM,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.174,0.292,9,-12.997,0,0.0324,0.473,9.91e-05,0.11,0.0548,81.56
Silent Algorithms - Mixed,5FCAe19NU9zEEyacbaRLZQ,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.633,0.573,1,-14.566,0,0.0448,0.666,0.909,0.285,0.0424,114.988
Izumo Sunrise - Mixed,2kcuY4DkgP7Tx8FgENH4aJ,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.429,0.405,7,-12.247,0,0.0356,0.295,0.943,0.519,0.0377,127.825
6AM - Mixed,1IjLDFv0qFVSjnwrbfpjDV,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.358,0.277,7,-17.539,0,0.0382,0.892,0.954,0.144,0.0381,125.146
HRSN - Because of Art Revisit (Mixed),3fjtXEVUFhrpJyMP3O0WjZ,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.173,0.358,7,-14.329,0,0.0339,0.729,0.904,0.114,0.0352,156.767
Dancing Ego - Mixed,1pLJidPYz6pkbxWrBzubsV,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.606,0.258,7,-18.989,0,0.049,0.918,0.944,0.623,0.182,120.766
Passage - Mixed,2mNpjQ5Hvjj8ENtFvGofkF,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.59,0.308,4,-17.831,0,0.0323,0.864,0.84,0.108,0.186,93.007
The Light Is Still There - Peter Sandberg Remix (Mixed),3RojaOdZEglNKEaqCkpHyn,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.141,0.136,0,-21.183,1,0.0377,0.96,0.959,0.134,0.0389,78.682
Mr Man - Dusky Revisit (Mixed),0FmeqjaIKx3SxNoox59lE4,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.149,0.209,2,-15.921,1,0.0327,0.945,0.907,0.136,0.0368,72.579
Silhouette - Mixed,34yfS9325r3pvPpy2jzkD2,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.168,0.343,4,-13.678,0,0.0333,0.905,0.963,0.148,0.0775,74.564
Come Together - Nox Vahn & Marsh Revisit (Mixed),2ARE8q0PD7k8Z2oi3DxhsX,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.209,0.563,9,-12.409,0,0.0455,0.182,1.21e-05,0.266,0.0819,80.654
Strength From Inside - Mixed,3ttxY8FEdMLfdjLeZKVhWI,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.141,0.15,5,-24.317,1,0.0336,0.842,0.988,0.0591,0.11,91.332
Tintswalo - Mixed,0VtYWedf7cbXacaPNHJWGJ,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.151,0.214,0,-14.49,0,0.035,0.956,0.856,0.0944,0.0365,83.638
Love On A Real Train - Tangerine Dream Cover (Downtempo Mix) [Mixed],2LaXaTK6IOSDPoIouSrP5D,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.593,0.842,1,-8.511,1,0.0387,0.0716,0.813,0.104,0.0965,110.004
Return - Mixed,79TrlmKMYMMe13nDgCpV3P,Above & Beyond,Anjunachill 01 (Mixed by Above & Beyond),0.539,0.215,5,-20.535,0,0.0321,0.975,0.848,0.111,0.074,110.055
