track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Bolingo Malenbè,0yVBjoZjVVir7R29I2sg60,Adiel,Bolingo Malenbè,0.709,0.883,1,-9.207,0,0.0489,0.0848,0.744,0.0883,0.0731,139.987
(What You Want) Is Music,5nSFzgKcfBdE6nmzimkiLj,Adiel,(What You Want) Is Music EP,0.407,0.512,1,-13.258,1,0.0391,0.0473,0.857,0.105,0.0522,144.008
Inari Dreaming,7F18Szr8B7ISEigNMEmiAZ,Adiel,(What You Want) Is Music EP,0.726,0.687,1,-11.363,1,0.0539,0.00783,0.659,0.355,0.0411,121.968
Rehang,6lOLyPqESQgHwwFlokkGXT,Adiel,(What You Want) Is Music EP,0.586,0.687,7,-9.624,1,0.0429,0.0543,0.873,0.094,0.169,180.028
To Bryn,3hmhmCyvUjcXhxlaHbxqme,Adiel,(What You Want) Is Music EP,0.486,0.706,1,-13.224,1,0.0962,0.00123,0.629,0.521,0.439,172.022
From A to Z,5mck6wSEDZj5DDxwk6ywRP,Adiel,Everything in Between EP,0.62,0.602,1,-9.709,1,0.0329,0.013,0.683,0.0977,0.32,136.009
No More Bla Bla,6L6bxmioMGYqBCX5jlx4rP,Adiel,Everything in Between EP,0.717,0.756,9,-8.396,1,0.0377,0.0139,0.838,0.105,0.351,139.054
Hands OFF You,2yOo3pzy3J25mLHezNIBJz,Adiel,Everything in Between EP,0.752,0.89,7,-10.447,1,0.0568,0.0934,0.857,0.111,0.392,139.988
Less Distraction,7jzP8wUMxlSUnd1d6Df5o2,Adiel,Everything in Between EP,0.732,0.77,4,-9.476,1,0.0376,0.00528,0.892,0.109,0.388,138.005
Method,0ME8NYldE7UeWOVXcnl62J,Adiel,Method EP,0.749,0.513,7,-10.625,1,0.471,0.109,0.848,0.111,0.361,77.662
Mad,3qynxc6Mk1tAsEmaiML8P0,Adiel,Method EP,0.764,0.674,7,-12.248,1,0.0619,2.77e-05,0.877,0.0833,0.122,140.02
Time Is Out,6tKLZyliuLbh1n2xTGVkul,Adiel,Method EP,0.541,0.716,4,-14.378,0,0.074,0.246,0.924,0.146,0.435,159.979
In Your Power,6hwJI9LrJ0Zp0dXqzAhyYl,Adiel,Method EP,0.642,0.724,7,-11.292,1,0.0579,0.000815,0.883,0.124,0.142,140.001
There Is No Way Out,0zlmnBcD5lUAiiZH9Igj0W,Adiel,There Is No Way Out,0.715,0.745,7,-12.315,1,0.0521,0.00741,0.714,0.182,0.139,120.001
If Not Now When?,0sM6PoF9W13SJcU8RKryUT,Adiel,If Not Now When?,0.791,0.874,6,-8.25,0,0.0818,0.0164,0.91,0.119,0.123,130.004
At the Bottom of the Sea,7AwLkt0WnCWR6uyRB6CRDe,Adiel,If Not Now When?,0.73,0.958,2,-7.844,1,0.122,0.00991,0.808,0.093,0.255,139.986
If Not Me Who?,1WhYspIAnXYozoLNxyZDfL,Adiel,If Not Now When?,0.707,0.844,6,-10.094,0,0.0536,0.000403,0.907,0.215,0.0532,138.003
Esrr,61Pavofa1CFkxPp5aa85lE,Adiel,If Not Now When?,0.725,0.901,1,-7.927,1,0.0481,0.0501,0.767,0.101,0.0365,135.012
The Call,6hdLMdOf9xWjWdrkt3U00p,Adiel,Musicofilia EP,0.748,0.555,7,-15.094,1,0.0823,0.134,0.887,0.094,0.209,127.056
Vanishing,6c0TVNJ1CROBcGTPt1cvFg,Adiel,Musicofilia EP,0.663,0.705,10,-12.825,1,0.0499,0.0076,0.907,0.193,0.0357,127.021
Musicofilia,4HICapWcVS4UGFe9w9yQ1V,Adiel,Musicofilia EP,0.712,0.661,1,-15.827,1,0.0562,0.411,0.907,0.105,0.0376,130.999
Rednight,6NPEaPk0u5i8cJoiYRR9zz,Adiel,Musicofilia EP,0.797,0.508,11,-16.597,0,0.0567,0.112,0.934,0.137,0.0333,127.999
