track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
ORGASM - ADRIÁN MILLS & SELECTA REMIX,6bZ2bedpcwjeB9PuRvatTe,Adrián Mills,ORGASM (Adrián Mills & Selecta REMIX),0.732,0.938,1,-7.204,1,0.0888,0.00179,0.00812,0.106,0.468,159.99
CARIBE 2005,41ukKLxIKdaqhHWPu55kfX,Adrián Mills,CARIBE 2005,0.729,0.711,7,-10.075,1,0.117,0.000745,0.899,0.0973,0.196,162.995
Y2K - Adrián Mills Remix,4SeQiCTrwmMly1MLvJf7eP,Adrián Mills,Y2K (Adrián Mills Remix),0.732,0.988,1,-7.591,1,0.0989,0.000203,0.879,0.0944,0.638,163.007
Sin Cobertura,5SBVmArGute33zt5WlUTpM,Adrián Mills,Sin Cobertura,0.731,0.915,0,-9.185,1,0.0629,0.0113,0.525,0.11,0.605,157.985
1A - Adrian Mills Remix,5C33RjlHEk4RcMILxJglKG,Adrián Mills,1A (Adrian Mills Remix),0.728,0.968,10,-7.368,0,0.133,0.00376,0.759,0.1,0.756,162.998
NDROIDE18,0OJGMVDCYIrFKmeGl7jYIn,Adrián Mills,NDROIDE18,0.716,0.904,6,-13.548,1,0.0826,0.0126,0.0919,0.105,0.454,165.027
GROUPIE,1r3cXuCvuJPU91NiFj8Pjz,Adrián Mills,GROUPIE,0.81,0.81,8,-12.637,1,0.178,0.0259,0.536,0.103,0.625,153.013
GROOVEARCADE 2004,4urZYxYyGCRmWFPq3AetVD,Adrián Mills,GROOVEARCADE 2004,0.745,0.607,7,-12.963,1,0.102,0.000654,0.198,0.121,0.296,159.987
FENDIMIAMOR,0cqYKgaURfsycqkuB5Ts0V,Adrián Mills,FENDIMIAMOR,0.764,0.605,1,-15.973,1,0.286,0.00204,0.189,0.0918,0.573,160.01
DR3lCOLA,7sfoCPawxVeFTBDF0XrLeh,Adrián Mills,DR3lCOLA,0.731,0.981,5,-15.876,1,0.119,0.00224,0.661,0.101,0.561,160.007
DONTACTLIKETHAT,6A28umPm4vrxUIn9pkW3xa,Adrián Mills,DONTACTLIKETHAT,0.712,0.852,0,-14.342,1,0.366,0.00176,0.767,0.105,0.371,165.011
240KLUB,7ung2pruMbGUIXjrZlaKOw,Adrián Mills,240KLUB,0.764,0.61,7,-15.407,1,0.127,0.000438,0.0138,0.129,0.818,158.017
CALIENTE,5HD4hBhotyYDTOMcLWkAx2,Adrián Mills,CALIENTE,0.751,0.951,6,-6.238,1,0.0655,0.0122,0.169,0.194,0.526,162.981
Dumm Gehen,2VWXvqcUJtjXQ89fa5kXCW,Adrián Mills,Dumm Gehen,0.718,0.984,1,-12.136,1,0.242,0.000751,0.242,0.365,0.16,169.948
AFTERHOURINPARIS,5m2YE8OgRm0DgylpNwIuHi,Adrián Mills,AFTERHOURINPARIS,0.76,0.836,10,-6.62,0,0.109,0.0042,0.655,0.104,0.222,160.038
