track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Fireflies,2tOXTb0u04BWMSPw0kzClp,Æon:Mode,Fireflies,0.557,0.95,7,-0.826,0,0.0731,0.0842,6.03e-06,0.39,0.33,173.987
Polarised,3MKWCuPRKubEOplEPgGyQL,Æon:Mode,Polarised,0.426,0.959,9,-1.482,0,0.124,0.00392,5.33e-05,0.321,0.21,174.063
"Stop, Go",7qqI3rqZ9i6p4dZl0uew9b,Æon:Mode,"Stop, Go",0.404,0.992,1,-0.913,1,0.0677,0.00234,0.369,0.172,0.261,174.064
Lonely,3GUWJzkXw4nCkRvKXT1XkV,Æon:Mode,Lonely,0.492,0.956,8,-1.448,0,0.051,0.00347,0.103,0.338,0.271,174.052
State Of Mind,3fziFvvQWBSEIp86qxaphU,Æon:Mode,State Of Mind,0.525,0.988,2,0.1,1,0.074,0.0112,0.000994,0.222,0.5,173.991
Flip It - ÆON:MODE Remix,5qWRS3TA6AoYjvSjgz7XZU,Æon:Mode,Flip It (ÆON:MODE Remix),0.699,0.979,8,-0.06,0,0.094,0.0368,0.581,0.796,0.928,173.99
Touch,1l90jvHTkNh9VmOh2LbbeC,Æon:Mode,Touch,0.577,0.878,5,-5.164,0,0.0621,0.0509,0.0344,0.0983,0.0725,174.016
Awake,6pEQUJelejN4xL3bhE4Khk,Æon:Mode,Awake,0.5,0.949,10,-0.985,0,0.0516,0.00201,0.0337,0.106,0.237,174.046
Another Planet,14UIRANMp2F23fdSiCDLgZ,Æon:Mode,ÆON:TWO,0.508,0.989,1,-0.838,1,0.235,0.000781,0.802,0.165,0.54,174.078
Surface,1kDdZ1BwZ5MIxJhzbgba1H,Æon:Mode,ÆON:TWO,0.51,0.932,0,-0.118,1,0.0946,0.000289,0.318,0.513,0.113,174.035
Aurora,2aA1HzVHh9G4pCiLzRcafE,Æon:Mode,ÆON:TWO,0.427,0.928,0,-1.87,1,0.0428,0.00255,0.0079,0.216,0.141,174.011
Need & Pleasure,0zPonhX3vpIFVT0983x6gv,Æon:Mode,ÆON:ONE,0.429,0.979,5,-2.873,1,0.0485,0.00115,0.789,0.639,0.236,174.006
Polaris,3k8uDjdeGArRhHqdoTsZt2,Æon:Mode,ÆON:ONE,0.421,0.954,5,-1.231,0,0.0627,0.00682,0.959,0.135,0.326,173.916
Breathe,5zk7DhgTT7vI4li6UJPH3Q,Æon:Mode,ÆON:ONE,0.404,0.947,5,-1.083,0,0.0868,0.000873,0.035,0.134,0.101,174.042
Laserbeam - ÆON:MODE Remix,4taZ23hnXd59FeBaGhuapi,Æon:Mode,Laserbeam (ÆON:MODE Remix),0.554,0.989,1,-1.335,1,0.0829,0.000459,0.377,0.298,0.259,172.006
Laserbeam,3xWAJnoVzaDnnLAXXTDThq,Æon:Mode,Laserbeam (ÆON:MODE Remix),0.573,0.978,1,-1.009,1,0.0883,0.000685,0.0621,0.169,0.0816,149.978
Alchemy,3AB6T3OpwL3cJLRBmgn7l1,Æon:Mode,Alchemy,0.547,0.92,1,-2.982,1,0.0629,0.0585,0.542,0.109,0.0685,174.004
