track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Don't Play This Beat,1PfkHkS6VxOicP3han7MGF,Ahee,Ghost Angel,0.876,0.952,11,-4.34,0,0.264,0.0354,0.00766,0.299,0.465,99.979
Conspiracy,6dlz7qy4ipVCXbxAzsOUSO,Ahee,Ghost Angel,0.739,0.919,9,-4.595,1,0.23,0.045,0.00136,0.118,0.521,100.041
Too Much Facebook,1clsBynM7V8XecssQ7T65x,Ahee,Ghost Angel,0.826,0.953,10,-3.198,0,0.304,0.0173,0.018,0.751,0.391,99.992
Aliens On My iPhone,1BLjv7gxg2Cb2z3QbD1QCH,Ahee,Ghost Angel,0.844,0.913,10,-3.321,0,0.166,0.161,0.0729,0.956,0.456,100.012
Hallucinations,3YIRAmfNw3h2zaOzGRWmKn,Ahee,Ghost Angel,0.775,0.852,10,-5.812,0,0.15,0.0071,0.0198,0.0654,0.395,100.007
Fuck The Beat Up,76K3FQDd23T9sAjjML88EI,Ahee,Ghost Angel,0.756,0.989,6,-3.302,0,0.22,0.0206,0.204,0.105,0.253,100.001
Military Secrets,21tfDPhBlWhDmrkrFsVe2J,Ahee,Ghost Angel,0.859,0.948,5,-5.209,1,0.191,0.325,0.265,0.108,0.294,100.001
Elon Musk vs. the AI,1lbXrk9osZYcOI6achuKEu,Ahee,Ghost Angel,0.584,0.975,7,-4.138,1,0.351,0.011,0.184,0.172,0.196,196.002
Past Lives,0PsPXOIbs004UeCEjjriK9,Ahee,Ghost Angel,0.743,0.777,11,-6.496,0,0.0937,0.00036,0.0649,0.907,0.243,99.998
Spirit Friends,0SCZDHXqilXj4svuVjA0w0,Ahee,Ghost Angel,0.714,0.833,8,-5.291,0,0.0752,0.0841,0.0358,0.152,0.411,99.974
Parasomnia,5GclAe798FjvdUSMUQDNKu,Ahee,Ghost Angel,0.505,0.888,1,-7.046,1,0.069,0.00271,0.365,0.698,0.102,149.958
This Moment Is so Sacred,2JqH1ZmFa1kQYTZdPKF5QU,Ahee,Quoems,0.424,0.623,2,-8.469,1,0.0735,0.265,0.737,0.395,0.247,155.976
Penquins,7ADvqFbtMsdYe1L3vDYLhm,Ahee,Quoems,0.38,0.786,5,-12.444,0,0.377,0.538,0.447,0.13,0.366,179.818
Elephasfet,0DCBPRll93v5lPRubFlLRv,Ahee,Quoems,0.592,0.541,7,-13.387,1,0.0405,0.89,0.942,0.122,0.151,155.999
Paeyes,6WrUibsz7so0Jibeg41QNE,Ahee,Quoems,0.411,0.506,0,-13.009,1,0.0407,0.688,0.924,0.112,0.273,199.978
Sevant Na,2YuAoYyXemdiUS8SgaVIRI,Ahee,Quoems,0.323,0.917,1,-10.826,1,0.0731,0.00905,0.834,0.345,0.0392,180.016
Bessi,5gozevVTxOuX1hUUQgIiO4,Ahee,Quoems,0.173,0.35,0,-18.248,1,0.0541,0.78,0.875,0.194,0.0721,176.715
Bowan,4QQYzTAQGmF51uGXHNn9zi,Ahee,Quoems,0.562,0.831,1,-10.079,0,0.1,0.503,0.0176,0.921,0.56,128.445
Widkel,7I8bsGxwR1iYCYNhmFizQW,Ahee,Quoems,0.63,0.43,11,-18.243,0,0.0677,0.419,0.907,0.151,0.251,128.987
Yowu,1BukDHJNLJaXnqqqCUYAx8,Ahee,Quoems,0.573,0.767,1,-10.737,0,0.0343,0.683,0.872,0.101,0.327,138.01
L,55W5BQhzsXd5DzpyqK0PgW,Ahee,Quoems,0.626,0.656,10,-8.519,0,0.0921,0.624,0.867,0.095,0.155,180.01
Tea Qui,1kBMfB9LT4jw4H7ukm0NCz,Ahee,Quoems,0.76,0.646,5,-8.753,1,0.0871,0.777,0.746,0.105,0.409,142.025
We Are Creators of the Ultimate Universe,3XOAcKLGUbRwXgDrNf74jn,Ahee,Quoems,0.525,0.857,4,-4.27,1,0.0852,0.898,0.646,0.101,0.0674,141.563
Doubleuls,5p7ug0HHEx9O9zt7b7Z4DV,Ahee,Xoris,0.641,0.353,9,-8.279,0,0.127,0.174,0.765,0.0838,0.539,76.229
Eykse,13AwO4GrZvsE9KlKMOyLrc,Ahee,Xoris,0.607,0.571,7,-12.113,0,0.0567,0.405,0.82,0.211,0.436,179.973
Weeb,6RGeV9KbJDoOKqGguAMWIS,Ahee,Xoris,0.755,0.59,1,-11.957,1,0.0865,0.00325,0.884,0.0897,0.424,108.019
Zoos,6KzZH9azawyW59jh28DmRZ,Ahee,Xoris,0.787,0.423,8,-14.643,0,0.0608,0.125,0.698,0.0967,0.139,101.22
Surrounded by Rainbows,2ZsY9iNsvYLRPxLnxe47lu,Ahee,Xoris,0.733,0.28,11,-13.112,1,0.108,0.0936,0.881,0.136,0.708,122.993
Hulua,4NUN99qF5Lnk6PFK7bRCI2,Ahee,Xoris,0.8,0.537,9,-17.64,1,0.205,0.0776,0.868,0.106,0.264,124.005
1960's,3TPCCcF9LcBkPX1qItqghQ,Ahee,Xoris,0.452,0.163,0,-26.197,1,0.0786,0.952,0.000396,0.561,0.935,103.014
Kru mes lo - Xoris Mix,1YEtwYo6F7HmbYo6IPfXjc,Ahee,Xoris,0.785,0.831,0,-7.93,1,0.0557,0.273,0.89,0.103,0.0366,119.992
Hmu - Xoris Mix,4RTdJR4IH76AQ77T9Fj917,Ahee,Xoris,0.659,0.57,0,-10.935,0,0.0761,0.397,0.881,0.118,0.0352,100.001
ybtpo - Xoris Mix,2MaCnM9I0xkXUal9BcTdXj,Ahee,Xoris,0.252,0.647,0,-7.406,1,0.0416,2.05e-05,0.926,0.364,0.133,119.916
Luminex Drax Mix - Xoris Mix,1pL2AvjaB5kbS6LshqgrrH,Ahee,Xoris,0.688,0.888,11,-8.177,0,0.105,0.0161,0.756,0.303,0.224,179.985
Foefo,7ypJEDbNI7e95Xk3VM44uh,Ahee,Xoris,0.679,0.672,1,-11.684,1,0.0648,0.0284,0.903,0.0901,0.0712,114.36
