track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Dawn,6fQg9GDGlmcGzEDbPtHqrO,ALLEYCVT,Dawn,0.293,0.94,5,-1.525,0,0.0428,0.000131,6.02e-06,0.194,0.0547,140.297
STRANGERS,5CNKAURJl6Z6RdiJxg5xYm,ALLEYCVT,STRANGERS,0.567,0.941,4,-1.862,0,0.0514,0.0141,0.000305,0.0865,0.244,144.943
STRATOSPHERE,3B5XMQi9y9GjRODZhOUfE5,ALLEYCVT,STRATOSPHERE,0.508,0.978,1,-0.638,1,0.117,0.000648,0.00959,0.148,0.178,142.984
FEEL IT,46ghb0YdtspAFUtmxtNgNo,ALLEYCVT,FEEL IT,0.534,0.897,5,-4.199,0,0.038,0.00031,0.0884,0.11,0.223,144.979
IN THE ALLEY,6rLZY5Jlr3PJVsMf9k6ixF,ALLEYCVT,IN THE ALLEY,0.661,0.869,8,-3.734,1,0.0432,0.000376,0.29,0.154,0.428,145.045
MISS U AGAIN,6AFESCtuUjE4vfi2OFKKn6,ALLEYCVT,MISS U AGAIN,0.406,0.944,6,-4.135,0,0.0875,0.00274,0.000102,0.184,0.104,72.528
F______ LOVE YOU,2LNZWTaw7gf1hZTjOXvZQC,ALLEYCVT,F______ LOVE YOU,0.576,0.863,9,-2.772,0,0.0739,0.0275,0.0106,0.304,0.373,79.972
GLITCH,3C3ZOzxGQtu4V1uxCmI799,ALLEYCVT,GLITCH,0.338,0.84,9,-3.726,0,0.132,0.0519,1.01e-05,0.0873,0.259,73.233
REMEMBER ME,725iOiE8tnUX1aJXc7ktXp,ALLEYCVT,REMEMBER ME,0.619,0.954,11,-0.691,0,0.137,0.031,0.00041,0.243,0.243,144.904
BACK2LIFE,5OufsgU38bnHTVDmYuzZhM,ALLEYCVT,BACK2LIFE,0.519,0.892,8,-1.677,1,0.0497,0.00533,0.00603,0.132,0.393,150.008
PHARAOH,0308vG9n7R77OwsspOz0xQ,ALLEYCVT,PHARAOH,0.623,0.941,1,-0.919,1,0.108,0.0185,0.15,0.408,0.509,155.005
RIGHT BACK,0W3HJy7O17rOSGOlTnP33r,ALLEYCVT,RIGHT BACK,0.467,0.736,9,-2.18,0,0.0478,0.0458,0.0,0.0635,0.275,74.914
RELIGION,0NDgPGQHjQhwNgkdiwRupo,ALLEYCVT,RELIGION,0.549,0.817,2,-2.34,0,0.153,0.128,3.2e-06,0.122,0.311,160.12
THROW IT DOWN,29cMcEZm3CK2HSdGm8lGo1,ALLEYCVT,THROW IT DOWN,0.62,0.683,8,-8.33,1,0.259,0.0311,0.0324,0.434,0.625,166.917
I'M GOOD,6rByGApFb8ZUbwTtjGU8MA,ALLEYCVT,I'M GOOD,0.611,0.569,6,-12.138,0,0.168,0.0617,6.74e-05,0.132,0.35,140.148
DONT KNOW WHAT TO DO,4l3we5zBt6WUe2ULc9iL72,ALLEYCVT,DONT KNOW WHAT TO DO,0.523,0.724,9,-8.351,0,0.0604,0.431,0.000189,0.0993,0.542,154.537
WHAT WE COULD BE,1azWhfAhvP05yD1oRgvZ3r,ALLEYCVT,WHAT WE COULD BE,0.604,0.669,10,-7.563,0,0.0346,0.168,1.19e-05,0.295,0.39,93.024
ELECTRIC SHOCK,1rbb71DqTlv2WHnIUOfqA4,ALLEYCVT,ELECTRIC SHOCK,0.655,0.452,4,-10.11,0,0.0475,0.45,7.21e-05,0.153,0.482,74.984
Back 2 U,178FEXEFcSI0TEQ9g22pdO,ALLEYCVT,Back 2 U,0.732,0.495,7,-9.405,0,0.0306,0.474,0.954,0.0708,0.549,120.007
