track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Koolaid - Oh Yeah Mix,1ZpTFDpF5mVOtU6NJQl6tr,Alves,Koolaid,0.742,0.702,9,-6.303,1,0.0471,0.0444,0.868,0.147,0.834,129.01
Focus,3rHfgO8ae41NQq829gpfti,Alves,Focus,0.799,0.864,7,-7.65,1,0.0512,0.000903,0.906,0.0663,0.608,130.009
Papi Que Tu Queires,3PKh9NFdcSxYAqYM2PKtno,Alves,Focus,0.799,0.917,4,-7.518,0,0.0452,0.00135,0.898,0.0731,0.55,130.007
Jamie,0MZiObcnwGcIcHM5m68Jfc,Alves,Jamie,0.807,0.818,7,-7.47,1,0.0494,0.00799,0.858,0.0846,0.843,127.005
My Hoes,291JrJwxCZVLwh1zUNelXc,Alves,Jamie,0.82,0.907,3,-5.675,1,0.0525,0.00184,0.459,0.11,0.943,127.997
Toma Safadona,2Z2t5WpXDe4HHnmN57bck5,Alves,Toma Safadona - Pa Moverlo,0.801,0.904,11,-5.414,1,0.0567,0.0121,0.243,0.0677,0.886,129.995
Pa Moverlo,6pE7wQ8eIq80sTQEYg2JxD,Alves,Toma Safadona - Pa Moverlo,0.796,0.994,10,-5.158,0,0.0539,0.00305,0.89,0.0699,0.805,129.983
Gostosa,7yonPEtc6CH2a4EpOmFMFP,Alves,Gostosa,0.803,0.919,8,-8.493,1,0.0552,0.00594,0.797,0.0704,0.929,130.001
Gostosa - ALL BLAKK Remix,0y24wmGW0ZrCgkQOsAfxfh,Alves,Gostosa,0.801,0.787,1,-8.725,0,0.051,0.00316,0.918,0.0582,0.123,130.018
Samba Do Brasil - Radio Edit,1P2XqXuMnNU10m1gk4xDhD,Alves,Samba Do Rio,0.743,0.876,0,-6.435,1,0.102,0.00978,0.00607,0.176,0.352,127.032
Samba Do Rio - Extended Version,4OJ2sQnMXcqoGOz4SVmD8Q,Alves,Samba Do Rio,0.78,0.854,11,-6.644,0,0.0851,0.00232,0.0278,0.0768,0.518,127.005
Downtown - Radio Edit,4Qe4rQqhFPnA2WpQ4ljRU0,Alves,Downtown,0.807,0.846,6,-13.995,1,0.0639,0.00511,0.844,0.0638,0.484,126.011
Downtown - extended,3yBZhFHH0xIShOTvX3QORf,Alves,Downtown,0.808,0.894,11,-13.937,1,0.0642,0.00127,0.869,0.0306,0.653,126.017
Ladies,5cjQv6YMS3ooMLw1tOWVRH,Alves,Ladies,0.846,0.912,6,-7.49,1,0.0589,0.00149,0.906,0.166,0.562,124.004
Arriba,6hBhLDqctUyKHK3qS9SUZ2,Alves,Arriba,0.806,0.736,11,-8.542,1,0.0724,0.00124,0.916,0.498,0.479,120.005
