track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
WINTER SEASON,6McIjSZ9DptQ3YfJ0LTYaa,Anastazja,WINTER SEASON,0.735,0.477,6,-9.917,0,0.0978,0.0061,0.0,0.149,0.374,122.003
Origami,1Ej6ePAfyQ8lS20CEpZjLt,Anastazja,DOMINO,0.673,0.826,8,-3.856,0,0.0484,0.106,0.0,0.308,0.264,121.931
Ptaku,6goPUXTdpvddS0UU0S2j4l,Anastazja,Ptaku,0.605,0.759,2,-7.661,0,0.257,0.0459,3.74e-06,0.0576,0.728,83.184
Jingle Bell Rock,4zQneLFXIUjTWqYd7fQ4RX,Anastazja,Jingle Bell Rock,0.582,0.657,3,-6.097,1,0.0271,0.301,0.0,0.346,0.877,76.006
ALERT!(RCB),3bZVRRIDpz3R0EwQ2IJDbJ,Anastazja,ALERT!(RCB),0.88,0.671,1,-9.666,1,0.0975,0.00498,0.506,0.132,0.526,128.038
Mule Therapy,5tUYI9sa9GpmrU3zfjkADy,Anastazja,Rusalka Dreams Compiled by Djane Anastazja,0.611,0.981,11,-4.132,1,0.0411,3.93e-05,0.669,0.0536,0.437,158.005
Fikcje,4ohdSHxQPdFsXBUueLetd7,Anastazja,Fikcje,0.768,0.706,11,-7.031,0,0.108,0.133,2.79e-06,0.119,0.464,119.865
The Moment,1XQLVW1XUHrlN3Po2tSTn1,Anastazja,The Moment,0.803,0.767,2,-5.555,1,0.0524,0.00712,0.0,0.331,0.513,124.955
Ojej,60GZ4EV6fyvItLoT33zEQJ,Anastazja,DOMINO,0.739,0.771,9,-5.324,0,0.138,0.0192,0.000102,0.0749,0.283,116.975
Merry Christmas kc,3qOr9W8JOeh3n78AP0oi4f,Anastazja,Merry Christmas kc,0.556,0.591,7,-8.861,1,0.0347,0.0569,0.0,0.0426,0.299,170.128
Rusalka Dreams V.A. Mixed by Djane Anastazja - Album Mix,0SlbeSXTFnP89KCftPzsk2,Anastazja,Rusalka Dreams Compiled by Djane Anastazja,0.297,0.974,11,-4.27,0,0.0655,2.76e-05,0.84,0.117,0.261,174.04
Level Up,7B6Ubgdfhc8jKp4rU4Cf8r,Anastazja,Level Up,0.684,0.785,5,-5.257,0,0.061,0.0494,0.0,0.121,0.438,74.889
Nieładnie,5uZnHOUd2KbsKsoqoNTszT,Anastazja,Nieładnie,0.594,0.551,6,-5.633,0,0.0292,0.637,0.0,0.111,0.0866,155.938
Groovadelic Vol.1 - Mix By Djane Anastazja - Album Mix,48zWSQPvNILnn4WP2NzjIJ,Anastazja,"Groovadelic, Vol. 1 Compiled by Djane Anastazja",0.597,0.98,7,-5.146,1,0.0463,4.02e-05,0.795,0.458,0.251,148.086
Soul Flames,6qf9XwGmF7AbknsrFV9bR1,Anastazja,Sykadelic Dreams Vol.1 Compiled by Champa,0.596,0.942,6,-6.738,1,0.0386,0.000494,0.867,0.143,0.284,145.995
02:02,4AqH0s4w57MQMNHTQ1FhRt,Anastazja,DOMINO,0.408,0.708,10,-4.4,0,0.0746,0.543,8.55e-06,0.127,0.485,139.763
Koniec Zabawy,7BZCLt0wjLGN5B2v8DaQmv,Anastazja,Koniec Zabawy,0.582,0.604,0,-8.71,1,0.119,0.0237,0.0,0.0983,0.278,149.984
Temat O Tobie,3nA2WGM7CFnKwW2nPPMd6V,Anastazja,Temat O Tobie,0.803,0.661,6,-7.018,0,0.0644,0.0395,0.136,0.138,0.365,121.946
21,19Q9m2imqJ7Lu7dJkejNTt,Anastazja,21,0.624,0.87,6,-6.935,1,0.413,0.184,0.0245,0.182,0.617,134.0
Cell Block D1 - Mix By Djane Anastazja - Continuous DJ Mix,4qz81qD1ExzPWwLWAOb3vW,Anastazja,Cell Block D1,0.724,0.978,11,-4.182,0,0.0442,1.42e-05,0.79,0.44,0.216,150.0
Temat O Tobie - Acoustic Session,4qHyWoTZBrTinDte8Es2K1,Anastazja,Temat O Tobie (Acoustic Session),0.647,0.402,6,-10.477,0,0.0421,0.453,1.76e-05,0.33,0.853,116.082
Jesteś pomysłem na…,1WiqjGQSRErLOLNGogYE6Q,Anastazja,Jesteś pomysłem na…,0.705,0.84,0,-5.734,0,0.0694,0.082,0.00085,0.177,0.466,120.017
Takie Tango (Live),1miS5NgV9PPRjhQ0FfHXSS,Anastazja,Takie Tango (Live),0.548,0.66,2,-7.246,0,0.0394,0.572,0.0,0.657,0.611,138.49
nibylandia,12PQItO87xxRQmY1cnv3rg,Anastazja,DOMINO,0.499,0.713,6,-5.659,0,0.0649,0.117,0.0,0.129,0.18,130.339
Ej lala!,5ERlT20BfIm0BXvacE63gn,Anastazja,DOMINO,0.745,0.803,7,-5.215,0,0.0559,0.0143,3.71e-06,0.491,0.588,130.128
+1,7AlK5MPvZwpoLOVmC3kEdg,Anastazja,DOMINO,0.759,0.565,7,-5.83,1,0.056,0.174,6.33e-06,0.364,0.202,113.033
zawieszenie broni,4NLBTaRwm0M7xIHmTnooav,Anastazja,DOMINO,0.389,0.6,5,-9.506,1,0.0947,0.0681,0.464,0.354,0.167,118.841
DOMINO,0wvejyNp6qOEpC1Krw4mx3,Anastazja,DOMINO,0.513,0.443,11,-9.231,0,0.19,0.335,3.11e-05,0.0854,0.209,120.525
Pinacolada (Demo),7G6rC0c2A6ogYnt1mKl1Zx,Anastazja,DOMINO,0.739,0.78,10,-5.672,0,0.124,0.189,0.0,0.0589,0.902,137.925
Bezludna Wyspa,7MutiEbdzjIpUUcEScEsyN,Anastazja,Bezludna Wyspa,0.864,0.69,7,-8.586,1,0.0713,0.309,0.000138,0.125,0.408,119.948
