track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
PRELUDE,0Uc3orONu02SGqI63KfDpd,angrybaby,AFTERWORK,0.258,0.431,1,-12.394,1,0.036,0.00809,0.807,0.378,0.0798,138.744
I FOUND LOVE,3OOzl993eMNrpI3c3aMGAr,angrybaby,AFTERWORK,0.694,0.791,5,-5.883,0,0.0542,0.0453,0.00454,0.17,0.4,140.077
BACK TO LIFE,2or0kZ7jts6ps2508BVQab,angrybaby,AFTERWORK,0.551,0.913,8,-5.314,0,0.0412,0.000921,0.00283,0.114,0.4,130.007
MOVE YOUR BODY,3byUZlK92WkW5Fd5pd1406,angrybaby,AFTERWORK,0.619,0.828,10,-6.752,0,0.0391,0.0289,0.351,0.161,0.632,142.02
SPAIN,68EVYeT7EZtqeqUbEmX9rZ,angrybaby,AFTERWORK,0.642,0.86,11,-4.919,0,0.0434,0.00174,0.611,0.194,0.435,129.986
SUPERSONIC,7mM9T6VRYde4uiruJr9ZAq,angrybaby,AFTERWORK,0.609,0.775,6,-7.868,0,0.0281,0.00327,0.0113,0.078,0.449,131.982
TIME OF YOUR LIFE,5kKnlvlcBzACYEOX1H4oyz,angrybaby,AFTERWORK,0.547,0.943,1,-4.356,1,0.0531,0.0252,0.0715,0.21,0.355,139.876
SUPREMACY,4Ej6iEq8bGI6S9tzTrfe66,angrybaby,AFTERWORK,0.636,0.849,7,-6.004,1,0.0377,0.000217,0.898,0.28,0.506,130.019
WHEN IT COMES TO YOU,7E4k65CjSEhmEUZ0y2E47A,angrybaby,AFTERWORK,0.713,0.649,11,-9.239,1,0.0398,0.421,0.0623,0.109,0.234,128.05
DIE FOR YOU,5b9VsW6yDyzqdu9rkvYp6B,angrybaby,DIE FOR YOU,0.529,0.965,10,-5.329,0,0.0356,0.000818,0.181,0.0945,0.203,139.994
Crying Over You (feat. Dakota),5J1mULz4oo960vW3xPCiP2,angrybaby,Crying Over You (feat. Dakota),0.663,0.822,5,-6.453,1,0.0395,0.129,0.179,0.114,0.228,132.017
