track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sound Of The Sunrise,6m5LSzsU466ynNvEkxoctM,AR/CO,Sound Of The Sunrise,0.613,0.939,7,-6.938,1,0.0373,0.000666,0.333,0.224,0.434,124.005
Sound Of The Sunrise - Extended Mix,6shX2d0TEuIoV8NNGhax4R,AR/CO,Sound Of The Sunrise,0.738,0.758,7,-8.376,1,0.0503,0.000191,0.717,0.0757,0.24,124.019
Fire Fire,35dt2bP4CcBzepyufQbvYZ,AR/CO,Fire Fire,0.683,0.822,7,-7.405,0,0.0366,0.0272,0.00406,0.292,0.262,124.944
Worlds Apart,4tUX1aYiThsz8JBrq7Tfj5,AR/CO,Worlds Apart,0.518,0.936,2,-3.626,1,0.0655,0.0136,1.17e-05,0.104,0.515,149.089
Generation Love,4VN7zNElegROYZccUa4z4V,AR/CO,Generation Love,0.655,0.9,7,-5.245,0,0.03,0.0352,0.00176,0.119,0.0944,128.006
Ocean,6jhAJgaS9OttFwP5Cn8WII,AR/CO,Ocean,0.683,0.978,9,-5.171,0,0.0495,0.0039,0.448,0.719,0.769,127.986
The Feeling,2XwfwHvM8iqvWL5bZWbo86,AR/CO,The Feeling,0.532,0.821,11,-4.065,1,0.0672,0.0649,0.0,0.159,0.293,174.937
Solar Eclipse,4wwq0jVZBx38GRlIj5Trwc,AR/CO,Solar Eclipse,0.778,0.93,5,-5.449,0,0.0581,0.242,0.0213,0.139,0.812,127.989
Night Feels,4KsS08Y4PbYhMGaSLUxIjI,AR/CO,Origin Stories,0.737,0.682,7,-4.2,0,0.0383,0.0714,0.00916,0.158,0.393,126.028
Cherry Lips,4so51wtisZh7i8mwGNnXGT,AR/CO,Origin Stories,0.624,0.877,2,-5.15,1,0.0409,0.0969,0.000708,0.211,0.464,121.975
Boys Like Girls,3j9tZ93BYN3NDM0JLlNXaU,AR/CO,Origin Stories,0.726,0.897,6,-3.75,1,0.0431,0.103,0.0489,0.2,0.493,123.015
Call Me By My Name,50MZD1Euu8BJ3CbjqQq41K,AR/CO,Origin Stories,0.688,0.869,5,-4.224,0,0.038,0.00418,2.5e-05,0.12,0.835,124.998
MOVE,49NXXZ9AVdbdHjaUoYbFqA,AR/CO,Origin Stories,0.695,0.856,6,-4.998,0,0.0388,0.017,0.00139,0.483,0.885,122.122
All Over The World,5MjKmEPRaBzJruoDe5yrM3,AR/CO,Origin Stories,0.564,0.883,8,-4.272,0,0.043,0.0442,0.187,0.543,0.312,123.958
Hot Air Balloon,0FnIkhd91os0zD1BDIbq82,AR/CO,Hot Air Balloon (Don Diablo VIP Mix),0.817,0.709,6,-6.35,0,0.046,0.129,0.493,0.113,0.57,122.969
Hot Air Balloon - Don Diablo VIP Mix,5MgqaXhd1UNEgH2430gDJo,AR/CO,Hot Air Balloon (Don Diablo VIP Mix),0.731,0.923,6,-1.859,0,0.0498,0.128,0.00532,0.271,0.224,129.948
Wake 'N' Shake,3iZzIU1RwKXiOHxVXY1HQF,AR/CO,Wake 'N' Shake,0.755,0.928,6,-6.881,1,0.0571,0.000261,0.0459,0.452,0.142,126.002
Vibration (One More Time) (feat. AR/CO),2t3iFlsIkaoV7GmVC2ptuM,AR/CO,Vibration (One More Time) (feat. AR/CO),0.516,0.965,0,-0.597,0,0.046,0.324,0.045,0.141,0.0954,173.976
Ready To Fly - Sub Focus & Dimension,4IFeG5WxyM5dn3x1YWIqJC,AR/CO,Vibration (One More Time) (feat. AR/CO),0.486,0.972,8,-0.349,0,0.056,0.0331,0.658,0.177,0.34,173.965
Supersonic L.U.V,17Z9tFg1qFpC2cRbSPQadL,AR/CO,Supersonic L.U.V,0.732,0.789,2,-4.157,1,0.055,0.0243,0.000198,0.112,0.781,128.012
Kinda Funny (feat. Audrey Mika) - AR/CO Remix,5RExPTBHnDp54wdWNl6FEO,AR/CO,Kinda Funny (feat. Audrey Mika) [AR/CO Remix],0.686,0.803,3,-4.944,0,0.0382,0.0326,0.00879,0.298,0.641,119.977
Under The Sun - SHÈN Sunset Mix,5cIjmrPIFUT57NXIdcAAyV,AR/CO,Under The Sun (SHÈN Mixes),0.662,0.589,7,-8.389,0,0.0274,0.0706,0.00019,0.201,0.127,127.972
Under The Sun - SHÈN Tribal Mix,4d5Tacia3fKXvvAIMYBXVH,AR/CO,Under The Sun (SHÈN Mixes),0.62,0.65,7,-10.041,0,0.0459,0.00177,0.698,0.116,0.172,121.987
Under The Sun,60BpPej8zrWUbHa40QyYwM,AR/CO,Under The Sun (SHÈN Mixes),0.633,0.916,7,-6.699,0,0.0357,0.0127,0.35,0.13,0.095,121.99
Tears In Ibiza (feat. AR/CO),7A0xA68c4NiTvbWWAsIsoN,AR/CO,Tears In Ibiza (feat. AR/CO),0.804,0.846,7,-5.324,0,0.0373,0.0704,0.000374,0.115,0.426,126.996
Under The Sun - Vintage Culture Remix,5AMMeb9pjO4M6k8zRE4awE,AR/CO,Under The Sun (Vintage Culture Remix),0.691,0.868,7,-8.383,0,0.0478,0.00834,0.374,0.644,0.459,126.965
Under The Sun - Vintage Culture Extended Remix,3A9K2IIx4E4i3uposHI3sF,AR/CO,Under The Sun (Vintage Culture Remix),0.77,0.869,2,-8.02,1,0.0582,0.00182,0.714,0.0663,0.423,126.993
Run Run (feat. AR/CO),187iPYA1Uo2mL75PQXV5wq,AR/CO,Run Run (feat. AR/CO),0.681,0.804,7,-8.12,1,0.0539,0.0744,0.355,0.284,0.155,125.982
