track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
DONA,30Z6Dp5Ddy6FN3xjm1XXLS,Argy,NEWORLD II,0.57,0.918,3,-6.385,0,0.0497,0.0635,0.761,0.375,0.26,132.004
Control,2gRyShgv73LgS6YXA6857V,Argy,NEWORLD II,0.65,0.948,5,-4.02,1,0.0519,0.0417,0.0301,0.274,0.139,125.018
Running,7hdIfUJ01vFMbDVPhdAc61,Argy,NEWORLD II,0.679,0.844,7,-6.498,1,0.043,0.0013,0.121,0.287,0.0931,126.007
Into The Deep,44BzHAlCDVM4M9I3khOxJW,Argy,NEWORLD II,0.656,0.935,4,-4.972,0,0.0633,0.213,0.789,0.282,0.27,130.013
BOOM,1r8kbyLbOIjBxMqlvi6CzG,Argy,NEWORLD II,0.754,0.957,6,-6.187,1,0.0533,0.00538,0.892,0.0603,0.309,123.99
Feel Alive,7yL7PZWz44aqp4p3w0hU4O,Argy,NEWORLD II,0.648,0.8,1,-6.339,1,0.0299,0.000747,0.344,0.352,0.477,131.986
Rage,5fy4yQwE2ElPE2xIBLYD9C,Argy,NEWORLD II,0.624,0.976,1,-5.962,1,0.0395,0.0113,0.743,0.129,0.356,125.0
Papito,333wKBFAIVdf5Xb9xJo7XY,Argy,NEWORLD II,0.726,0.771,0,-8.349,1,0.0461,0.000811,0.891,0.0992,0.0692,128.008
Chasing Highs,4A8lTCf0LdOA7fVW5BoN9Q,Argy,NEWORLD II,0.6,0.958,7,-6.234,1,0.037,0.000474,0.741,0.393,0.368,126.007
Alto,7tFRXtiOMvbMnrpGFJfNYW,Argy,NEWORLD II,0.555,0.942,11,-7.079,1,0.0344,0.00657,0.836,0.115,0.218,127.984
DURO,5FOrcteUmu9ApmNs5dNDq9,Argy,NEWORLD II,0.705,0.871,1,-5.755,1,0.0363,0.00469,0.465,0.279,0.121,126.012
Aria - Omiki Remix,3e1UH1P6muPTre7118AwCL,Argy,NEWORLD II,0.62,0.958,10,-6.417,0,0.0415,0.0108,0.259,0.469,0.357,140.006
Faust,4nlH5jTAEsKrWYYVfUouRX,Argy,New World,0.711,0.851,6,-6.772,0,0.037,0.00164,0.0593,0.138,0.0707,123.993
No One’s Coming,5yKh1r5JXYKjUS4QHeoixs,Argy,New World,0.683,0.743,7,-8.753,1,0.0484,0.00188,0.185,0.11,0.106,123.974
Aria,5vFJOD9V4rHgTLWaBRGQ4N,Argy,New World,0.652,0.818,10,-5.994,0,0.0276,0.00248,0.289,0.201,0.0893,122.005
All Day Long,6fKXxjyyfk43fNJFpQYPpK,Argy,New World,0.715,0.906,10,-6.556,1,0.0323,0.00608,0.702,0.104,0.149,122.997
Collision,6MkHAdIqixKMYvVqlfsZQe,Argy,New World,0.548,0.763,4,-7.909,0,0.0371,0.00249,0.895,0.087,0.0329,125.009
Dreamstates,6psagJHn3ApMiiMCWR0CAV,Argy,New World,0.596,0.965,1,-6.597,1,0.0353,0.012,0.757,0.0916,0.104,125.988
Higher Power,1TIMLgKChC124okobTao1d,Argy,New World,0.581,0.94,8,-6.421,0,0.0498,0.00153,0.0965,0.11,0.0578,125.985
GURU,2iVfJ11PkyX0Iwg0h2BnoQ,Argy,New World,0.63,0.924,11,-8.468,0,0.0395,0.00233,0.753,0.946,0.3,123.982
Pantheon,2JoOFFQnOG8LH01koNUE0w,Argy,New World,0.585,0.673,2,-8.274,1,0.0342,0.00062,0.284,0.205,0.0389,120.015
Wilderness,51Wr0KdcbZTg8Ok1v0nQss,Argy,New World,0.681,0.933,5,-8.301,0,0.09,0.0221,0.837,0.169,0.0381,123.998
Talk To Me,0U4IoSaZyxKVWa4i3UdJtG,Argy,New World,0.758,0.953,11,-7.539,1,0.0781,0.0271,0.912,0.0942,0.0372,124.014
Mental Powers,4mOuCqT9ZWytb1ZIP6kDnc,Argy,New World,0.805,0.894,7,-9.56,1,0.0583,0.0049,0.927,0.0822,0.241,124.024
Tataki,2wMb2OuKbwAZLF73cw5D00,Argy,New World,0.826,0.401,2,-11.684,1,0.117,0.0154,0.795,0.0999,0.0561,122.017
Tibet,2p7H2cVPAxtZd5FI1jf23u,Argy,New World,0.729,0.919,4,-8.763,0,0.0855,0.000355,0.616,0.321,0.0382,123.989
The Numbers,0Akv5CR7sHO0KBkvFiBl8v,Argy,The Numbers,0.794,0.67,11,-11.922,1,0.045,0.243,0.944,0.112,0.271,130.005
Tutti Frutti,1SnofE5yLvvf11eQ4VTCtE,Argy,The Numbers,0.785,0.603,10,-10.676,0,0.0475,0.000736,0.871,0.074,0.439,127.993
A.F.T.E.R,50TmXwzNTT4X41UmaBrpWD,Argy,The Numbers,0.798,0.904,0,-11.116,1,0.0428,1.88e-05,0.939,0.188,0.307,129.0
The Numbers - DJ Skull Remix,0GUiuw9qECspSowjEerOYE,Argy,The Numbers,0.801,0.832,1,-9.755,1,0.0425,0.00122,0.947,0.0881,0.406,130.012
The Numbers - Christian Burkhardt Remix,66cUayggeE69T34PD4kIVW,Argy,The Numbers,0.803,0.688,6,-11.209,0,0.0495,0.00109,0.913,0.0814,0.703,128.023
The Numbers - Edit,22XHNvVRdl0cXyY3rfvn17,Argy,The Numbers,0.793,0.731,11,-11.236,1,0.0449,0.167,0.945,0.115,0.32,130.008
Tutti Fruti - Edit,7JxUycfWz5nQYBxvdaChgK,Argy,The Numbers,0.768,0.769,10,-10.078,0,0.0422,0.000609,0.806,0.0661,0.439,127.993
A.F.T.E.R - Edit,2Jtn5WLpHkQAdvCj5xTwpu,Argy,The Numbers,0.796,0.915,9,-10.408,0,0.0437,2.11e-05,0.936,0.203,0.384,129.013
The Numbers - DJ Skull Remix Edit,2GugNdKNXBVFs5waiViXW7,Argy,The Numbers,0.8,0.873,1,-9.598,1,0.0511,0.00238,0.945,0.111,0.447,130.014
The Numbers - Christian Burkhardt Remix Edit,4kgc39BkAH20n5GMQYqRCL,Argy,The Numbers,0.8,0.766,6,-10.81,0,0.0427,0.00133,0.924,0.386,0.645,128.039
Hush - Argy Chronographic Mix,7jSx4ndVyYsZBTsSXWHeva,Argy,Chronographic,0.767,0.888,1,-9.816,0,0.0524,0.000817,0.834,0.0957,0.326,125.006
What Time Is It? - Its 2016 Version,4yz1jUEgWd8jQ7YL1ynlUJ,Argy,Chronographic,0.604,0.715,5,-7.168,0,0.0367,0.0129,0.882,0.0962,0.317,119.956
Daze to Come,6SXqbRcej2UIvFf8Uij6zT,Argy,Chronographic,0.559,0.944,1,-7.087,1,0.041,4.63e-05,0.801,0.108,0.126,122.96
Debbie Downer - Remastered Version,64K72mEImvJPzKaazgFrbQ,Argy,Chronographic,0.797,0.921,1,-7.348,1,0.0409,0.000846,0.797,0.135,0.738,127.007
Im In,3TgxBAd1PkKcir2rnT0ekM,Argy,Chronographic,0.766,0.808,1,-9.61,1,0.0493,0.000895,0.76,0.0995,0.174,127.015
Africa Freedom - Argy Remix,4ivepV3QFAyXe5zvHQgT9u,Argy,Chronographic,0.683,0.922,1,-8.699,1,0.0413,0.000139,0.94,0.0937,0.209,125.997
