track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
This Is What It Feels Like,5GjnIpUlLGEIYk052ISOw9,Armin van Buuren,Intense,0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.0632,0.145,129.885
Set Me Free,2DgQUPTincZnoRT5CJxTKi,Armin van Buuren,Set Me Free,0.52,0.903,11,-4.38,1,0.037,0.00746,5.37e-05,0.0968,0.267,143.016
Easy To Love,0BLxPjFEOG8G1q8AKLuz3V,Armin van Buuren,Feel Again,0.741,0.78,4,-5.294,1,0.0327,0.225,0.000136,0.255,0.725,120.031
In And Out Of Love,7nxTzZJmf2lLplk5pfV64h,Armin van Buuren,In And Out Of Love,0.355,0.777,5,-6.811,0,0.0413,0.201,0.0136,0.211,0.038,122.324
On & On,6wLqNGHQIja6xqT0cfrzBB,Armin van Buuren,Feel Again,0.681,0.933,0,-2.855,1,0.104,0.0221,0.00504,0.266,0.46,128.036
Blah Blah Blah,1moFkZDqcjQNeXtyoanLHv,Armin van Buuren,Balance,0.381,0.963,5,-3.911,0,0.0678,0.00892,0.00382,0.294,0.165,138.0
Blah Blah Blah - Bassjackers Remix,2wxs5sF8JzScf1CV8u9tNU,Armin van Buuren,Blah Blah Blah (Remixes),0.635,0.962,5,-2.699,0,0.053,0.0458,0.00581,0.68,0.311,132.017
Great Spirit,3Nku6gLNqnwUuq8GLkqyhW,Armin van Buuren,Great Spirit,0.592,0.911,9,-7.975,1,0.0659,0.00608,0.0123,0.223,0.211,103.517
In And Out Of Love - Slowed Version,20XNDz0YtYrplL0oLb3zKh,Armin van Buuren,In And Out Of Love (Slowed Version),0.5,0.695,6,-6.518,1,0.0321,0.307,1.35e-06,0.105,0.365,121.993
Sound of You,4J4KcVmHSypHymgMpAP9cn,Armin van Buuren,Sound of You,0.61,0.955,4,-1.559,0,0.121,0.0066,0.000293,0.452,0.794,87.477
Gimme The Love,46IsWuEwNXTxa3zwRVbU9E,Armin van Buuren,Gimme The Love,0.539,0.955,7,-3.356,0,0.0597,0.0101,0.000202,0.0956,0.217,142.045
Dopamine Machine,51PNLnmKamY7M7aSqIGWMq,Armin van Buuren,Ayi Giri / Dopamine Machine,0.329,0.996,2,-4.043,1,0.0727,0.00364,0.797,0.0861,0.157,149.795
Is It Beautiful? (A State of Trance 2025 TRANSFORMATION Anthem),0oVnw2HtmZAMQAyUoWx2k1,Armin van Buuren,Is It Beautiful? (A State of Trance 2025 TRANSFORMATION Anthem),0.463,0.871,5,-7.408,0,0.0433,0.0034,0.898,0.127,0.0469,138.013
Alone,2N2Mp4HjnYcmrZ2YqrKedy,Armin van Buuren,Intense,0.55,0.861,10,-6.526,1,0.0402,0.00592,0.00143,0.107,0.37,127.987
Love Is A Drug,5BYO2o4tpB4rzzVesxtUuT,Armin van Buuren,Breathe In,0.631,0.964,6,-3.225,0,0.0558,0.0211,0.0639,0.428,0.248,128.006
Techno Trance,1lMxKk2oWSpZ15hqxkhdb8,Armin van Buuren,Techno Trance,0.592,0.984,1,-3.95,0,0.0828,0.000143,0.884,0.222,0.189,133.994
Mr. Navigator,1Q7FZie2f2sJjfI5svBjGR,Armin van Buuren,Balance,0.76,0.961,1,-5.463,1,0.124,0.0209,0.324,0.366,0.138,134.081
Follow The Light,1tMKOSjEH8xDccWhfNj0d3,Armin van Buuren,Breathe,0.581,0.925,7,-8.119,0,0.0768,0.000839,0.305,0.646,0.0727,140.003
In And Out Of Love - Ian Tosel & Arthur M Remix,0oDGWMZtNh7PLAq77vyCab,Armin van Buuren,In And Out Of Love,0.684,0.639,1,-5.218,1,0.0323,0.00672,0.151,0.355,0.641,122.001
Heavy,00kTtwFuoRVfFiH8wJabBu,Armin van Buuren,Heavy,0.668,0.961,1,-5.292,0,0.0348,0.00224,0.00307,0.114,0.501,127.997
Leave A Little Love,5pmbZWt1lYVMvZ12MSdtqF,Armin van Buuren,Leave A Little Love,0.671,0.855,7,-4.254,0,0.0375,0.00437,0.0,0.131,0.329,117.98
Sonic Samba - Rising Star Remix,14OVWSQMjCjWsLhC0M8RBz,Armin van Buuren,Sonic Samba (Rising Star Remix),0.449,0.973,6,-4.648,0,0.0367,0.00584,0.938,0.141,0.0448,142.027
Turn It Up,0eDI4488gNLeA7pssOZHOD,Armin van Buuren,Balance,0.583,0.952,5,-6.113,0,0.0567,0.00134,0.00186,0.324,0.12,138.03
Jump - Armin van Buuren Remix,6aQ2Xtx7z1p2VM9w26yCZq,Armin van Buuren,Jump (Armin van Buuren Remix),0.597,0.848,0,-4.306,1,0.0287,0.000262,0.0332,0.0995,0.141,130.002
This Is What It Feels Like - Armin van Buuren 2023 Remix,2PnJd0B9YdOPvo96av2xJK,Armin van Buuren,This Is What It Feels Like (Armin van Buuren 2023 Remix),0.541,0.929,8,-4.831,1,0.0468,0.00468,0.0364,0.193,0.11,129.902
Repeat After Me,1F9xcExF9W7m5BxTdlJLED,Armin van Buuren,Repeat After Me,0.321,0.939,6,-4.86,0,0.0616,0.00342,0.81,0.0905,0.179,131.933
Let It Be For Love,4oCWAv1wVeJ3Wk3irk8e5o,Armin van Buuren,Breathe,0.398,0.663,3,-6.185,0,0.0492,0.0499,0.0,0.46,0.176,130.058
Put Your Bassline,6v7konxFReKxhPmx1E3YVi,Armin van Buuren,Put Your Bassline,0.551,0.986,0,-5.33,1,0.0497,0.000547,0.407,0.122,0.557,145.989
Lose This Feeling - Dimension Remix,5f69wzvle0b9ColR7wuvEK,Armin van Buuren,Lose This Feeling (Dimension Remix),0.491,0.966,0,-2.772,0,0.0817,0.368,0.524,0.171,0.46,173.98
In The Dark,0IAFmrpi9KF0PP3LONJonm,Armin van Buuren,In The Dark,0.633,0.898,2,-3.254,1,0.034,0.0132,2.07e-06,0.339,0.876,125.994
Another You,44EbX1Cuwpq3hdnpTHsmfO,Armin van Buuren,Embrace,0.59,0.647,6,-5.06,0,0.033,0.00807,4.3e-05,0.0921,0.39,127.979
What Took You So Long,2YSWJU0HINhi24oH19ALo6,Armin van Buuren,What Took You So Long,0.561,0.937,0,-4.301,0,0.0396,0.0312,0.000709,0.403,0.231,139.995
DELUSIONAL. (Armin van Buuren Remix),5abj4sDhyWN7t5j6bcm7yH,Armin van Buuren,DELUSIONAL. (Armin van Buuren Remix),0.543,0.824,0,-4.14,0,0.109,0.000677,0.00166,0.336,0.225,144.891
Sleepless Nights,39pgWHKvgtSlvEI0AWvi62,Armin van Buuren,Sleepless Nights,0.434,0.907,10,-5.248,0,0.109,0.303,0.0,0.155,0.418,138.139
No Fun,1q3qh7hEJrPmPH7uOteYSr,Armin van Buuren,Feel Again,0.731,0.904,10,-4.774,0,0.0349,0.00861,0.000164,0.0916,0.328,121.03
Everything I Wanted,1wZbHTKhnHGuxAen2xwRpn,Armin van Buuren,Everything I Wanted,0.248,0.923,8,-6.25,0,0.0495,0.00501,0.0743,0.732,0.868,127.995
Dream A Little Dream,3QLYpJeGjyLMIDj7roEphJ,Armin van Buuren,Dream A Little Dream,0.688,0.654,3,-6.618,1,0.0962,0.316,0.0,0.138,0.489,126.011
Euphoria (with Alok),2Fv1x10CiHukDdu96CYeHc,Armin van Buuren,Euphoria (with Alok),0.434,0.774,2,-5.652,0,0.0476,0.00591,0.000421,0.37,0.177,131.861
Dopamine Machine (ASOT 1263),5fyE2zPSgT5dJ5ssKRKDW7,Armin van Buuren,ASOT 1263 - A State of Trance Episode 1263 [Including Live at A State of Trance - Celebration Weekend (Saturday | Sphere Set) [Highlights]],0.508,0.993,9,-6.403,1,0.0709,0.00188,0.896,0.0986,0.134,149.973
Ayi Giri,5xqjH87yvNSUWHN8ezvlpb,Armin van Buuren,Ayi Giri / Dopamine Machine,0.597,0.873,1,-5.487,1,0.056,0.0041,0.0551,0.213,0.136,150.103
Bach To The Future,6kZFdUVrpfLxs8Z5n9xUQ4,Armin van Buuren,Bach To The Future,0.678,0.944,1,-6.917,0,0.0449,0.0101,0.921,0.222,0.107,138.043
Drowning - Avicii Remix,19XDJlw6WxC4XOKC1LGKid,Armin van Buuren,Drowning,0.533,0.849,11,-7.148,1,0.036,0.0365,0.00232,0.379,0.281,126.944
Not Even Love - Armin van Buuren Remix,6NhDKaW4gbPCrSUnUSw6nd,Armin van Buuren,Not Even Love (Armin van Buuren Remix),0.565,0.976,6,-3.781,0,0.0595,0.00138,0.0178,0.205,0.0385,141.963
Angels,7fc4OLUDFGSbfBfwp6gWua,Armin van Buuren,Angels,0.568,0.942,7,-2.633,0,0.0505,0.0108,0.000235,0.562,0.24,137.96
Take Off,1Qew5n9FSPxpiqu0Og4R3J,Armin van Buuren,Take Off,0.531,0.951,7,-7.572,1,0.0474,0.0232,0.863,0.12,0.0388,127.036
Set Me Free - Rising Star Remix,5Q3trMoWRxGMx6P86HgtnU,Armin van Buuren,Set Me Free (Remixes),0.492,0.92,11,-5.26,1,0.0595,0.00132,4.26e-05,0.119,0.21,140.031
Bed Of Rain,3FG2BE9ipXf6M6h5GrEuPy,Armin van Buuren,Breathe In,0.513,0.839,4,-7.8,1,0.103,0.0596,0.25,0.108,0.0736,134.96
Love Is Eternity,4iXTpwsitXpEeS9nojYVGb,Armin van Buuren,Love Is Eternity,0.528,0.963,8,-5.471,0,0.0544,0.0306,0.0264,0.114,0.13,125.964
Forever (Stay Like This),08yyvtQ8CNRH6Ogpj60p0n,Armin van Buuren,Breathe In,0.594,0.855,0,-5.879,1,0.0324,0.000538,0.65,0.357,0.498,123.986
Sunny Days,6RrUUleT9JI0KQHZYBdJMB,Armin van Buuren,Sunny Days,0.631,0.71,7,-7.09,1,0.031,0.00919,0.00577,0.139,0.243,115.007
Keep The Faith,40wS2odqmKnfpK8W23LNTW,Armin van Buuren,Keep The Faith,0.526,0.969,0,-4.488,1,0.0634,0.01,0.0917,0.357,0.261,126.011
Dragon,1J827bhoOFER99MdWqeoyU,Armin van Buuren,Dragon,0.591,0.972,8,-5.993,1,0.112,0.0111,0.0528,0.394,0.239,145.005
Love,7nCATZQ5JOx3KY8qLCXAE8,Armin van Buuren,Love,0.55,0.884,8,-6.777,0,0.0452,0.00269,0.00536,0.0672,0.0331,124.987
Blah Blah Blah - Lilly Palmer Remix,60BXInRHS0NQ1oVsnqA15a,Armin van Buuren,Blah Blah Blah (Lilly Palmer Remix),0.525,0.982,1,-5.722,1,0.0509,0.000382,0.579,0.218,0.0366,144.969
Love Is A Drug - Agents Of Time Remix,3MFiwJCd3rMIzFyQkt8FOo,Armin van Buuren,Love Is A Drug (Agents Of Time Remix),0.583,0.93,6,-5.418,0,0.0651,0.0324,0.228,0.138,0.343,126.011
In And Out Of Love - Extended Mix,18Ffw8gKfSBm2SL7ZnOx47,Armin van Buuren,Imagine,0.547,0.544,5,-10.163,0,0.0318,0.0196,0.0225,0.0862,0.523,134.988
Lost In Space,4O5c8T9I55IZr1hEUQrEGi,Armin van Buuren,Lost In Space,0.561,0.903,7,-4.868,0,0.0463,0.00917,0.0613,0.188,0.084,138.081
Part Of Me,1uv6iYfmG2vBotgFMR2NXY,Armin van Buuren,Part Of Me,0.669,0.89,10,-3.645,0,0.0462,0.0144,0.0174,0.116,0.676,122.036
Anita,2M2P3sbarzko7EWUtdaANf,Armin van Buuren,Anita,0.722,0.909,4,-3.952,0,0.0365,0.00371,0.00586,0.0792,0.392,140.041
Sound of You (Mixed),0SwelIIoPrPfl8yFDEjf4F,Armin van Buuren,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.5,0.92,4,-6.377,0,0.0439,0.00347,0.0577,0.89,0.304,127.988
Burned With Desire - Rising Star Vocal Mix,345UZaPdOy2EFft3JBLEmF,Armin van Buuren,Burned With Desire,0.487,0.916,4,-7.986,0,0.0302,0.000638,0.513,0.333,0.429,137.953
Sun Shines On Me (ASOT 1263) - ID Remix,4Mla1vBDyGn8KQXKkgORNj,Armin van Buuren,ASOT 1263 - A State of Trance Episode 1263 [Including Live at A State of Trance - Celebration Weekend (Saturday | Sphere Set) [Highlights]],0.634,0.936,7,-5.891,1,0.0353,0.00126,0.77,0.128,0.177,130.074
Let It Be For Love (Mixed),7APT06e2FTriVkWlwkePSM,Armin van Buuren,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.458,0.52,3,-11.08,0,0.0336,0.0057,0.0,0.244,0.0532,130.027
Off The Hook,6jmTQwFzejCurofZDz7x9k,Armin van Buuren,Off The Hook,0.705,0.951,11,-3.754,0,0.0743,0.0113,0.503,0.346,0.153,129.967
