track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Acid Rocker - Antinomy Remix,5QyuuDwAXgw5HVanpJQHSi,Astrix,Remixes,0.6,0.932,7,-6.047,1,0.0803,0.00244,0.848,0.115,0.233,142.014
Adventure Mode - Spectra Sonics Remix,0y76VqlrwFfPzU8FRQH0aw,Astrix,Remixes,0.612,0.878,9,-6.313,1,0.0414,0.000481,0.802,0.138,0.138,145.006
Poison - Darma Remix,2fS24UOnvWXqzD2eJ8qifH,Astrix,Remixes,0.358,0.834,8,-7.517,1,0.0672,0.00119,0.823,0.145,0.148,145.024
Life System - Mad Tribe Remix,3mOSv9BvCiMypoukxm7NaZ,Astrix,Remixes,0.541,0.956,11,-5.593,1,0.0547,0.000149,0.865,0.346,0.343,145.022
Sahara - Tristan Remix,2zvtTqDuuMoZI3jKgnMIer,Astrix,Remixes,0.566,0.966,6,-6.115,0,0.0523,0.000638,0.646,0.16,0.0368,144.999
Mir - Samra Remix,3ArEDTiJ0iHoKgR0oovj9h,Astrix,Remixes,0.504,0.93,7,-6.635,0,0.0554,0.00444,0.776,0.229,0.3,145.014
Sapana - Avalon Remix,5XOsVtC4JMqNUVg48w9z13,Astrix,Remixes,0.614,0.946,11,-6.165,0,0.0408,7.99e-05,0.718,0.199,0.0768,144.011
Underbeat - Outside the Universe & Imagine Mars Remix,5PVsmejoPl00vubS2IZiaG,Astrix,Remixes,0.571,0.959,2,-6.251,1,0.101,0.000601,0.863,0.542,0.0524,144.01
Beyond the Senses - Bliss Remix,5tOWprFIrEbb0s0ZNz71AJ,Astrix,Remixes,0.491,0.92,6,-6.533,0,0.0413,0.00271,0.784,0.224,0.162,139.992
In & Out - Liquid Soul Remix,1XkLzT3vPo0T0DDWPyt9kW,Astrix,Life Is a Remix,0.693,0.86,4,-7.264,0,0.0619,0.00118,0.733,0.272,0.0496,137.985
Talking with U.f.o's - Ace Ventura & Outsiders Remix,3WjWQpW1O9kxHScj0VV62v,Astrix,Life Is a Remix,0.58,0.938,0,-6.44,1,0.054,0.000186,0.721,0.724,0.0706,140.016
Universe Inside Me - Ghost Rider & Ranji Remix,2UUMnbLZRrpNFsUtC7Ivze,Astrix,Life Is a Remix,0.611,0.796,0,-5.886,1,0.0428,0.0303,0.863,0.122,0.529,138.021
Adhana - Blastoyz Remix,6Ah9d3Giq9OcilUGJYLfX7,Astrix,Life Is a Remix,0.508,0.957,9,-3.297,1,0.0892,0.00241,0.865,0.0964,0.296,138.012
The Tribe - Bliss Remix,7ng0yzwWIpVfTmUkYEeixo,Astrix,Life Is a Remix,0.508,0.975,4,-4.205,0,0.0724,0.00101,0.78,0.0877,0.0917,142.007
Anything & Everything - Infected Mushroom Remix,4Dm5O8EaEVHWvYkenVV1pM,Astrix,Life Is a Remix,0.614,0.897,11,-7.017,0,0.0573,0.0126,0.843,0.156,0.28,138.006
Fkd up Kids - Skazi & Pop Art Remix,52qoEC7qK2JygjfQsiuoA8,Astrix,Life Is a Remix,0.282,0.976,0,-4.273,1,0.0909,0.00154,0.405,0.13,0.206,138.018
Namaste - Hilight Tribe Remix,6wEOonvy7LBC3rjDtFEgYK,Astrix,Life Is a Remix,0.576,0.912,2,-6.691,1,0.0517,0.00725,0.259,0.239,0.152,144.992
Back Underground - GMS Remix,1nDjBOl8UIMUmg44PVUMZz,Astrix,Life Is a Remix,0.485,0.944,4,-6.998,0,0.127,0.00162,0.835,0.0911,0.0294,137.022
Expender - Tristan Remix,35wQZsTC7boh0aj4NIRIuJ,Astrix,Life Is a Remix,0.597,0.977,6,-4.935,1,0.0461,0.000368,0.816,0.0971,0.0982,148.014
Ravers Army - Ticon & Animato Remix,0lXZDnGqU1WqflvfXiVXQI,Astrix,Life Is a Remix,0.649,0.952,7,-5.535,1,0.0485,0.00148,0.887,0.274,0.072,137.992
Trust in Trance - Astral Projection Remix,6WLKx72WlAN3Zo6xvLb65k,Astrix,Life Is a Remix,0.455,0.921,1,-6.448,1,0.0343,0.00266,0.894,0.149,0.0565,137.984
Divine Mode - Pixel Remix,3wNZmZz1cY7alHinkHCAaL,Astrix,Life Is a Remix,0.645,0.936,11,-6.594,0,0.0402,0.00288,0.872,0.227,0.229,136.993
Alteza - Phaxe Remix,1UdRhydCeCaT8SfYTRnrub,Astrix,Life Is a Remix,0.575,0.872,2,-6.265,1,0.0457,0.00111,0.488,0.137,0.0525,136.015
Veni Vidi Vici - Captain Hook Remix,1NfWYjGnJ48xIND8EmkRt3,Astrix,Life Is a Remix,0.676,0.776,2,-8.36,1,0.0469,0.000351,0.874,0.388,0.152,142.013
Flashback - Freedom Fighters Remix,5QA2vP3wnmckVZaEd5khd3,Astrix,Life Is a Remix,0.642,0.879,1,-8.977,1,0.0326,0.000267,0.833,0.051,0.039,135.991
