track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pa Arriba,29Z4IbOgllD17UeEbk1poQ,Bolo,Pa Arriba,0.805,0.866,10,-5.34,0,0.0948,0.0278,0.0134,0.0862,0.473,125.98
Sigo Extrañando,14wb4WKTP1m9r5Qa1xGt4f,Bolo,Sigo Extrañando,0.732,0.589,6,-8.901,0,0.204,0.238,0.000113,0.104,0.187,125.938
La Culebra,55tOVPYMdxdRWMhF23ZQSb,Bolo,La Culebra,0.803,0.715,7,-6.691,1,0.0606,0.00051,0.17,0.285,0.293,125.997
Te Ves Buena,1Q4wwN5ONQPnmWDaun0Z9h,Bolo,Te Ves Buena,0.812,0.968,10,-4.833,0,0.0523,0.00361,0.000186,0.0827,0.477,126.081
Dale Don Dale,09rN1xxBGIs4lBehf0RAYz,Bolo,Dale Don Dale,0.763,0.863,2,-7.174,1,0.0545,0.00176,0.0297,0.0833,0.559,127.001
Provenza,7dnBAltsnm2Go6Ro9zgz3K,Bolo,Provenza,0.895,0.693,5,-7.033,0,0.0698,0.00918,0.000538,0.154,0.393,125.943
Tuku Tu,1ICNLsyIPgrIjN36Txxx7B,Bolo,Tuku Tu,0.879,0.809,1,-6.226,1,0.064,0.00787,0.95,0.057,0.735,126.961
Back 2 Me,51hKH6XvEiXScUWOqvwGHO,Bolo,Back 2 Me,0.685,0.601,7,-4.569,1,0.0494,0.0367,0.0,0.225,0.547,99.97
Anarchy,2KGwNZEg5I150ih0FHHuQn,Bolo,Quarantingz,0.744,0.718,0,-8.855,1,0.253,0.0895,0.0346,0.138,0.657,102.972
Bownce,44aaczOabF1pGiuGY6CowZ,Bolo,Quarantingz,0.92,0.88,11,-7.325,0,0.151,0.0219,0.483,0.0844,0.837,127.979
Do The Time,1s8uLbPJl9RW5L62kGdtD6,Bolo,Quarantingz,0.707,0.753,2,-7.386,0,0.241,0.0364,0.0,0.389,0.179,96.991
Structure,4ZeWESXXRs9FEVhKHPuI0T,Bolo,Quarantingz,0.829,0.807,1,-7.606,0,0.0696,0.155,0.438,0.0295,0.244,104.995
