track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
When The Levee Breaks / Sweet Leaf - Live,0R1EouuJU9dwBg0MI1KtPT,Boogie T,Live From Spring Adventure,0.54,0.635,5,-6.751,0,0.0373,0.00125,0.000356,0.52,0.55,144.951
Packing Bags - Live,3otyCHfxmzRDkmsVgw3vVa,Boogie T,Live From Spring Adventure,0.483,0.743,4,-6.334,0,0.038,0.181,0.0,0.7,0.222,74.968
Main Street - Live,2IGXVQ3CldzQoOWbOn1Ite,Boogie T,Live From Spring Adventure,0.604,0.704,2,-5.402,1,0.0597,0.045,0.0,0.961,0.414,80.005
Get What You Give - Live,5BgmwgvZtwNj0QxkQp5WQb,Boogie T,Live From Spring Adventure,0.537,0.768,6,-6.258,0,0.0495,0.0538,0.0,0.821,0.495,87.14
Space Man - Live,0JEvhgFr9rgFgHf7PzZWwv,Boogie T,Live From Spring Adventure,0.595,0.688,5,-7.222,1,0.0284,0.0738,1.42e-06,0.894,0.301,149.916
Far - Live,3n8lVEqPFB7IqEUiUHSGPb,Boogie T,Live From Spring Adventure,0.473,0.615,1,-6.73,1,0.0548,0.0921,1.45e-06,0.354,0.277,174.006
Disco Moses - Live,47sYJJMgMfOFnUGoSwJpcv,Boogie T,Live From Spring Adventure,0.669,0.841,0,-5.549,0,0.0728,0.0557,2.7e-06,0.937,0.654,104.999
Free - Live,01OWArbSCES6gXmf3pXbZZ,Boogie T,Live From Spring Adventure,0.282,0.759,4,-5.861,1,0.0878,0.00363,1.52e-05,0.659,0.264,85.987
Reminisce - Live,7DMIEMIajmIh0YqYdQPzQ3,Boogie T,Live From Spring Adventure,0.684,0.651,11,-7.151,0,0.0426,0.0804,0.0,0.392,0.385,144.989
Born Under A Bad Sign - Live,7pi5wJhBTevz1wrDwfVD6f,Boogie T,Live From Spring Adventure,0.547,0.69,8,-5.872,0,0.0427,0.0379,0.000894,0.957,0.489,95.024
Too Thick To Bleed - Live,1cFs6jd3iRK0O6pa8htqcO,Boogie T,Live From Spring Adventure,0.652,0.806,11,-5.429,0,0.0991,0.0915,0.0,0.777,0.468,94.981
Flava - Live,6AxbSA4RPI71tYbeb4MKua,Boogie T,Live From Spring Adventure,0.326,0.7,1,-7.613,0,0.044,0.0945,5.27e-06,0.728,0.481,159.772
Mind A Racin' - Live,2dBcRI3slan7ldADaZkNNF,Boogie T,Live From Spring Adventure,0.55,0.751,0,-6.629,0,0.0561,0.189,0.0,0.543,0.438,81.995
Dear Weed Man - Live,0E9Ija4VqOEvZS25Lfxw4f,Boogie T,Live From Spring Adventure,0.565,0.706,4,-5.372,0,0.0345,0.136,0.0,0.442,0.446,75.014
Psych,5nm5ae8q0hmzyG9BdX8lv6,Boogie T,Psych,0.806,0.496,3,-4.582,0,0.302,0.365,0.725,0.0996,0.536,140.02
Burnin,31MOGp9qJCW3NK4RHMizrF,Boogie T,Burnin,0.699,0.922,6,-2.188,0,0.119,0.014,0.000384,0.109,0.587,80.023
On The Rocks,7ur5EWuxtY92yC8yasYhZg,Boogie T,On The Rocks,0.675,0.654,1,-6.202,0,0.172,0.0148,4.79e-05,0.661,0.302,139.936
Encore,0M0l4xJeXukyttZTQkYF8O,Boogie T,Encore,0.729,0.746,4,-6.266,1,0.323,0.256,0.000108,0.296,0.448,140.095
Dead Genres,6MyOsOspWaJlYsu4h9BaA0,Boogie T,The Archives,0.768,0.952,9,-2.588,1,0.216,0.000157,0.00475,0.404,0.642,149.998
Open Up This Pit,6vKOUJvLj02q7zdGrS2vp1,Boogie T,The Archives,0.764,0.865,11,-3.589,0,0.199,0.000738,0.0995,0.164,0.38,75.038
BOUW,0YcdjvuWJU1b2i9BjAxN1d,Boogie T,The Archives,0.786,0.944,1,-2.408,1,0.226,0.0144,7.01e-05,0.41,0.618,140.05
Riddim Nation,7uJTe2L289w7RE1XDSc9SV,Boogie T,The Archives,0.522,0.935,1,-2.326,0,0.0664,6.35e-05,0.0159,0.14,0.214,139.977
Rubber Biscuit,6O0eaC3Bq7BGciaHrvfjjO,Boogie T,The Archives,0.755,0.785,10,-4.707,0,0.357,0.00187,0.00122,0.353,0.753,140.064
Clarity,0j1V4Ng16o67NuoYjHL2sa,Boogie T,Clarity,0.654,0.948,6,-3.299,0,0.0531,0.00132,0.0437,0.258,0.38,139.985
Smokin' Dat Spliff,5gwHpVeh0JdUDtSHJCrphg,Boogie T,Smokin' Dat Spliff,0.803,0.588,10,-4.787,0,0.14,0.12,0.0085,0.0767,0.264,145.007
The Old Stuff,3tY0URfCPpvFW2CWJ9GX2Q,Boogie T,Joint Force 2 EP,0.802,0.785,1,-4.16,0,0.126,0.0353,2.54e-06,0.878,0.749,139.878
Boogie Fam,4vfxo6uWuli3ER3xXEU80l,Boogie T,Joint Force 2 EP,0.66,0.76,9,-4.701,1,0.0761,0.0113,0.000542,0.791,0.827,159.9
Tommy Knocker,6SyXvNvF6NXAuidY5IboGW,Boogie T,Joint Force 2 EP,0.611,0.93,0,-3.75,1,0.367,0.0411,0.00505,0.128,0.377,139.849
Swamp Ting,1w4P729vqIe0EKL9Mg8Y3h,Boogie T,Joint Force 2 EP,0.798,0.821,4,-4.287,1,0.22,0.00707,0.13,0.17,0.741,75.05
Silver,0qNl3TYeofPSRrTwPeHUpd,Boogie T,Silver,0.529,0.66,10,-7.508,0,0.0792,0.0191,0.00127,0.116,0.443,139.697
Get Down The Clown,7ht8B6G89HluBPiApVGtv4,Boogie T,Get Down The Clown,0.593,0.946,6,-2.753,1,0.327,0.0147,0.0691,0.328,0.35,149.993
Mouth Orchestra,41pKVe9rpIEpan9AlDAsds,Boogie T,Mouth Orchestra,0.776,0.85,1,-3.237,1,0.101,0.00294,0.0744,0.128,0.618,74.995
Don't Fear The Reefer,7vVlDWyAKsIQp4mvJqEgDx,Boogie T,Don't Fear The Reefer,0.567,0.821,11,-4.034,0,0.19,0.0117,0.00157,0.0852,0.371,104.699
First Try,7qdDz6yRqKQbvUQbaYrGkI,Boogie T,First Try,0.568,0.883,2,-3.813,1,0.263,0.0454,0.0435,0.315,0.292,75.024
Mash It Up,0glXBMmeDOfnYnwmg35Nu7,Boogie T,Joint Force EP,0.859,0.712,1,-3.465,0,0.0973,0.00298,0.723,0.149,0.536,150.047
Box Beat,5RAmwjg1kd8zrRM5h8hkaI,Boogie T,Joint Force EP,0.51,0.93,6,-5.529,1,0.343,0.0158,0.704,0.155,0.538,92.881
Ole Possum,28dkjDxyActwKZJqY9vpQB,Boogie T,Joint Force EP,0.653,0.7,11,-5.161,1,0.0579,0.0221,0.025,0.0675,0.454,139.771
Wicked,7mnIpRR0L7CRmNkuvidLkL,Boogie T,Joint Force EP,0.841,0.604,0,-4.406,1,0.064,0.0068,0.399,0.292,0.174,69.987
Hot Garbage,7ydGhXIOTyCnZry62YxzSO,Boogie T,Joint Force EP,0.567,0.939,10,-5.809,0,0.132,0.00155,0.758,0.156,0.725,174.912
Whirlwind Check,2H383z0rXde1UxGUywjPef,Boogie T,Whirlwind Check,0.835,0.657,6,-7.758,1,0.349,0.0879,0.000256,0.0691,0.789,160.118
Nuclear Bass Face (feat. Boogie T),2N6EnehmF6MOH2fgnQB73d,Boogie T,Nuclear Bass Face (feat. Boogie T),0.677,0.904,5,-1.43,1,0.105,0.0178,0.000934,0.585,0.614,149.996
Bad Mon Choon,7varVNb75fAeYkJsWOapDX,Boogie T,Old Gold EP,0.835,0.845,11,-3.279,0,0.0581,0.00273,0.096,0.0972,0.319,140.03
Mountain G.O.A.T.,1ZACl4jdms6ALLvod9yug6,Boogie T,Old Gold EP,0.84,0.811,2,-2.563,1,0.0967,0.0209,0.0372,0.817,0.567,139.999
Duck Duck Goose,0qgypHIFZe7E2ckbWYYxq8,Boogie T,Old Gold EP,0.724,0.921,1,-2.474,1,0.296,0.00228,3.78e-06,0.137,0.69,149.914
Bambaataa,0fWrTEEsHdLh9JnlkPXXFS,Boogie T,Old Gold EP,0.763,0.938,2,-5.658,0,0.16,0.00281,0.248,0.415,0.68,149.963
Soul Pad,01Cx8gegs2qDWtAHINPvaO,Boogie T,Sweet T EP,0.476,0.729,7,-6.944,1,0.356,0.00772,0.0,0.0828,0.446,180.021
Shook Crews,12PeeSI7aRDU2v2A6WSCBk,Boogie T,Sweet T EP,0.676,0.885,6,-4.047,1,0.348,0.00645,2.68e-06,0.285,0.738,89.391
Heaven,32IXAtpPNONsF3Zg4irK69,Boogie T,Sweet T EP,0.695,0.607,6,-6.17,0,0.326,0.026,0.0,0.0907,0.303,149.984
Supa Fly,2zNgByt8J160D4Rf9sB1G4,Boogie T,Supa Fly,0.634,0.905,10,-4.088,0,0.0587,0.00056,0.474,0.182,0.52,144.991
Supa Fly - Rusko Remix,0sbwlnInAf5Y8xVDIHCiGd,Boogie T,Supa Fly,0.642,0.52,1,-7.223,1,0.0509,0.0219,0.0713,0.218,0.318,72.502
Supa Fly - Gentlemens Club Remix,4OfwkFWLw1dlxvtNenor8V,Boogie T,Supa Fly,0.603,0.89,1,-4.625,1,0.131,0.000717,0.0832,0.778,0.422,111.986
Supa Fly - Dirt Monkey x Jantsen Remix,0H8gwQoVfk8pJQkPrDBMs5,Boogie T,Supa Fly,0.535,0.933,10,-2.267,0,0.0505,0.000454,0.000837,0.259,0.378,145.005
Money,3UIKG58CTy6ITbOMSN4SQv,Boogie T,Money,0.611,0.933,10,-3.835,1,0.0862,0.000306,0.31,0.166,0.499,140.079
Senpai,4TebxwaRPwVGlX3RQxo2FS,Boogie T,Senpai,0.81,0.916,1,-1.469,1,0.176,0.0127,0.00101,0.133,0.638,150.041
Senpai - HE$H x Bommer Remix,2QeJJUJAbtBroi8QmlPEXA,Boogie T,Senpai,0.756,0.904,2,-2.368,1,0.297,0.0248,0.104,0.337,0.227,150.005
Senpai - L.U.X Remix,48VrqVbakMyggDMhHAdGKP,Boogie T,Senpai,0.756,0.983,10,-0.565,0,0.25,0.0578,0.000269,0.887,0.47,75.008
2KFO,3AghdVhckzfAes2ZRBiI0X,Boogie T,2KFO,0.758,0.911,0,-3.023,1,0.344,0.107,0.00546,0.307,0.443,139.902
2KFO - BOARCROK Remix,2DIbpcVxGtZ7WHdP1CWgSj,Boogie T,2KFO,0.896,0.494,11,-9.025,1,0.267,0.108,0.468,0.319,0.176,140.109
2KFO - Devious Remix,57sW6zQmStruSaf2XwLIAe,Boogie T,2KFO,0.659,0.975,1,-2.727,0,0.305,0.0121,0.00879,0.776,0.607,140.139
2KFO - Dirt Monkey Remix,5T8wYJGpBtGG5hKadnoz0H,Boogie T,2KFO,0.812,0.701,11,-4.606,0,0.167,0.0844,0.00847,0.14,0.47,150.033
2KFO - DirtySnatcha Remix,4XSeJZuzKP61TlXAY7uDgy,Boogie T,2KFO,0.644,0.789,11,-2.299,1,0.054,0.0398,0.0197,0.116,0.158,140.101
2KFO - Madhatter! Remix,4Y6WEGU9WkCqHLt9nxrCm0,Boogie T,2KFO,0.809,0.963,11,-2.952,0,0.0822,0.0508,0.00174,0.267,0.97,145.012
2KFO - Mantis Remix,6tL2K1Zog93PjCE0fRJREx,Boogie T,2KFO,0.38,0.844,6,-5.287,1,0.0717,0.0207,0.228,0.128,0.0391,145.017
2KFO - Prophet Remix,3xx8XaNjVu2rdk5CigW0VU,Boogie T,2KFO,0.88,0.701,11,-6.412,0,0.159,0.255,0.0583,0.079,0.371,139.989
2KFO - sfam Remix,0PCo7OyzTY2nIOnSmSV3TJ,Boogie T,2KFO,0.789,0.96,6,-2.643,1,0.164,0.0054,0.128,0.191,0.489,149.995
2KFO - Subtronics Remix,6ChaDSE82n4P0xOdDHzEIT,Boogie T,2KFO,0.758,0.964,11,-0.814,0,0.195,0.00698,0.239,0.524,0.524,140.097
2KFO - Sunday Service Remix,4g1BXdlmEJMdCzC4lLuwFV,Boogie T,2KFO,0.676,0.949,1,-3.97,1,0.396,0.0153,0.0937,0.359,0.137,144.989
2KFO - Symbiotic Remix,0jpdZ1vV7kJzRJFT7ZfvMK,Boogie T,2KFO,0.804,0.928,2,-1.776,1,0.397,0.000769,0.105,0.0775,0.394,140.036
2KFO - um.. Remix,2NrcvLUhORSy0zhklQYAdL,Boogie T,2KFO,0.843,0.913,1,-3.441,1,0.348,0.0168,0.0405,0.244,0.842,75.002
'Til The Joint Rolled,12z0njTajKsScvs7DejFAh,Boogie T,'Til The Joint Rolled,0.703,0.905,0,-3.974,0,0.137,0.00128,0.0329,0.38,0.562,150.005
Redline,3F5infUkSUta4QJy2qoymt,Boogie T,Redline,0.578,0.977,1,-1.97,0,0.299,0.0324,0.000257,0.339,0.266,150.102
BAD,5VtBsDdecxhpBzeFUKgd9M,Boogie T,BAD,0.62,0.978,4,-2.603,1,0.348,0.00799,0.00736,0.335,0.305,75.011
Bad Motha - Wake the Night Remix,5PUXDVXCqorDeDlJ6hH3Mp,Boogie T,Bad Motha (Wake The Night Remix),0.553,0.919,8,-3.711,1,0.341,0.00209,0.0576,0.231,0.46,144.868
Bad Motha - Smooth Move Remix,0FIdOL3qUw0jdjoVmPS0oj,Boogie T,Bad Motha (Smooth Move Remix),0.651,0.836,10,-8.106,0,0.0984,0.135,0.112,0.266,0.11,125.984
Bad Motha - VIP Rework,1sLoIpUV1xsEBQqRlnGAlw,Boogie T,Bad Motha (VIP Rework),0.795,0.947,11,-2.182,0,0.376,0.0321,0.165,0.121,0.508,74.99
Sell Out,2dTLRP0CkXB3BSgLjHivcN,Boogie T,Soul'd Out,0.789,0.936,7,-2.251,1,0.132,0.0016,0.00374,0.0989,0.479,140.031
Beef,6Frc06mJw26E3cLGaZVGzh,Boogie T,Soul'd Out,0.752,0.923,11,-3.195,0,0.0382,0.0736,0.0121,0.0832,0.534,140.03
Raven Master,0Wwzm80Zcb5RHLtKRQpzqt,Boogie T,Soul'd Out,0.832,0.934,7,-3.622,1,0.124,0.00315,0.000677,0.265,0.613,140.038
Shape Shifter,5RSfIVvNUsgd0GyV492s2Q,Boogie T,Soul'd Out,0.713,0.874,0,-4.706,1,0.321,0.147,0.0607,0.746,0.476,170.085
Arcade Riddim,4ioDKrHVfzLM0zVXg6rL20,Boogie T,Arcade Riddim,0.813,0.887,9,-3.352,1,0.242,0.0197,0.248,0.285,0.296,140.014
Flava,4OwCz4D1JvgPkNjyGrfSAH,Boogie T,Flava,0.681,0.849,2,-3.257,1,0.0409,0.0265,0.00787,0.307,0.467,160.061
Bad Motha,2KzLuxD63HjldYM3Ilapq2,Boogie T,Bad Motha,0.701,0.939,1,-1.743,1,0.478,0.0191,0.0146,0.353,0.165,75.035
God Eater,1Dsa3Q4XeZMaVvlaanKWWC,Boogie T,God Eater,0.613,0.921,8,-3.181,1,0.0464,0.000709,0.843,0.433,0.57,155.032
