track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
It Begins To Speak,5VMHNYm0QclVUbIg54gkuR,Bou,Burying Brightness,0.274,0.987,3,-4.294,0,0.161,0.000641,0.499,0.0853,0.0371,132.919
Your Own Murder,4b45Zw5I7onhcg0bwj3SOg,Bou,Burying Brightness,0.288,0.933,8,-3.179,1,0.184,9.36e-05,0.000235,0.354,0.398,100.088
This Is What It's Like,1uicT0WrzE82WHbUOMUjiv,Bou,Burying Brightness,0.239,0.962,2,-3.309,1,0.172,0.000251,0.000236,0.475,0.16,98.147
Heaven's Broken Heart,5rdlHYt2hsT9WS6oCWK9CQ,Bou,Burying Brightness,0.289,0.952,6,-3.509,1,0.154,7.41e-05,3.09e-05,0.783,0.351,99.889
No One Will Mourn You Here,79tVsaAf8hXS2Dt7xQCUKY,Bou,Burying Brightness,0.161,0.945,2,-2.859,1,0.107,1.21e-05,3.07e-05,0.0755,0.276,81.121
Resent and Regret,3R4AOplUODRTUxtSn3IGHc,Bou,Burying Brightness,0.355,0.922,10,-2.994,1,0.0538,1.06e-05,0.00792,0.385,0.329,161.897
Realize and Rebuild,05IUIkvasfXuPhMcER0cGP,Bou,Burying Brightness,0.303,0.933,5,-4.298,1,0.146,0.00184,2.65e-05,0.136,0.205,171.844
My Body Is A Cage,2NYXpkruZsHgfUiIP90y9Y,Bou,Burying Brightness,0.264,0.979,7,-3.26,1,0.224,0.000122,1.69e-06,0.904,0.127,96.19
-,3MxVDoIrbX1n7EEhdj7WxW,Bou,Burying Brightness,0.499,0.921,1,-7.87,1,0.576,0.197,0.919,0.584,0.0727,153.827
It Was Built To Break,4ye8phtHwUQmWdkLoCpwKx,Bou,Burying Brightness,0.263,0.943,1,-2.91,1,0.0921,2.67e-05,0.00637,0.264,0.277,73.91
Burying Brightness,0SReXpcUXVLGvPJBnxEpFW,Bou,Burying Brightness,0.205,0.968,11,-4.066,0,0.135,2.23e-05,0.000111,0.365,0.118,98.016
The Tower,6CJlxyonKKIdzqL3bAIpfo,Bou,Burying Brightness,0.244,0.65,7,-7.01,1,0.0555,0.0134,0.225,0.0867,0.0394,117.79
Is Survived By,4uDUnRx5LBOa00dIXz0wtq,Bou,Your Receding Warmth,0.511,0.937,2,-5.06,1,0.0755,1.7e-05,0.378,0.32,0.197,95.069
Fade Away,0RHclYRLF68pASmjkQdUpQ,Bou,Your Receding Warmth,0.332,0.937,8,-5.17,1,0.12,6.39e-05,0.000731,0.114,0.218,89.603
Carve,627FTPLbwgh0t88OZLsAhB,Bou,Your Receding Warmth,0.238,0.937,5,-4.754,1,0.143,1.31e-05,0.0657,0.193,0.158,165.838
My Strength,5fgnWq3aIZ6b2btMhMAkbm,Bou,Your Receding Warmth,0.353,0.947,0,-5.348,1,0.209,0.000532,0.00139,0.238,0.308,139.927
Get Out,1aCYELzZ01bDT3r9BbjdXp,Bou,Your Receding Warmth,0.497,0.956,7,-4.418,1,0.0593,2.44e-05,0.349,0.3,0.179,90.046
Behind the Bend,0odolaTAYGINy2CDQphaAr,Bou,Your Receding Warmth,0.533,0.934,2,-5.582,1,0.0933,0.00242,0.0557,0.326,0.241,140.02
Written and Rephrased,1Z2uybzhnaaxO198WTsWgw,Bou,Your Receding Warmth,0.268,0.921,8,-5.254,1,0.0919,6.97e-05,0.189,0.141,0.392,149.948
I'd Rather Not Say,2M7aQkYnknh9hUv6JEPW2F,Bou,Your Receding Warmth,0.321,0.964,1,-4.704,1,0.188,0.000145,0.0146,0.533,0.129,145.069
One Moment from Disaster,5V3xp5GyoDvjmn331LqrxT,Bou,Your Receding Warmth,0.283,0.978,1,-4.298,1,0.143,2.61e-05,0.698,0.332,0.223,95.032
Your Receding Warmth,0C5BBIygzTpb5lNogJmsuZ,Bou,Your Receding Warmth,0.246,0.92,9,-5.068,1,0.112,3.46e-05,0.0694,0.104,0.0602,160.13
"From the Departed, Dear or Otherwise",53OLXAMLeOYoeQpGTNQoKB,Bou,Your Receding Warmth,0.408,0.648,7,-11.952,1,0.11,0.254,0.353,0.0634,0.0373,119.827
Reign of Pain,6V8yuVJWi4UuKvE3MwZpwF,Bou,Hartford County Misery,0.456,0.768,7,-6.934,1,0.0581,0.000458,0.308,0.41,0.134,100.539
Dog Teeth,1uzl85Me6p1oNlN4Axm1IX,Bou,Hartford County Misery,0.215,0.962,7,-6.331,1,0.0897,5.82e-06,0.758,0.369,0.0389,144.987
Felicia,3jKmnqfO6JbhaIVPttGx0A,Bou,Hartford County Misery,0.354,0.768,7,-6.53,1,0.0494,5.35e-05,0.000124,0.0964,0.278,89.849
No Other Way,3EdCrpj99MxQfCkdvRwbpu,Bou,Hartford County Misery,0.404,0.857,5,-6.045,0,0.0508,5.08e-06,0.0188,0.309,0.272,90.123
Seizin' the Demon,0NKaSd8OqCuojoZpOrw1yy,Bou,Hartford County Misery,0.292,0.807,7,-7.265,1,0.0498,0.000108,0.00649,0.363,0.204,124.953
Sour Mouth,0m7HZpAiAvF7p7h7adXfkq,Bou,Hartford County Misery,0.393,0.868,7,-5.847,1,0.0545,1.91e-05,0.0151,0.333,0.299,79.887
HCM,1xG3ucKTdLtJadnx0MbVyy,Bou,Hartford County Misery,0.416,0.794,8,-6.284,1,0.0368,1.27e-05,0.836,0.164,0.219,100.029
Armageddon,7Cn0v7wlAVtbpUU74aC9L6,Bou,Armageddon,0.333,0.973,1,-2.63,1,0.179,2.41e-05,0.0552,0.242,0.485,187.875
Bedlam,5bCXPWayqg8lrEIx9TDDJZ,Bou,Armageddon,0.219,0.97,8,-2.522,1,0.174,8.77e-06,0.0242,0.292,0.38,179.706
Kill Me Patiently,7fXmgaWVA04j3hvfNsuWQ9,Bou,My Body in Bloom,0.262,0.927,1,-4.546,1,0.0598,0.000222,0.00226,0.661,0.292,88.758
Blush,68YJVHru63bwPU4wzlRD4u,Bou,My Body in Bloom,0.252,0.907,0,-3.753,1,0.0566,2.68e-05,0.0293,0.415,0.257,94.661
Hesitation Wounds,3oFFsqcoyfXvUW2CzTP6lo,Bou,My Body in Bloom,0.224,0.888,4,-3.912,0,0.0836,7.75e-05,7.23e-05,0.402,0.178,90.543
My Body in Bloom,5yWvqTTMu4SgfBmJvfFTHa,Bou,My Body in Bloom,0.268,0.936,7,-4.203,1,0.0648,0.000169,0.0236,0.3,0.219,90.01
Pain Medicine,6pOkqNYuQTq8qXi4krWUcD,Bou,My Body in Bloom,0.247,0.927,0,-4.25,1,0.107,6.44e-05,0.00266,0.513,0.279,137.984
Crxss My Heart,30sF5TS4X3BNHkQV8oIlCm,Bou,My Body in Bloom,0.452,0.934,4,-4.51,0,0.101,0.000172,0.00163,0.73,0.223,94.708
Hand Fed,1OdJgxSo4yuwa7Hxkbw5rC,Bou,Spring Demonstration,0.151,0.97,1,-3.729,1,0.216,3.29e-05,0.0161,0.814,0.171,179.907
Sanctum of Suffering,2LsdB7F8altO3lYKYgBBMk,Bou,Spring Demonstration,0.485,0.956,8,-4.153,1,0.108,3.4e-05,0.413,0.121,0.258,94.992
Nightmare Machine,33tCpKEVUa8sAn9nsTaxJm,Bou,Spring Demonstration,0.279,0.971,1,-4.137,1,0.112,4.79e-05,0.0581,0.0896,0.124,120.074
