track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"""I Know"" [MIXED]",2HXAuE93CIy9O64LnDtINe,Boys Noize,Challengers [MIXED] by Boys Noize,0.644,0.841,7,-7.759,1,0.0554,0.353,0.704,0.322,0.202,116.948
Yeah x10 [MIXED],6bVwyHImZXFOh0zEodwzCW,Boys Noize,Challengers [MIXED] by Boys Noize,0.653,0.883,11,-7.33,0,0.0415,0.0107,0.813,0.113,0.588,117.978
L'oeuf [MIXED],4Oktk9l5ikzajdLb13UVXM,Boys Noize,Challengers [MIXED] by Boys Noize,0.484,0.492,7,-16.726,1,0.338,0.863,0.823,0.284,0.0399,118.175
Challengers [MIXED],5qfiRVKIqnLuIHUpVJZMmW,Boys Noize,Challengers [MIXED] by Boys Noize,0.722,0.977,1,-7.461,1,0.0444,0.15,0.788,0.116,0.858,129.984
Pre Signal [MIXED],0NY9NH6ErVpWYdPN4Ktksq,Boys Noize,Challengers [MIXED] by Boys Noize,0.79,0.873,4,-6.99,1,0.0593,0.269,0.851,0.0961,0.435,129.962
The Signal [MIXED],3Fqn9BCu1FxfSMgccBxgWd,Boys Noize,Challengers [MIXED] by Boys Noize,0.787,0.935,9,-8.215,0,0.0609,0.0293,0.87,0.295,0.142,129.998
Brutalizer [MIXED],2FnMQEvfbdSI0AI9mKM5by,Boys Noize,Challengers [MIXED] by Boys Noize,0.672,0.996,10,-7.758,0,0.0678,0.00707,0.849,0.248,0.253,145.005
Compress / Repress [MIXED],0GqtkhQlZqQ2iCvU3f2Pb5,Boys Noize,Challengers [MIXED] by Boys Noize,0.664,0.933,5,-6.004,0,0.0702,0.117,0.264,0.101,0.334,107.983
A New Year Carol [MIXED],5khoXBzXVoAMlzGcyJ36FS,Boys Noize,Challengers [MIXED] by Boys Noize,0.478,0.0256,4,-34.675,1,0.0687,0.994,0.976,0.0984,0.463,79.306
Close,7duZYNOgUM91uoFihLp3VL,Boys Noize,+/-,0.544,0.896,7,-6.353,1,0.0348,0.0308,0.789,0.238,0.287,100.743
Love & Validation,5GxavkEXGgs1xfeJHEbGSw,Boys Noize,+/-,0.646,0.723,11,-6.9,1,0.0281,0.237,0.0673,0.113,0.0935,111.0
Girl Crush (feat. Rico Nasty),6Z81mZN4nLr179FrIl37dq,Boys Noize,+/-,0.652,0.966,7,-5.374,1,0.111,0.114,0.0167,0.132,0.281,93.176
Greenpoint,2l0ZrfyiLR054janjrYCNo,Boys Noize,+/-,0.57,0.925,10,-4.679,1,0.128,0.447,0.902,0.233,0.0799,194.045
Polarity (feat. Ghost Culture),3Ykti2GdYVnDtUtccICp4Y,Boys Noize,+/-,0.66,0.792,1,-6.041,1,0.043,0.0281,0.169,0.109,0.26,105.99
XYXY,28fAoV4HQv2cnS8gDRpRho,Boys Noize,+/-,0.791,0.901,1,-5.191,1,0.0478,0.000207,0.874,0.0489,0.779,111.998
Affection,7322doZY3H7TUYavIGhZwM,Boys Noize,+/-,0.742,0.705,1,-6.075,0,0.0265,0.0569,0.00302,0.137,0.357,128.001
All I Want (feat. Jake Shears),5xJa0UlbKyMX7uETcp3qUd,Boys Noize,+/-,0.808,0.848,6,-5.851,1,0.0511,0.000368,0.465,0.0512,0.769,124.972
Detune,66PV2NZFhSyPGIu1sguSGz,Boys Noize,+/-,0.762,0.842,10,-4.699,0,0.0391,0.0065,0.839,0.621,0.413,129.983
IU (feat. Corbin),3pwMJFMmA29L0oHq6Zqih8,Boys Noize,+/-,0.616,0.921,6,-5.939,0,0.081,0.00765,0.152,0.141,0.0555,140.689
Xpress Yourself,3c0sFsXS4QdCPQPAfhShc3,Boys Noize,+/-,0.784,0.924,2,-7.381,1,0.0675,0.0575,0.844,0.271,0.224,131.978
Sperm,5iYHR4mBx3eIXWSleebg2g,Boys Noize,+/-,0.83,0.817,10,-8.285,0,0.0471,0.000728,9.86e-05,0.126,0.207,130.016
Nude (feat. Tommy Cash),7ffQVNakJTvuGDplVIueNB,Boys Noize,+/-,0.622,0.897,2,-6.425,1,0.0386,0.00129,0.622,0.138,0.0392,129.948
Ride Or Die (feat. Chilly Gonzales),1rP4GZ4eFK4W9c5QeFIn1Y,Boys Noize,+/-,0.44,0.586,0,-7.472,0,0.0298,0.157,5.61e-06,0.112,0.0771,140.0
Act 9 (feat. Vinson),5HbkoV6ag0qDxTNZ3lA5XW,Boys Noize,+/-,0.225,0.397,7,-10.436,1,0.0452,0.231,0.164,0.173,0.0399,75.083
Distort Me,12AFrwqJibb2Y0N710O43w,Boys Noize,"Strictly Raw, Vol. 2",0.717,0.941,7,-8.239,1,0.0627,0.0278,0.904,0.166,0.101,126.028
S&H Disco,2KHWN4JHxToxe7kVrmY1xs,Boys Noize,"Strictly Raw, Vol. 2",0.805,0.949,6,-8.76,1,0.0389,0.00448,0.851,0.0928,0.963,128.01
Das Alter,1mpZXYoIVsWbzzArRUTGkc,Boys Noize,"Strictly Raw, Vol. 2",0.595,0.932,2,-8.387,1,0.0481,0.583,0.755,0.151,0.192,98.748
Nightmehr,5ZdzGOe92NIYnZGlhQn3Xh,Boys Noize,"Strictly Raw, Vol. 2",0.552,0.829,1,-6.359,1,0.0451,0.00641,0.653,0.0817,0.0357,124.762
Loaded,62de0B300ZFkfjx5QheyXP,Boys Noize,"Strictly Raw, Vol. 2",0.732,0.992,4,-5.433,0,0.0518,0.000145,0.751,0.123,0.0435,123.007
Digitvl,2iRA8Hro58IIgSLHlDZRyA,Boys Noize,"Strictly Raw, Vol. 2",0.797,0.986,6,-7.156,1,0.0472,0.00352,0.894,0.119,0.892,132.001
Purgatory,0FnOBPK9q0gEDnzYABTG1m,Boys Noize,"Strictly Raw, Vol. 2",0.765,0.57,3,-8.885,0,0.0579,0.0224,0.887,0.112,0.239,127.135
L.I.P.,7i5jR1yZhLGUFD25ONMcbg,Boys Noize,"Strictly Raw, Vol. 2",0.782,0.869,9,-5.811,1,0.0983,0.0306,0.877,0.0906,0.922,141.998
