track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
ALL DIE LIEBEN MENSCHEN,3zyqRrnqS1dSu7e6lImeSx,brutalismus 3000,ULTRAKUNST,0.667,0.894,5,-4.857,1,0.13,0.000197,0.258,0.377,0.282,140.005
GR3Y,1HPeb3fkVpLZxLKrDz56jA,brutalismus 3000,ULTRAKUNST,0.517,0.929,11,-5.299,0,0.0378,4.74e-06,0.747,0.0939,0.76,145.007
CRY B3B3,1idXnslznCNW7EF8Huzp5B,brutalismus 3000,ULTRAKUNST,0.68,0.924,9,-5.042,1,0.0567,0.00012,0.801,0.0757,0.871,144.98
SAFE SPACE,0w9V14Pcpqm0pZ5gNtN3Ja,brutalismus 3000,ULTRAKUNST,0.651,0.641,8,-4.609,1,0.107,4.32e-05,0.885,0.0806,0.576,149.992
PONTIAC PARISIENNE (SKIT),6oS9S7Rx4C1oGbhJDfPBEo,brutalismus 3000,ULTRAKUNST,0.46,0.694,2,-7.213,1,0.199,0.0285,0.00992,0.684,0.418,172.986
JE N'EXISTE PAS,25xqUhCDGyJejMANoigvrI,brutalismus 3000,ULTRAKUNST,0.731,0.886,2,-5.264,1,0.0663,0.00566,0.87,0.147,0.731,155.004
DIE LIEBE KOMMT NICHT AUS BERLIN,2quJCirmxL0onIdjhmX5ml,brutalismus 3000,ULTRAKUNST,0.552,0.882,6,-5.292,1,0.0403,5.01e-05,0.787,0.0484,0.484,165.009
NUR MEIN KÖRPER UND DIE ANGST,6cHBdpIKpR2HVUyUOKL2pq,brutalismus 3000,ULTRAKUNST,0.588,0.699,11,-5.59,0,0.049,0.000582,0.897,0.33,0.339,170.028
IS U CHEMICAL?,0YRvO4dDbju8GCbbNStdg0,brutalismus 3000,ULTRAKUNST,0.658,0.729,1,-4.619,0,0.0727,1.14e-05,0.824,0.657,0.486,74.992
SUKA SUKA,3zoeRCcou8ouokidKGYZTE,brutalismus 3000,ULTRAKUNST,0.646,0.946,7,-4.452,1,0.0412,2.14e-05,0.861,0.489,0.334,129.998
GEWALT GEWALT,3jjGSjODLv7yy4gYVlMA2H,brutalismus 3000,ULTRAKUNST,0.59,0.845,7,-5.777,1,0.035,0.000915,0.915,0.246,0.873,145.003
alleswirdgut - Underworld Remix,5ct07Kzxqlk9cjhTmQFUhF,brutalismus 3000,GOODBYE SALÒ THE REMIXES,0.752,0.915,4,-6.419,0,0.229,0.234,0.876,0.108,0.109,150.02
Baby G - Victoria Remix,1PqInWz8dRWlaN9xlzPhrE,brutalismus 3000,GOODBYE SALÒ THE REMIXES,0.725,0.927,7,-4.228,0,0.104,0.000636,2.35e-05,0.137,0.585,150.02
Scee - The Dare Remix,510WK1VhywYbT8iyOuJrZp,brutalismus 3000,GOODBYE SALÒ THE REMIXES,0.649,0.917,0,-5.188,1,0.117,0.0125,0.777,0.277,0.138,140.063
9mm - Amnesia Scanner Remix,0oHdd0umpui40raJaUV5Uq,brutalismus 3000,GOODBYE SALÒ THE REMIXES,0.535,0.799,11,-5.74,0,0.15,0.000773,0.873,0.184,0.265,178.944
Europaträume - Bazzazian Remix,1dVquEF2EyfBK2vsOCZs2z,brutalismus 3000,GOODBYE SALÒ THE REMIXES,0.561,0.854,0,-7.578,1,0.0812,0.0706,0.733,0.205,0.427,165.025
badthiings (rip avicii) - DJ Gigola Remix,5N67XcghiXS3zggEygnsCA,brutalismus 3000,GOODBYE SALÒ THE REMIXES,0.702,0.732,6,-5.827,1,0.055,0.00119,0.479,0.138,0.585,146.007
Fleisch & Geld,4MvRhkZaz0aXK2sWmSyn48,brutalismus 3000,Fleisch & Geld,0.607,0.797,9,-6.614,0,0.0627,0.00276,0.0132,0.143,0.379,127.975
Die Anderen,59cM2yIsopAa96HKh6l2jJ,brutalismus 3000,Fleisch & Geld,0.672,0.452,10,-9.732,0,0.039,0.759,0.000192,0.119,0.501,127.951
alleswirdgut,2ucKoWiCS8eTk5IUwin4fq,brutalismus 3000,GOODBYE SALÒ,0.663,0.715,5,-5.959,1,0.072,0.00184,0.807,0.0935,0.0722,150.024
Baby G,4n4doJ9RMuarUvkSjwcF7U,brutalismus 3000,GOODBYE SALÒ,0.733,0.865,11,-5.889,0,0.243,0.000243,0.1,0.382,0.167,150.022
Scee,5vtbGEVg8fEyTAU1WQX1CB,brutalismus 3000,GOODBYE SALÒ,0.537,0.848,0,-5.48,1,0.0326,2.11e-05,0.314,0.132,0.37,155.016
9mm,6qn1myMSexJDtT0AGLwTXc,brutalismus 3000,GOODBYE SALÒ,0.563,0.732,0,-7.558,1,0.0354,4.65e-05,0.889,0.199,0.628,157.015
Europaträume,4qrBAShPdBpxCe0Yl2DXYT,brutalismus 3000,GOODBYE SALÒ,0.596,0.785,9,-7.02,0,0.0819,0.000251,0.733,0.509,0.503,165.004
badthiings (rip avicii),5DfmnhUS1s3m87fsDSedoe,brutalismus 3000,GOODBYE SALÒ,0.691,0.876,1,-4.78,1,0.0396,0.000207,0.925,0.251,0.261,149.992
3ISBÄR,5r0vVEPeZHMjKtjhycFoZs,brutalismus 3000,3ISBÄR,0.658,0.821,4,-8.041,1,0.0735,6.08e-05,0.825,0.436,0.908,160.019
ALLEINE - Brutalismus 3000 RMX,3bfoE6deRVfiq1VBJcftti,brutalismus 3000,ALLEINE (Brutalismus 3000 RMX),0.685,0.918,11,-9.405,1,0.0503,0.0206,0.904,0.0575,0.753,150.003
Nightclubbing - Brutalismus 3000 Version,1U0NGJFLrRPJmAvuiAYCW4,brutalismus 3000,Nightclubbing (Brutalismus 3000 Version),0.599,0.928,0,-7.291,1,0.0426,0.000164,0.821,0.297,0.276,144.997
