track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Flava,1X6R0sENcToR83rRjBN5GS,Bullet Tooth,Flava / Check One,0.824,0.89,2,-5.213,1,0.0631,0.0018,0.354,0.0482,0.559,129.994
Check One,1rBl4czVO84Pxpzl1t4teQ,Bullet Tooth,Flava / Check One,0.79,0.967,8,-4.019,0,0.0473,4.62e-05,0.635,0.126,0.309,131.012
Is Everybody Having Fun? (feat. rhys from the sticks) - bullet tooth Remix,226nEEutfbo0JerOYMePD1,Bullet Tooth,Is Everybody Having Fun? (feat. rhys from the sticks) [bullet tooth Remix],0.856,0.911,6,-4.877,0,0.149,0.00214,0.746,0.0619,0.749,132.987
Is Everybody Having Fun? (feat. rhys from the sticks),32artEfuKhYNy9WJ7JksjS,Bullet Tooth,Is Everybody Having Fun? (feat. rhys from the sticks) [bullet tooth Remix],0.676,0.923,9,-4.921,0,0.0552,0.0257,0.231,0.381,0.504,131.019
Lose Control,0vKM6pD1koHLvYzzI5gqNy,Bullet Tooth,Lose Control,0.65,0.992,11,-4.939,0,0.0458,0.0592,0.0593,0.137,0.44,130.009
Move Your Body feat. Xpansions,44FX4F5Ju4gl07fgw4ceMA,Bullet Tooth,Move Your Body,0.65,0.988,11,-4.684,0,0.116,0.0035,0.656,0.256,0.391,136.092
BACK 2 THA START (feat. bullet tooth),1f1sCJESnmDK2zD25nKvIp,Bullet Tooth,BACK 2 THA START (feat. bullet tooth),0.669,0.942,8,-4.134,1,0.0616,0.0051,0.00381,0.0451,0.577,141.967
Searchin' - bullet tooth Remix,3Tq45rsOUzmFBIaCHpiFep,Bullet Tooth,Searchin' (bullet tooth Remix),0.645,0.636,2,-7.521,1,0.0508,0.0149,0.0173,0.106,0.146,132.113
Searchin' - bullet tooth Instrumental Remix,28bvViFXjDLBR2M0i4xUGE,Bullet Tooth,Searchin' (bullet tooth Remix),0.644,0.529,11,-9.357,0,0.0787,0.0342,0.82,0.104,0.219,131.808
RIDDIMZ,684bPHXOvVUWKedsSfDipf,Bullet Tooth,POUND & DOLLA (MIXTAPE),0.81,0.849,5,-6.349,0,0.291,0.0334,0.000514,0.0858,0.64,138.123
WICKED,4eH1180nIIFxJReocA9Cvh,Bullet Tooth,POUND & DOLLA (MIXTAPE),0.69,0.653,11,-6.718,0,0.414,0.0527,2.61e-06,0.155,0.737,137.601
KEEP IT ROLLING,0wa7ykzK0eE5CuLNNZOmWJ,Bullet Tooth,POUND & DOLLA (MIXTAPE),0.856,0.914,1,-3.776,1,0.331,0.071,0.0,0.364,0.435,137.943
POUND & DOLLA (feat. Killa P),6IJpJds5ppRS1XBAAHFKND,Bullet Tooth,POUND & DOLLA (MIXTAPE),0.778,0.776,11,-6.851,0,0.412,0.00596,4.01e-05,0.115,0.78,133.817
NO BRAINER,1epMC7HssaoAIuqniz8x1P,Bullet Tooth,POUND & DOLLA (MIXTAPE),0.741,0.752,8,-6.199,1,0.237,0.0163,0.0,0.276,0.575,129.946
ROSE & TULIPS,0MLy1Eywj23dp0YkJ0QCNm,Bullet Tooth,POUND & DOLLA (MIXTAPE),0.782,0.896,8,-3.704,1,0.294,0.00785,3.22e-06,0.0343,0.905,132.042
KEEP IT ROLLING - VIP MIX,55RiaBJSK1pFOTUkUi9cLh,Bullet Tooth,POUND & DOLLA (MIXTAPE),0.727,0.934,4,-5.276,0,0.149,0.000437,0.000146,0.415,0.451,138.036
YOUR LOVE,6DtQN240audijCKoKSdxmD,Bullet Tooth,I DON'T TAKE REQUESTS EP,0.684,0.879,0,-5.704,1,0.0687,0.000893,0.788,0.338,0.349,139.983
IMMACULATE SKANK,5CVN8qej9Hpd2gbsWL41Gc,Bullet Tooth,I DON'T TAKE REQUESTS EP,0.833,0.901,10,-3.713,1,0.269,0.0417,0.921,0.556,0.366,140.063
BRAND NEW DAY,67iSaYiIDNyjFJWsI445BU,Bullet Tooth,I DON'T TAKE REQUESTS EP,0.472,0.816,9,-4.673,1,0.337,0.00363,1.29e-05,0.318,0.737,175.147
LOVE SENSATION,2cKRqAUIkIgRpitV9IY5Ii,Bullet Tooth,I DON'T TAKE REQUESTS EP,0.532,0.943,7,-6.058,1,0.168,0.0169,0.63,0.231,0.353,149.966
SIGNAL (OUTRO),0J7vdMbhYL2jvflsbRqgTn,Bullet Tooth,I DON'T TAKE REQUESTS EP,0.413,0.444,6,-13.543,1,0.0651,0.942,4.52e-06,0.193,0.563,88.34
makes me (wanna move),55SSeb6371c8N3EcS0oZqD,Bullet Tooth,makes me (wanna move),0.673,0.971,9,-3.931,1,0.0589,0.000493,0.444,0.2,0.755,140.034
Keep It On The Low - bullet tooth Remix,7zQ3pkqyqGQMe3nfUVLFtn,Bullet Tooth,Keep It On The Low (bullet tooth Remix),0.743,0.962,6,-3.69,0,0.0402,0.0034,0.141,0.237,0.76,140.031
Keep It On The Low,4f3oN7fx08oDNMOmyJFXLz,Bullet Tooth,Keep It On The Low (bullet tooth Remix),0.71,0.895,6,-2.914,0,0.0537,0.0824,3.22e-05,0.368,0.841,129.919
