track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Clouds,3zPco1u9i9bCjkG5pngR5t,BUNT.,Levi Don't Do It,0.7,0.748,9,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056
Lose It All (I Don't Wanna),6MAfxjDn1I84Q2fZw3NlUa,BUNT.,Levi Don't Do It,0.683,0.864,11,-7.115,0,0.0876,0.203,0.836,0.0922,0.355,140.01
Peace In Silence,5cz0EtjFVIl81TNNvljFeK,BUNT.,Levi Don't Do It,0.58,0.743,6,-8.078,1,0.137,0.243,0.000333,0.167,0.377,139.888
Love,0Zwn67tX4xwrgk4lVroMCS,BUNT.,Levi Don't Do It,0.579,0.903,3,-9.45,0,0.053,0.187,0.177,0.166,0.453,131.95
Something Real,1Fxe2KrFhDFrPRYDEuzXYL,BUNT.,Levi Don't Do It,0.595,0.902,6,-7.359,1,0.0656,0.124,0.0678,0.123,0.415,132.913
Lost My Mind (Wake Up),3gCOHPzD8BICRM5xR1XBQS,BUNT.,Levi Don't Do It,0.562,0.783,9,-6.688,0,0.23,0.00286,0.948,0.86,0.435,132.863
Moment,7wNKtCzafd3om6QKiub1Js,BUNT.,Levi Don't Do It,0.684,0.885,8,-6.973,1,0.262,0.0948,0.0477,0.312,0.48,128.095
Clouds (Tiësto Remix),4QmpT4quTUvjUH128wow4w,BUNT.,Levi Don't Do It,0.63,0.989,9,-3.595,0,0.0896,0.0519,0.0982,0.29,0.0713,130.052
Gypsy Heart (Folktales),494jYr2q3tyBJZ1ZDiF2ry,BUNT.,Folktales,0.568,0.691,8,-6.608,1,0.0409,0.0657,0.0,0.114,0.456,122.067
On My Way (Folktales),59zXwJPNXV4gIq9GbOyGIL,BUNT.,Folktales,0.597,0.751,6,-5.832,1,0.0464,0.114,1.57e-05,0.267,0.628,121.969
Coming Home (Folktales),6lbN8ZEbKQMIi530vnfdrU,BUNT.,Folktales,0.466,0.646,1,-9.992,1,0.043,0.287,1.56e-06,0.0971,0.162,120.027
Old Guitar (Folktales),1Qmr0CpByMqK7ePXYMwhtv,BUNT.,Folktales,0.459,0.806,0,-6.931,1,0.0471,0.162,0.00031,0.261,0.349,103.03
Young Hearts (Folktales),0vAsPfZ9QM2PQ5mY8GZ7Iw,BUNT.,Folktales,0.583,0.881,8,-6.096,1,0.0365,0.00725,2.59e-06,0.185,0.608,110.042
Little Secrets (Folktales),5n1Tlcz8dOtzeJkrOLiRbA,BUNT.,Folktales,0.471,0.748,4,-6.43,1,0.0514,0.194,0.000477,0.221,0.41,127.832
Take Me Home (Folktales),6eD3xNV4VcU60kmrPdpblR,BUNT.,Folktales,0.469,0.634,3,-7.227,1,0.029,0.183,0.0,0.146,0.662,135.015
Spaces,1r4gQdNHdAJfUpREI0ywiu,BUNT.,Spaces,0.592,0.934,10,-4.739,0,0.0433,0.0186,0.305,0.871,0.333,132.042
Crazy,7Dh4j5JltkdH159xm77JiF,BUNT.,Crazy,0.646,0.657,6,-7.761,0,0.0394,0.458,0.000676,0.178,0.438,130.062
Best Day of My Life (BUNT. Version) (feat. Tom Odell),7A1QLN9c3uKeQdhp05o0jp,BUNT.,Best Day of My Life (BUNT. Version) (feat. Tom Odell),0.659,0.834,1,-8.295,1,0.0484,0.201,0.186,0.342,0.14,129.936
Only Friends,15a30YqNPApO8OS0RpqNND,BUNT.,Only Friends,0.595,0.948,4,-9.102,1,0.0771,0.159,0.287,0.854,0.287,129.956
BOOM REMIX (feat. Malachiii),0j6OjaoOZDZ2Hx0QYBro5v,BUNT.,BOOM (REMIXES),0.719,0.578,10,-9.125,0,0.0481,0.354,0.381,0.137,0.638,130.006
BOOM REMIX,5OfSuTwoAebg5N5QOtzWmO,BUNT.,BOOM (REMIXES),0.76,0.76,1,-7.847,1,0.0384,0.0944,0.569,0.153,0.659,144.987
BOOM,0Kys4nyNeuM4YiGiNz29VN,BUNT.,BOOM (REMIXES),0.61,0.625,9,-9.721,0,0.0439,0.242,0.712,0.114,0.586,130.04
HERZ,6P9bLDz0tS6KkopNkHNMTJ,BUNT.,HERZ,0.664,0.717,2,-7.965,1,0.087,0.431,0.0414,0.287,0.442,132.99
You,3C2OYWQFRVEo4QoHZKTNBK,BUNT.,You,0.649,0.905,11,-7.88,0,0.0549,0.193,0.536,0.132,0.184,130.014
Crown,48HjuSOCti5mGKg6rUjAfB,BUNT.,Crown,0.664,0.659,8,-8.907,1,0.0413,0.0245,0.308,0.0856,0.232,127.962
ChatGPT (prod. by BUNT.),45Gc0gFE9mty0uGnZ8KkSn,BUNT.,ChatGPT (prod. by BUNT.),0.687,0.857,7,-7.498,0,0.0891,0.0953,4.01e-06,0.235,0.612,145.0
Misses DGAF,6UP3EOtkDNPPSlduHlenh7,BUNT.,ChatGPT (prod. by BUNT.),0.938,0.552,3,-7.076,1,0.105,0.371,0.000123,0.123,0.819,121.011
Tanz,56Rr9JPliMVpgWiufnhXpu,BUNT.,ChatGPT (prod. by BUNT.),0.894,0.636,6,-6.392,0,0.0648,0.339,0.000238,0.0995,0.934,129.948
Mensch,5xxmrL82Y0fhS5TAstcN49,BUNT.,ChatGPT (prod. by BUNT.),0.452,0.478,8,-10.782,1,0.347,0.714,0.00161,0.104,0.568,147.215
TRIPPIN,4ml1Eq4wmcdfN0Q6pNEly7,BUNT.,TRIPPIN,0.516,0.553,2,-7.029,1,0.0563,0.0326,0.000243,0.295,0.261,175.155
Maybe,6Hl0P7o00Hmqjdf1X0W9rw,BUNT.,Maybe,0.558,0.887,8,-4.425,1,0.0504,0.029,0.0158,0.0996,0.359,174.957
Other Side,74qKLdiiTnXNqh2Co21RlJ,BUNT.,Other Side,0.821,0.44,2,-10.612,1,0.0569,0.291,0.0552,0.101,0.179,129.985
Renaissance,03aBQclFfQ82oEYCYTORfY,BUNT.,Renaissance,0.812,0.886,7,-6.449,1,0.161,0.0111,0.0962,0.135,0.414,144.982
Lost My Mind (Wake Up) - Sped Up,3IrEUnKdWe4OVwROb1PcYJ,BUNT.,Lost My Mind (Wake Up) [Sped Up],0.479,0.83,11,-6.533,1,0.306,0.00409,0.927,0.863,0.43,144.743
Clouds - Sped Up,1Y3mJh7oVvOaDomsnpw8P1,BUNT.,Clouds,0.653,0.776,7,-8.064,1,0.0619,0.166,0.844,0.138,0.318,143.09
Paperplanes,3JWKhPP6muh6tjR8b7PDOb,BUNT.,Paperplanes,0.666,0.797,7,-8.865,0,0.0621,0.373,0.683,0.105,0.158,127.992
Until You (Lost Version),0UGhlQGRmXnZZ9oGfB5HY0,BUNT.,Until You (Lost Version),0.623,0.616,3,-8.009,1,0.0796,0.286,0.001,0.116,0.309,131.938
Say You're With Me - BUNT. Remix,1pUDBQyDw3IGVU9xQv2mvh,BUNT.,Say You're With Me (Remixes),0.462,0.756,5,-6.81,0,0.0937,0.413,2.84e-05,0.196,0.552,120.368
Say You're With Me - Deerock Remix,3stcpYAJe2mxOTh1z5P9dl,BUNT.,Say You're With Me (Remixes),0.626,0.873,2,-5.419,1,0.0608,0.0391,0.00016,0.323,0.621,125.012
Say You're With Me - Diviners Remix,14BlS31TU1WzUW0rrEpDGq,BUNT.,Say You're With Me (Remixes),0.592,0.644,2,-5.839,1,0.0353,0.242,1.32e-06,0.0884,0.486,101.806
Say You're With Me - Hurricane Version,0Gmg68A1n1qKYDcAW6OajT,BUNT.,Say You're With Me (Remixes),0.522,0.598,2,-10.025,1,0.0371,0.0256,0.00267,0.511,0.556,115.051
Say You're With Me - Levi Version,10iVYwZbzgVcspEVUYODk5,BUNT.,Say You're With Me (Remixes),0.627,0.62,11,-6.723,0,0.0381,0.352,6.4e-06,0.117,0.604,112.947
TE TE TE,3X7EnBcbQhAjzZdTmVvGiO,BUNT.,TE TE TE,0.62,0.799,11,-8.109,0,0.0629,0.0194,0.0784,0.186,0.703,121.99
Afterlove - BUNT. Remix,5NEMd9Rs8CZo60jvNedYSJ,BUNT.,Afterlove (BUNT. Remix),0.509,0.681,3,-6.858,1,0.0567,0.00795,8.87e-06,0.121,0.442,141.914
say you´re with me (acoustic version),0hYi7yKxuZIOAozfCqr5ml,BUNT.,say you´re with me (acoustic version),0.422,0.33,2,-9.262,1,0.038,0.833,3.46e-06,0.0991,0.64,131.641
say you´re with me,0jH2sASKUg7hPisZl7Un6c,BUNT.,Say You´re With Me,0.481,0.834,2,-6.585,1,0.0476,0.249,0.00043,0.111,0.442,194.09
