track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pumpin Jumpin,1VhNZmtGQPnJlzZStAYn5j,Bushbaby,Pumpin Jumpin,0.763,0.983,0,-5.615,1,0.0604,0.00552,0.644,0.0656,0.769,134.989
Time Of Our Lives,1FTyUvELRNIOpiZXjcVW4D,Bushbaby,Time Of Our Lives,0.754,0.945,11,-4.613,1,0.0428,0.0491,0.148,0.0954,0.85,142.918
Take No Chat,334iWl6T7Lpan1vtKhCaus,Bushbaby,Take No Chat,0.811,0.878,7,-5.087,0,0.0616,0.0288,0.135,0.059,0.842,140.028
We Multiply,726EjFaiMKvX34tOpnbqSP,Bushbaby,We Multiply,0.865,0.935,1,-6.095,0,0.0859,0.0694,0.0168,0.0388,0.962,134.974
Oh My Gosh,2UsR4KZpVColypYnCCLLpB,Bushbaby,Take No Chat (EP),0.612,0.999,0,-6.711,1,0.0804,0.0579,0.569,0.33,0.222,140.05
Arctic - Bushbaby Remix,1MkrUTYCWDl2wNzMFhfHiN,Bushbaby,Arctic (Bushbaby Remix),0.669,0.952,3,-4.128,1,0.0699,0.00114,0.00267,0.106,0.54,140.021
Woman's Touch - Mixed,1FHdE1qkC9mD0z8vK1IaYI,Bushbaby,The Kiwi Sound (DJ Mix),0.708,0.874,10,-5.736,0,0.122,0.00142,0.0239,0.159,0.672,136.108
Put A Record On - Bushbaby Remix,2fuO5gXcGbbeKvVr8rRcqq,Bushbaby,Remixes,0.813,0.914,10,-5.563,0,0.0629,0.0448,0.15,0.0306,0.795,132.047
LIVE IT UP - Bushbaby Remix,4QFWB2EzJyiIil9BIGWnoX,Bushbaby,LIVE IT UP (Bushbaby Remix),0.714,0.722,6,-5.654,0,0.0654,0.0267,0.311,0.0832,0.429,138.005
Empty Again,1GVZwwRM6pxxsPxBEMkLRF,Bushbaby,Empty Again,0.737,0.718,9,-4.867,0,0.0483,0.197,0.0287,0.208,0.735,130.02
Take Me Home,3CsETPv6bUWILJNSKVJewu,Bushbaby,Take Me Home,0.819,0.933,7,-4.028,0,0.104,0.0903,0.00494,0.104,0.632,135.035
Force,5J9QDz4hIZzhOFxcS4Sslz,Bushbaby,Force,0.765,0.912,1,-4.096,1,0.0526,0.00324,0.864,0.0618,0.178,129.99
Let Me Hold You,6DJE2fZ5bkFgitNovi0aWX,Bushbaby,Let Me Hold You (Bass Culture 4),0.806,0.824,5,-7.68,0,0.0512,0.0187,0.893,0.215,0.836,129.99
Screaming Divas,55lCf1p3nFFkjhay5UEjk5,Bushbaby,What We Had EP,0.755,0.923,4,-5.781,1,0.0556,0.000124,0.52,0.22,0.764,127.021
Show Me How,7JZPezOnNBZT74nLhmlNtX,Bushbaby,Show Me How,0.796,0.864,9,-4.121,0,0.11,0.0206,0.000189,0.0435,0.389,132.944
Numb,70P4rJLhherKi4tZlf6KgC,Bushbaby,Force,0.818,0.844,0,-3.089,1,0.0546,5.94e-05,0.575,0.172,0.365,127.001
Walk Away,5BVQoCnXquuMUBNIBCETu7,Bushbaby,Naughty Pleasure,0.805,0.812,9,-8.009,1,0.0475,0.000114,0.821,0.0661,0.965,126.019
From The Streets,6ReecA6WmSmZj03D81DqtO,Bushbaby,What We Had EP,0.844,0.932,11,-6.321,0,0.123,0.013,0.286,0.0612,0.385,124.016
Fire,4mcmJy3ifkQm4WjuQ5kHbo,Bushbaby,Force,0.735,0.934,11,-3.71,0,0.0477,0.0984,0.112,0.278,0.843,134.019
Naughty Pleasure - NuKid Remix,4MnVi3CO1Up6S0GGdmx37s,Bushbaby,Night Bass Remixed Vol. 3,0.833,0.896,10,-4.148,0,0.0566,0.00503,0.626,0.0754,0.349,126.007
Attitude - Bushbaby Remix,0r8VRU47W5IooFDK8HVcZd,Bushbaby,Hi8 Remixed,0.795,0.948,6,-3.883,0,0.0551,7.6e-05,0.807,0.0388,0.412,127.984
What We Had,47WlqYDmAQIBCPPOkgz0js,Bushbaby,What We Had EP,0.683,0.745,10,-5.741,0,0.0326,0.00216,0.129,0.106,0.896,132.967
Crystal Clear,5MTJk8wCenWjIteSjeXNqI,Bushbaby,Crystal Clear,0.637,0.936,2,-4.281,1,0.0355,0.00141,0.858,0.117,0.352,129.995
Secret,48lj2MQmFyZFkNZTC2dioW,Bushbaby,Naughty Pleasure,0.868,0.894,6,-6.216,1,0.0966,0.0121,0.24,0.275,0.624,126.016
Naughty Pleasure,51l7ISOo2JJ8iNaNuGIFE2,Bushbaby,Naughty Pleasure,0.831,0.733,1,-5.868,1,0.0587,0.0273,0.866,0.0834,0.523,125.99
Etiquette,7I5WyJxvJBuNBefAAJ9GjO,Bushbaby,Etiquette,0.799,0.625,11,-11.456,0,0.475,0.0373,0.00245,0.117,0.683,75.692
Sonder - Document One Remix,7aGkuYKddztb9shSmpXPPe,Bushbaby,"Spaces, Vol. 2",0.58,0.827,2,-5.977,1,0.095,0.00107,0.897,0.658,0.144,173.948
Light It - Original Mix,2otPjYLwm7XhgwdRa1r4Wy,Bushbaby,Light It,0.677,0.977,7,-2.868,0,0.227,0.00633,0.0,0.124,0.301,134.045
