track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Hymn,2OkW1IqUtKuy8EX11KAkDZ,Charlotte de Witte,Charlotte de Witte,0.692,0.981,7,-6.142,1,0.0557,0.00013,0.709,0.126,0.11,137.016
Doppler,7J2ZnqSaDNijHboyFFkwpV,Charlotte de Witte,Formula EP,0.802,0.713,1,-8.264,1,0.0675,0.00164,0.928,0.325,0.0489,134.989
The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix),6R84ZlQF7gGkPB6o3GLZXB,Charlotte de Witte,The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix) [Charlotte de Witte & Enrico Sangiuliano Remix - Edit],0.748,0.908,5,-8.319,0,0.0504,0.0588,0.894,0.0943,0.0576,130.004
Roar,1FubT3w22RMHC3vreAL7cH,Charlotte de Witte,Roar,0.752,0.858,0,-6.776,1,0.0757,0.0878,0.353,0.247,0.262,136.997
Universal Nation - Charlotte de Witte Rework,4OrY514bfwTTtykP7s049a,Charlotte de Witte,Universal Nation (Charlotte de Witte Rework),0.703,0.828,1,-9.618,0,0.0369,0.186,0.914,0.1,0.188,137.003
Sgadi Li Mi,7yjOcwS2yfuxJPYuzSAPVL,Charlotte de Witte,Return to Nowhere EP,0.765,0.941,6,-9.783,0,0.0612,0.0578,0.932,0.107,0.0551,135.003
Where Do We Go,1pjq6HahAijFavvVOVRP3E,Charlotte de Witte,One Mind EP,0.766,0.976,9,-7.463,1,0.117,0.0935,0.837,0.257,0.601,141.991
Become,66qcSTxY5qbIR3nAAul3v5,Charlotte de Witte,Charlotte de Witte,0.69,0.988,7,-4.889,1,0.0368,0.000163,0.799,0.883,0.243,139.002
High Street - Astrix Remix,2aXisW2ZScuxitKImCxk3A,Charlotte de Witte,High Street Remixes EP,0.715,0.698,11,-8.132,1,0.0458,0.0067,0.835,0.0989,0.162,138.014
No Division (feat. XSALT),0fkOYWQFBY49f4IJ4FkNBj,Charlotte de Witte,The Heads That Know,0.708,0.945,11,-5.59,0,0.0487,9.34e-05,0.637,0.12,0.0965,138.007
How You Move - Edit,1biKqdOsiIo2JekJ8UPX1x,Charlotte de Witte,How You Move,0.704,0.994,7,-6.851,1,0.0671,0.105,0.834,0.113,0.287,137.977
Memento Mori,14FZvKr4HJKlAzf2SUSb3J,Charlotte de Witte,Charlotte de Witte,0.778,0.951,11,-7.964,0,0.0837,0.00453,0.835,0.131,0.523,138.024
Domine,3bjH2EHKfv2QWql79N9BqQ,Charlotte de Witte,Charlotte de Witte,0.77,0.951,7,-6.146,1,0.0963,0.000135,0.908,0.0943,0.106,141.068
