track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rescue Me,7gabM0Vu97eQQpSZ2fnFPo,CHEEKS,Long Distance,0.715,0.878,6,-4.609,0,0.0796,0.449,0.000124,0.528,0.0886,133.948
Astray,5Muydv8B6gYAPzRvAPqDC5,CHEEKS,Long Distance,0.575,0.965,8,-5.031,1,0.0362,0.067,0.0067,0.108,0.0981,130.017
One & Only,7DVTmDrVtTW7HzsPbdsVuw,CHEEKS,Long Distance,0.735,0.909,1,-5.101,1,0.101,0.851,0.648,0.15,0.253,126.014
Over You,0XJKLkpWVd0cCdZipbSu10,CHEEKS,Long Distance,0.605,0.829,7,-7.561,1,0.0609,0.142,0.0035,0.245,0.611,137.985
One & Only - VIP Edit,6nYquGsnh2ZvxkwugtjvgD,CHEEKS,Long Distance,0.723,0.753,5,-4.55,1,0.265,0.204,0.251,0.251,0.581,75.029
Far Away,2H9qyZhtPXxe1NPp51kNo3,CHEEKS,Far Away,0.662,0.711,3,-8.883,1,0.0422,0.486,0.00114,0.22,0.347,133.064
I Know,05kBtGf70QOvpAxz71KPIk,CHEEKS,I Know,0.748,0.86,10,-5.777,1,0.0517,0.0941,0.197,0.187,0.385,130.013
With Or Against Me,7ej0gHFgLvGcLl4Ph9u0ek,CHEEKS,With Or Against Me,0.815,0.691,6,-5.488,1,0.0723,0.0803,0.000302,0.113,0.646,132.022
I Don't Wanna Let You Go,4fuNiwrYGyapCWvu6wmDrT,CHEEKS,I Don't Wanna Let You Go,0.681,0.974,6,-4.439,0,0.0491,0.107,0.0193,0.181,0.127,145.019
For The Night,7rVP3zaRKc0nXYcp200PYD,CHEEKS,For The Night,0.709,0.796,8,-5.66,0,0.0722,0.021,2.22e-05,0.411,0.228,124.034
Less Alone,0fRmHiKkVKEBGiwar39VDZ,CHEEKS,Less Alone,0.693,0.875,7,-8.366,1,0.0433,0.00047,0.072,0.0636,0.381,132.028
