track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Breather,1e20Z4j3nuQP35vFtyF1JU,Chris Stussy,Get Together,0.756,0.921,7,-8.726,1,0.0701,0.0971,0.849,0.0521,0.925,125.01
Desire,3uahZPFLqwDp0Jje5K60q4,Chris Stussy,Desire,0.728,0.792,6,-8.754,0,0.04,0.013,0.903,0.108,0.679,133.971
Won't Stop (Don't),43FiKNMmSDaI7V1U8i5CZI,Chris Stussy,Won't Stop (Don't),0.665,0.861,5,-7.18,0,0.0358,0.00106,0.774,0.103,0.712,132.699
Pumpin',3JrNYsMLZxd3R56UzjM4PL,Chris Stussy,Synergy,0.796,0.817,7,-9.987,0,0.0525,0.0063,0.583,0.0857,0.655,132.978
All Night Long,7b4twDZXjQf8gyQGSvySZd,Chris Stussy,All Night Long,0.768,0.703,5,-9.928,0,0.0466,0.00731,0.278,0.0977,0.788,133.01
It Gets Better - Chris Stussy Remix,4sdydeR6pH5us3lD4Ttu7O,Chris Stussy,It Gets Better (Chris Stussy Remix),0.559,0.927,5,-7.565,0,0.0349,0.0806,0.386,0.103,0.526,136.031
Here to Catch You,7taDDUJJOE76K9N3taqEaJ,Chris Stussy,Get Together,0.767,0.935,11,-7.807,0,0.0643,0.00691,0.918,0.0576,0.852,125.001
Synchronicity,2SL1r5PsUI5sjl8fPT6YlO,Chris Stussy,Electro City Moving EP,0.786,0.807,8,-9.308,1,0.05,0.00234,0.945,0.108,0.18,127.015
Way Of Life,5SMYPYQzLaxJkOyePF11Yx,Chris Stussy,Wanna Dance EP,0.81,0.669,7,-10.341,1,0.0698,0.00169,0.801,0.0641,0.929,124.054
Neem De Tijd,0GAq63lBuh1ghnowOA7H0t,Chris Stussy,Synergy,0.75,0.658,1,-10.669,1,0.0713,0.00886,0.781,0.215,0.73,133.955
Spaceship,3tjjpL8aXBTtQxzotfqm7i,Chris Stussy,Get Together,0.808,0.749,10,-9.362,1,0.0802,0.00767,0.901,0.0731,0.313,125.0
Seeing & Believing,0Ew1FsLRoWy3RX677AEYim,Chris Stussy,Across Ocean,0.747,0.88,0,-7.65,0,0.0466,0.0273,0.857,0.107,0.763,124.99
Sonic Mana,7wcMCAO9SOdGMOq7oTmbSX,Chris Stussy,Get Together,0.785,0.846,4,-7.53,0,0.0412,0.0119,0.686,0.19,0.826,128.001
What Are You Waiting For - Sunrise Mix,3bkTYBMoiSqtkWFytaYfU7,Chris Stussy,Won't Stop (Don't) - EP,0.744,0.923,9,-7.454,1,0.0441,0.00129,0.552,0.118,0.355,134.96
The Way It Goes (Track 1) - Chris Stussy Remix,6lCN0KRhpxXarK5bfTpW2A,Chris Stussy,The Way It Goes (Track 1) (Chris Stussy Remix),0.798,0.664,1,-8.541,1,0.047,0.00733,0.263,0.0935,0.882,128.008
Boogie Trippin,2oVOBTNTiHqcnQXyY4E8eR,Chris Stussy,Boogie Trippin EP,0.829,0.79,11,-9.064,0,0.078,0.0011,0.945,0.0968,0.589,124.027
Mindtrippin',1Rr6aU0R0Se3fvJN4XXfUc,Chris Stussy,Sakura,0.691,0.818,2,-9.701,1,0.0485,0.00156,0.856,0.0762,0.434,133.975
T.M.P.,7qb4SbHiGzZe4M4iqDMmyc,Chris Stussy,Synergy,0.716,0.651,0,-7.931,1,0.0507,0.0142,0.781,0.11,0.412,133.013
Across Ocean,24G5CdCUa1eUnkfEddidTZ,Chris Stussy,Across Ocean,0.686,0.776,0,-8.64,1,0.0704,0.00069,0.869,0.128,0.545,128.006
