track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Let The Bass Kick In Miami Girl - Extended Mix,4MQV2xY5nfaUezcqLr7Rx1,Chuckie,Let The Bass Kick In Miami Girl,0.835,0.903,6,-5.654,0,0.0628,0.00237,0.0451,0.131,0.543,127.987
Let The Bass Kick In Miami Girl - The Only Way Is Essex Mix,2X2VqQsOFE2TxXTLHu63K2,Chuckie,Let The Bass Kick In Miami Girl (The Only Way Is Essex Mix),0.77,0.941,11,-4.808,0,0.0667,0.044,0.00133,0.0482,0.489,128.008
It's Not You (It's Me) (feat. Pitbull),5q15L39LIMD7QDKqJ7cUPV,Chuckie,Revolver (Expanded Edition),0.673,0.838,4,-5.304,0,0.045,0.00257,9.66e-05,0.409,0.599,126.053
We Found Love - Chuckie Extended Remix,3eiljiHHlpZKkfj2uQTunn,Chuckie,We Found Love (The Remixes),0.64,0.781,6,-3.375,1,0.0482,0.00022,0.298,0.0647,0.592,128.993
Let The Bass Kick - Silvio Ecomo Remix,3rVHtQlHS66gsrQp7L2yfj,Chuckie,Let The Bass Kick,0.81,0.944,11,-6.497,0,0.0604,0.00177,0.456,0.0683,0.432,127.987
Let The Bass Kick - Radio Edit,07lrDt7U2qc43V1XkSsbtl,Chuckie,Let The Bass Kick,0.791,0.734,4,-7.711,1,0.0446,0.00101,0.894,0.0841,0.359,128.033
One Love (feat. Estelle) - Chuckie and Fatman Scoop Remix,0qvcqzBF03NBbUGgs92Y6X,Chuckie,One Love,0.821,0.768,5,-6.775,0,0.0806,0.0158,0.0264,0.0712,0.278,127.997
Latino,2ru5C9h7uWBQhDrqa083h1,Chuckie,Latino,0.718,0.915,6,-3.899,0,0.139,0.0157,0.501,0.43,0.792,127.786
Skydive (feat. Maiday) - Radio Edit,16GQI6WC3brFe8Ru4CwpBm,Chuckie,Skydive (feat. Maiday) [Remixes],0.684,0.741,6,-3.764,0,0.033,0.000166,0.000208,0.13,0.96,127.931
Mutfakta - Original Mix,53yAyubzT3lCPvlVZy26gm,Chuckie,Cr2 Presents: Cr2 Live & Direct Radio Show (June 2011),0.788,0.858,9,-4.616,1,0.101,0.00103,0.946,0.219,0.377,127.987
Bang!,12GvTPMZcPbePiVkW3CdBB,Chuckie,Loud & Dirty - The Electro House Collection,0.824,0.901,11,-4.211,0,0.274,0.00537,0.0222,0.0453,0.567,128.0
Moombah - Afrojack Remix,1Lo25hmvOjGJOZmYDKY00R,Chuckie,"The Remixes, Pt. 1",0.925,0.793,4,-5.546,1,0.32,0.000782,0.945,0.0425,0.36,128.007
Dream Girl - Chuckie & Tom Enzy Remix,2VsAOLhEJR1Fbj1Z4YCI1H,Chuckie,Dream Girl (The Remixes - Papiamento Pal Mundo),0.719,0.794,0,-6.137,1,0.0385,0.0212,0.305,0.31,0.609,99.997
Move It 2 the Drum - Original Mix,4otpDj8x4flYk8BrjbNK8K,Chuckie,House Generation Presented by Point Blvnk,0.78,0.893,9,-6.369,1,0.0594,0.211,0.246,0.0907,0.0794,127.993
Let The Bass Kick - Extended Mix,2GXuBs5e54dJ5pn7irkrBd,Chuckie,Let The Bass Kick,0.806,0.691,9,-5.416,1,0.0562,0.00233,0.496,0.0497,0.234,127.993
We Found Love - Chuckie Dub,11F4bSUDXVd4W05jNs6DzX,Chuckie,We Found Love (The Remixes),0.677,0.857,6,-3.762,1,0.0474,0.000224,0.889,0.233,0.61,128.994
Killin' It - DJ Chuckie Remix,5BHaWpllKFaND86n8dC0qr,Chuckie,PLAY HARDER REMIX EP,0.712,0.876,6,-5.242,0,0.229,0.0874,0.0159,0.261,0.283,130.004
Toys Are Nuts - Hardwell & Rehab Remix,7fvkfIQ4AsdNxDd45yR02F,Chuckie,Toys Are Nuts Remixes,0.736,0.812,1,-8.153,1,0.244,0.0118,0.88,0.638,0.379,127.945
Vamonos - Original Mix,0b6GyiGfLjSNwsEq1q8XKe,Chuckie,"Recovery House Gold Series, Vol. 3",0.65,0.937,6,-6.439,1,0.0831,0.00329,0.915,0.125,0.117,128.001
Let Me Sip My Drink - Chuckie Remix,2WMFTBx18y6DI8BLpBChVG,Chuckie,Let Me Sip My Drink,0.81,0.783,10,-7.585,0,0.203,0.00018,0.151,0.176,0.447,128.018
Bitches Be Like - Radio Edit,7hZNhClSe9ZSvxB9ZTRPoe,Chuckie,Bitches Be Like (Radio Edit),0.753,0.929,6,-5.127,1,0.0347,0.000561,0.622,0.117,0.243,128.038
Let The Bass Kick In Miami Bitch - Lucky Date & Megaphonix Remix,321Vs0gh1nvGBjKA2PY1WW,Chuckie,Let The Bass Kick In Miami Bitch (Lucky Date & Megaphonix and HLM Remixes),0.71,0.925,7,-1.649,1,0.0762,0.000229,0.421,0.0838,0.251,127.99
Let The Bass Kick (Part 2) - Extended Mix,3F7ab8w7smlBPkAIUrMDl4,Chuckie,Vegas Nights,0.834,0.731,4,-5.886,1,0.189,0.0053,1.6e-05,0.088,0.552,128.018
"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch) - Chuckie & Diamond Pistols Remix",69woxagOXlEVsV6hrfb6J9,Chuckie,"Blood, Sweat & 3 Years (Remixes)",0.54,0.883,9,-5.357,0,0.155,0.0512,0.000151,0.366,0.318,160.035
Let The Bass Kick In Miami Girl - Radio Edit,22vrMapc2N0kSnBXf0jz6P,Chuckie,Let The Bass Kick In Miami Girl,0.762,0.937,9,-4.787,0,0.0751,0.0496,0.00434,0.23,0.546,128.014
Silver Screen (Shower Scene) - Chuckie & Silvio Ecomo Dirty Acid Remix,7koepagUnk09bVRFxyhQCD,Chuckie,Wasted Youth,0.765,0.723,7,-5.591,0,0.0509,0.00121,0.472,0.102,0.704,124.981
Get Ready (feat. Sister Smurf & Simple Simon),6AyoUbUtGWxXwpB148pKXq,Chuckie,Get Ready (feat. Sister Smurf & Simple Simon),0.817,0.798,9,-5.945,1,0.0645,0.00378,0.245,0.0694,0.805,125.022
Changed The Way You Kiss Me - Chuckie Extended,1eKr6qxQjyY35i5ueKWc00,Chuckie,Changed The Way You Kiss Me,0.733,0.843,4,-6.834,0,0.0984,0.00264,0.185,0.0346,0.501,127.971
Let The Bass Kick In Miami Bitch - MYNC I'm In Richmond Bitch Remix,5cVLxRqjVu2t1g6IiILhOB,Chuckie,"Dance Allstars, Vol. 7 (MYNC)",0.784,0.856,10,-3.359,0,0.04,0.0943,0.002,0.0787,0.179,128.003
Silver Screen Shower Scene - Chuckie & Silvio Ecomo Dirty Acid Remix,6xUDRpYnRO3A7FdCve2Z2S,Chuckie,The Glitz Pt. Deux Remix Edition,0.766,0.723,7,-5.652,0,0.0504,0.00105,0.49,0.0865,0.711,124.978
Move It 2 The Drum - Tech Mix,14gZgeaGvhCZP0LEnzAtFQ,Chuckie,Destination Ibiza (Deluxe Edition),0.754,0.902,6,-6.227,0,0.0586,0.467,0.212,0.0922,0.0432,128.009
Miami - Chuckie & Irie Remix,6D7lfeDJgVs79OIOcGVGEg,Chuckie,Miami (Chuckie & Irie Remix),0.655,0.895,11,-4.975,0,0.153,0.000254,5.46e-05,0.412,0.355,119.99
MAMBO (feat. Childsplay & Chuckie),0IOb3ODBaDXG3awyCTh4a5,Chuckie,MAMBO (feat. Childsplay & Chuckie),0.839,0.777,7,-5.032,0,0.211,0.0431,4.32e-05,0.285,0.753,99.97
