track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Fancy $hit,6Ar3apWGoJLPZ3zy6Eb94F,CID,Fancy $hit,0.766,0.977,0,-3.515,1,0.0466,0.101,0.811,0.11,0.864,128.992
Love on Me - CID Remix,7bnYyxLapKga3nZufqKnmK,CID,Love on Me Remixes,0.623,0.932,1,-2.857,0,0.0683,0.464,0.00144,0.296,0.529,126.033
Pass Out,5LJA1b09Qk9e6YgJ3EAijr,CID,Pass Out,0.692,0.918,9,-6.491,1,0.0619,0.00221,0.00508,0.162,0.543,127.978
Creepin',70TzAfCFzJdF8Mf595uiAh,CID,Creepin',0.666,0.768,8,-4.858,1,0.0447,0.00257,0.00706,0.298,0.523,126.036
Nights Like This,5Mvqn0Gxj5LUb4um0r4Web,CID,Nights Like This,0.699,0.861,3,-4.99,1,0.0543,0.0546,3.01e-05,0.276,0.499,126.023
Audio - CID Remix,3ajiUFrVUHsmU5F2pv3kzd,CID,Audio (CID Remix),0.524,0.913,3,-3.069,0,0.05,0.106,0.000131,0.177,0.644,123.936
Werk,7BJ2UGLYgtxQ15d0fe2hJy,CID,Bad For Me EP,0.789,0.876,0,-4.008,1,0.176,0.0457,0.0326,0.172,0.512,124.963
Alone - CID Remix,2GoLbyGzBYqDBq65hWs5ml,CID,Alone (Remixes) (Feat. Big Sean & Stefflon Don),0.711,0.798,2,-4.115,0,0.0577,0.0223,1.71e-05,0.185,0.641,124.967
Nights Like This (Mixed),7edNxZZqGY4uUXEPJG7ncx,CID,Loud Luxury @ Home Mix 1,0.725,0.866,3,-5.527,1,0.0677,0.0581,8.45e-05,0.367,0.506,126.006
Sweet Memories,6F3rgQfSns1slUnMfHXjOA,CID,Sweet Memories,0.624,0.923,9,-5.449,0,0.0335,0.0268,0.000228,0.0509,0.402,124.994
OoooH,72Z64iIx0MC78T7FJ8L0IR,CID,Ooooh,0.689,0.972,11,-3.567,0,0.0467,0.0423,0.251,0.0673,0.608,126.001
Where I Want 2 B,51DANwCzsR67zQRSR0lvBs,CID,Where I Want 2 B,0.769,0.885,9,-4.547,0,0.0541,0.00371,0.469,0.0795,0.824,126.013
Together - SMLE Remix,3gSUd6yjk3Xn2XkmjkKF5r,CID,Together (Remixes),0.736,0.51,10,-10.021,0,0.103,0.0198,0.761,0.11,0.113,100.008
To The Club,08owNR8LaRREKGk40OFX8r,CID,To The Club,0.718,0.938,11,-4.503,0,0.0771,0.000621,0.00128,0.319,0.385,128.015
Let Me Take You,0q6ty9Ga2ebtTKa2C74jrC,CID,Let Me Take You,0.874,0.908,6,-3.573,0,0.0593,0.00839,0.0891,0.343,0.905,125.981
Us,6RXdg3NwyLU5pHUwkZq6VA,CID,Automatic,0.643,0.87,11,-5.035,1,0.0567,0.00896,3.66e-05,0.0584,0.193,124.961
Nights Like This - PBH & Jack Remix,24BBzfOsyK6YELZSo0ILNG,CID,Nights Like This (PBH & Jack Remix),0.673,0.839,3,-4.242,1,0.0433,0.0284,0.00272,0.192,0.653,126.014
Afraid To Feel - CID Remix,1mvypEtmZxHz1GT6zaW67g,CID,Afraid To Feel (CID Remix),0.688,0.982,8,-4.206,0,0.0819,0.00955,0.5,0.327,0.546,125.974
Bad For Me (feat. Sizzy Rocket),1Ia6PdR6P38gDGEtmdhb11,CID,Bad For Me EP,0.711,0.892,0,-3.918,1,0.0382,0.0457,0.000641,0.12,0.304,124.059
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,3Xhv8WUFrN7SBR9I0yTuv9,CID,Close To Me (Remixes),0.663,0.905,1,-3.781,0,0.051,0.0325,0.0,0.333,0.397,125.999
No! - TCTS Remix,6ohw29K9rIEYRUMFfTELeX,CID,No! (TCTS Remix),0.708,0.852,5,-5.395,1,0.0427,0.0108,0.53,0.28,0.909,126.003
ME N U,3YVhreVbllpRHt9ZbkmbCS,CID,ME N U,0.698,0.966,8,-3.496,0,0.0646,0.0123,0.00021,0.0853,0.513,126.02
Carnaval de Paris,5LryVW71PRDKlPHww5t8e1,CID,Carnaval de Paris,0.769,0.555,0,-5.494,0,0.0577,0.00104,0.899,0.292,0.0711,127.025
I Miss You,4HgFjSzcLbVb5XgzfhvlVx,CID,I Miss You,0.738,0.864,0,-3.228,1,0.0864,0.0103,0.000104,0.0847,0.397,125.946
Let Me Take You (Mixed),5ZZeLU4vkRvrwFzL5awXMU,CID,"Armada Music Year Mix 2022, Vol. 2",0.808,0.937,4,-4.086,0,0.0798,0.00074,0.326,0.31,0.481,126.079
Use Me Up,2TNIusEKqTGIipWTsWoAh5,CID,Use Me Up,0.873,0.682,10,-5.481,0,0.0384,0.0205,3.94e-05,0.0876,0.348,122.005
Lost Ur Mind,7cCEWHYkKxNj8mHeJBHxIE,CID,"For The Floor EP, Vol. 1",0.745,0.932,7,-4.402,1,0.045,0.00584,0.635,0.0538,0.572,125.999
