track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Stephanie - HNTR Remix,3flWoQdYrWyqUsHbURIJby,Cloonee,Stephanie (HNTR Remix),0.765,0.948,6,-4.048,0,0.0436,0.00701,0.00651,0.113,0.743,134.011
Sippin' Yak,1LldihpfcYdxAnCigKijW2,Cloonee,Sippin' Yak,0.922,0.764,9,-4.714,1,0.0964,0.0527,4.35e-05,0.292,0.846,126.978
MOFO,6su7MgolphQsuvv3RduiT7,Cloonee,MOFO,0.812,0.562,7,-6.671,1,0.131,0.0566,0.586,0.132,0.338,126.003
Lose Control,2o5zZs6SCxexfYBkjxDFU6,Cloonee,Lose Control,0.879,0.882,8,-8.724,1,0.0752,0.00111,0.489,0.0762,0.969,126.008
Badman Sound,2MAABKnxekkSL5hnVZ8RY1,Cloonee,Badman Sound,0.889,0.734,11,-8.012,1,0.0636,0.199,0.00363,0.1,0.317,128.04
Pop It,6GDfe6clOqjn2GIGrV8hS2,Cloonee,Pop It,0.841,0.602,11,-7.87,1,0.0602,0.0107,0.152,0.141,0.904,129.984
Be Good To Me (feat. Lindy Layton),45AcZcCFwIZM6cMVtIEFqJ,Cloonee,Be Good To Me (feat. Lindy Layton),0.783,0.835,0,-6.951,1,0.0443,0.00263,0.132,0.148,0.657,124.048
Weeping Willow,6yYzEgqwB9rIXKZzEOjBiT,Cloonee,Weeping Willow,0.747,0.863,1,-9.67,1,0.0465,0.133,0.721,0.0933,0.399,129.978
Fine Night,5BoA4ehsprvSzDBuFOPgdA,Cloonee,Fine Night,0.808,0.515,1,-10.908,1,0.0357,0.173,0.000981,0.079,0.316,127.968
Gucci Suit,0htfSPN3BMHHaJTrZ63YMM,Cloonee,Gucci Suit,0.731,0.603,6,-10.01,1,0.0674,0.00705,0.189,0.0956,0.448,126.003
PE$O,5o0r8QqEH6AR5OOrBVrKxr,Cloonee,PE$O,0.765,0.691,0,-6.136,1,0.0626,0.0974,0.00901,0.104,0.662,126.069
Stephanie,1STx87JG8AJed2BLOECtYK,Cloonee,Stephanie (HNTR Remix),0.916,0.527,9,-6.838,1,0.12,0.161,0.0,0.259,0.74,130.024
Nightmares,5xARo31Sdr6Kmk2g9j4t3x,Cloonee,Nightmares,0.802,0.819,0,-6.774,1,0.0856,0.00885,0.307,0.102,0.488,128.043
On Ya Marks,7H8KdIGmetrtMclJ3AQhDd,Cloonee,On Ya Marks,0.897,0.582,9,-10.225,1,0.11,0.0113,0.00647,0.049,0.804,126.05
Si mañana me muero,1VqrtjJwAHCHnquGJubbda,Cloonee,"mañana, temprano",0.683,0.735,1,-6.184,0,0.136,0.255,0.0437,0.158,0.338,128.123
The Ciggie,1r8ZqfggYqW1R2JjiDGBQV,Cloonee,The Ciggie,0.905,0.579,5,-9.104,1,0.0865,0.000218,0.116,0.0867,0.605,123.999
Wiggle,6D7Gyou3QHMBBQ0dKxY5P0,Cloonee,Gucci Suit,0.86,0.445,9,-9.368,1,0.081,0.00482,0.874,0.105,0.778,127.026
CARNET - Cloonee Remix,5d1T4dmSTUoI5GR9R9CJYL,Cloonee,CARNET (Cloonee Remix),0.812,0.763,0,-6.941,1,0.0405,0.148,0.00811,0.085,0.635,127.97
Separated,5O7yUDeSAj390VI5z98jsd,Cloonee,Separated,0.753,0.765,4,-3.739,0,0.0332,0.0143,8.41e-05,0.338,0.155,125.986
Fuego,4r2xLZbF6dz6Sq3DkEQF7Z,Cloonee,Fuego,0.764,0.821,1,-7.684,1,0.0687,0.0156,0.61,0.0855,0.504,128.018
Tripasia,4NqaNXn9bw7PmXjOFW8vmp,Cloonee,Tripasia,0.845,0.771,7,-7.937,1,0.0928,0.093,0.134,0.0749,0.557,127.982
How Deep Are Your Dreams?,31YCj2AQ7DMeMLVvtwfxhM,Cloonee,How Deep Are Your Dreams?,0.887,0.804,7,-4.673,1,0.103,0.0694,0.00276,0.154,0.426,132.003
Still My Baby,5B5onCeur5UE2jbTCCkUiK,Cloonee,Still My Baby,0.79,0.733,10,-7.414,0,0.0778,0.0311,0.0418,0.138,0.761,127.996
Pegao,0LmYyhrISLyWmZKyoNUs02,Cloonee,Pegao,0.71,0.926,10,-5.678,1,0.0891,0.0133,0.123,0.055,0.699,128.037
Get Stupid,6EX9l4lJZknixCpQqTKGAF,Cloonee,Get Stupid,0.859,0.677,11,-9.916,0,0.0879,0.00216,0.00375,0.0487,0.73,128.001
In The Yuma (Cloonee's At The Sahara Remix),48f4gFvgXOMx6p5DjkIipF,Cloonee,In The Yuma (Cloonee's At The Sahara Remix),0.836,0.669,6,-8.229,0,0.121,0.0343,0.837,0.0759,0.532,126.012
Love You Like That,4ZYiV1lD5mJEMIdfIaVsBW,Cloonee,Love You Like That,0.911,0.656,8,-11.725,0,0.0965,0.00814,0.000327,0.114,0.918,124.957
Turn Off The Lights - Cloonee Remix,2GpJEGFtU36JV6KlqNf6o0,Cloonee,Turn Off The Lights (Cloonee Remix),0.9,0.406,11,-6.981,0,0.14,0.0549,0.0387,0.123,0.199,128.007
Not Gonna Be Your Boo (feat. Robin S),36Umek5lUvL6pXI74dnRct,Cloonee,Not Gonna Be Your Boo (feat. Robin S),0.784,0.795,0,-6.788,1,0.0867,0.00284,0.00108,0.236,0.665,131.976
Partay,4TcXYHHLrkDSfHGbeLw8UQ,Cloonee,Partay,0.846,0.879,9,-6.182,1,0.0505,0.0074,0.0332,0.107,0.579,127.011
Separated - Extended Mix,0L32P7cOHAmBnkoF7icOBz,Cloonee,Separated,0.792,0.811,4,-3.598,0,0.0331,0.00593,0.00273,0.0511,0.297,125.98
Mi Amor,2Suk7DzVMim77YswOSMvJL,Cloonee,Mi Amor,0.824,0.511,8,-9.049,0,0.151,0.0187,0.834,0.309,0.0858,127.959
On My Wrist,4iFEEBLIlRwJIEVM8WI10c,Cloonee,On My Wrist,0.859,0.919,11,-6.101,1,0.0542,0.078,0.811,0.127,0.421,124.003
Sippin' Yak (Morgan Seatree Remix) - Mixed,1NtA94t8riAYZpQwRpmMmJ,Cloonee,GEWAH Selects,0.686,0.983,0,-7.126,1,0.0558,0.0904,0.00156,0.04,0.78,139.983
Funky Funky,7uSgKHfjbg9K1cIFtK1JLo,Cloonee,Funky Funky,0.957,0.684,7,-7.198,0,0.0755,0.00131,0.000668,0.11,0.873,125.005
