track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I've lost my grace,2DJW8KYddIxl44z0FmW7RX,Cloudy,If you have a passion for,0.335,0.946,11,-2.404,1,0.0968,0.0704,0.0,0.235,0.72,179.957
Burning for life,4ZxtOI1ubsu27Vs87Jc987,Cloudy,If you have a passion for,0.523,0.99,11,-1.197,1,0.201,0.0221,0.0,0.0756,0.31,110.041
Hush Baby - Loopable Noise,3C1FuKPYJYquM88vz6NRle,Cloudy,Sleep Baby,0.103,0.659,2,-25.504,1,0.0723,0.986,0.874,0.344,1e-05,92.533
A band member and a blonde woman,5h1CbSso5JiqjauQhu1azN,Cloudy,If you have a passion for,0.554,0.96,0,-1.183,1,0.146,0.0106,0.0,0.643,0.679,110.138
September Nine,2jN7D4dDw2wg5UHTWizC6m,Cloudy,If you have a passion for,0.398,0.989,11,-1.585,1,0.103,0.00082,0.0,0.377,0.116,110.049
dream that never wakes,1d622bq7vmxWP8VWtcKcTg,Cloudy,If you have a passion for,0.307,0.993,11,-0.651,1,0.123,0.000106,0.0902,0.153,0.0627,109.663
from now,5q2iw64cxY9RyuFWY5W1m7,Cloudy,If you have a passion for,0.451,0.996,4,-1.257,1,0.136,0.000401,2.99e-05,0.359,0.123,110.021
as long as one lives,0CbAg6vR3mL1Z1NHoFpgb1,Cloudy,as long as one lives,0.574,0.498,11,-5.294,1,0.0294,0.0677,0.0,0.133,0.234,119.93
Fire,1ISsG2WWyAB1tkpJNVGhma,Cloudy,"Autumn Chill, Moody Indie Folk Songs Vol. 2 (Indie Folk Central)",0.66,0.336,4,-8.058,0,0.0318,0.278,0.00895,0.102,0.361,134.786
Meraki,0IuAUgkBdtMPp3jZvp0Kpe,Cloudy,Meraki,0.122,0.00396,10,-37.351,1,0.0448,0.964,0.93,0.112,0.0355,68.559
Linen - Rain,0Ppthubv46glpRwS3T7bbC,Cloudy,Linen,0.133,0.988,3,-33.179,0,0.0523,0.829,0.898,0.922,1e-05,88.278
The young man is still sounding the notes today,6I6olhnYWyZz1iwlX2OFgN,Cloudy,If you have a passion for,0.569,0.401,4,-7.89,1,0.0559,0.422,0.0,0.347,0.223,145.166
Aura Dreams,584OV6EGoOhYwVd9JMryAK,Cloudy,Aura Dreams,0.139,0.00278,11,-41.617,1,0.0432,0.902,0.899,0.0989,0.0381,66.334
ringing,59Q30KZ6icq3zkh1qnly7N,Cloudy,If you have a passion for,0.479,0.985,4,-1.275,1,0.115,0.000333,0.0,0.326,0.27,110.074
Superman,28qSxoxlAGwTDHmI8hLIya,Cloudy,Superman,0.75,0.885,5,-4.879,1,0.0974,0.0143,0.0,0.0854,0.643,114.993
A young man watches the sunset alone,0HTg44YecY7ferk1TrWsxP,Cloudy,If you have a passion for,0.574,0.266,0,-8.0,1,0.0455,0.834,0.0,0.174,0.46,73.595
Vague,7I5b7b0k9fQYvkxuyfH9fc,Cloudy,Vague,0.367,0.525,8,-4.757,1,0.0299,0.0243,0.000103,0.117,0.213,146.051
