track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Stylin',2o04z6k2tjf2eaFVNQ44dj,Club Angel,Stylin',0.704,0.949,9,-7.227,1,0.0758,0.0115,0.844,0.221,0.962,140.013
Outrun,0GhWCqmsh9gSpY1QCtx3To,Club Angel,Outrun,0.568,0.997,8,-3.346,0,0.053,0.0275,0.881,0.238,0.869,144.978
Cry,2HhhhHfVEmz09NAb0FxgDW,Club Angel,Cry,0.706,0.863,4,-6.386,0,0.0475,0.0131,0.834,0.119,0.309,142.007
Control Dem,7CJj238MecPG1II1UgO1OJ,Club Angel,Control Dem,0.709,0.85,0,-6.512,0,0.136,0.0221,9.58e-06,0.118,0.613,135.029
Babylon's Burning,4SR2fdEkADJHBxe0rtc4Fg,Club Angel,Soundbwoy's Destiny EP,0.553,0.909,1,-4.603,0,0.0445,0.000611,0.499,0.457,0.282,174.999
Pop Them Threat!,5jhWKjCLcPhLQsGBpnXhGG,Club Angel,6AM EP,0.68,0.981,11,-5.75,0,0.265,0.0689,0.161,0.402,0.482,175.032
Informer,6DVzf5wO1xEUcXNpdFN6WO,Club Angel,Soundbwoy's Destiny EP,0.634,0.994,1,-5.79,1,0.0901,0.00535,0.667,0.337,0.662,140.099
Never,6NqOo2H1zqbgDtHkqjU4Vy,Club Angel,6AM EP,0.775,0.659,4,-7.628,0,0.305,0.698,0.93,0.101,0.473,135.07
Ride For Me - Speed Mix,029lMAp2wAKdCvPWyociC6,Club Angel,Ride For Me,0.704,0.912,9,-6.365,0,0.0426,0.00203,0.04,0.159,0.683,139.974
Cranky Boy (feat. Club Angel) - Club Angel Remix,3hCwkOP0kXwjOlIdycfRpu,Club Angel,Cranky Boy (Remixes),0.735,0.838,8,-5.118,0,0.0824,7.02e-05,0.298,0.285,0.459,144.956
Need Love,0YkMFf0eAYjtYEOmgEX66x,Club Angel,6AM EP,0.717,0.948,0,-6.369,1,0.151,0.000956,0.0343,0.15,0.318,135.007
Neva Miss,3nyoR6pjlca3i4cfsn0AZY,Club Angel,Soundbwoy's Destiny EP,0.73,0.997,1,-5.795,1,0.0707,0.000986,0.638,0.0256,0.89,145.032
Lies,21SsytgtQaHaqfOMsWtCp7,Club Angel,6AM EP,0.699,0.769,7,-5.747,1,0.0556,0.00314,0.886,0.323,0.664,135.01
Ride For Me,7FqFB8cdeF0OLxK13fBnui,Club Angel,Ride For Me,0.664,0.79,9,-3.357,0,0.0721,0.0694,0.0533,0.12,0.846,135.071
Bruk It,6E6BwHTr5YAiC51pggeI0x,Club Angel,Soundbwoy's Destiny EP,0.718,0.968,1,-5.564,1,0.0499,0.0316,0.344,0.0993,0.654,140.022
