track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
We May Live On,5TqJdx8Jvcjm0JwCGuyPS6,Code Black,Time Capsule,0.5,0.949,1,-4.833,0,0.12,0.00272,0.000225,0.259,0.233,149.749
2 The Dancefloor,61zl1rKjhT7nccW6n4YiWs,Code Black,Time Capsule,0.529,0.94,0,-4.408,0,0.0447,0.00563,0.17,0.21,0.433,150.062
A.A.C.S.,54WeD0JUPybZ1IJvNTWd1V,Code Black,Time Capsule,0.555,0.998,4,-2.636,1,0.0796,0.000782,0.267,0.18,0.397,74.987
Show Me,6FcF9QZhjs4MmLTTwFAsV6,Code Black,Time Capsule,0.52,0.972,6,-3.312,1,0.0402,0.0112,0.579,0.0541,0.535,149.959
Let The Beat,2Mhd2r4VLneZXCBjBRfq2q,Code Black,Time Capsule,0.602,0.997,2,-3.165,1,0.0817,0.0144,0.64,0.107,0.159,149.943
Dancing Through The Darkness,6s0hqFGYFNRMaOhByL48No,Code Black,Time Capsule,0.518,0.933,9,-5.184,0,0.0502,0.0355,0.00293,0.287,0.368,149.917
To The Rave,65f5HiEoaio54N6mYeZi6r,Code Black,Time Capsule,0.71,0.993,7,-3.626,1,0.0703,0.00596,0.0565,0.329,0.583,150.053
Move Me Closer,7M9rb57KKOjNVQ7SbLpd6w,Code Black,Time Capsule,0.595,0.979,6,-4.36,0,0.0746,0.0226,0.0689,0.066,0.429,149.966
Music,2YtBFDEjc5wyTYCf8RkTYs,Code Black,Time Capsule,0.494,0.987,1,-3.925,1,0.107,0.000664,0.00352,0.319,0.567,149.916
Turn This Weapon On,0Rf6A1f5Q9zdwHxVx1F2V0,Code Black,Time Capsule,0.324,0.989,1,-3.704,1,0.157,0.0255,0.000858,0.31,0.179,149.948
La Venganza (Revenge),2mHh7LHc1I39UEdpAQp0iG,Code Black,Time Capsule,0.339,0.972,6,-4.969,0,0.129,0.121,0.00404,0.128,0.108,149.797
Loudness,0JFH1e6jdWFjZK3l2CSFtO,Code Black,Time Capsule,0.599,0.982,4,-3.773,1,0.145,0.0615,0.421,0.0973,0.22,150.041
Creatures,7vKlrNLIsZUkkmUfpOgJfH,Code Black,Time Capsule,0.51,0.977,6,-4.347,0,0.0925,0.00888,8.94e-05,0.341,0.255,150.031
Sparks,24HXDIPoXIravqTP40gGWW,Code Black,Journey,0.535,0.861,1,-2.99,1,0.184,0.0718,0.0,0.135,0.357,150.063
Smoke & Flame,2eOvrdGuKxpulGSjZle92q,Code Black,Journey,0.586,0.941,5,-2.757,0,0.0433,0.00729,0.08,0.0852,0.219,150.02
Feels Good (Kick'n The Bass 2K18 Mix),4mRZBLjEAD0OdWP1woEQoX,Code Black,Journey,0.536,0.961,1,-1.864,0,0.0489,0.000545,0.342,0.421,0.394,149.909
No Reality,0iCmivRy2apHlN8oYp2i2F,Code Black,Journey,0.64,0.972,11,-2.12,0,0.0606,0.0224,0.18,0.092,0.33,149.991
Never Be Forgotten,6K7oqHajeJzDXJykArR4zK,Code Black,Journey,0.485,0.954,2,-4.054,0,0.238,0.0158,0.0,0.132,0.259,150.058
OI F#KN OI,7hPfK9mCd6Gg1Lzr6XSPsC,Code Black,Journey,0.562,0.969,0,-0.895,1,0.482,0.0549,3.37e-05,0.14,0.345,75.007
Before You Go,4jn5KWTDXK0InVA0pHyJZz,Code Black,Journey,0.585,0.913,9,-2.673,0,0.0462,0.109,1.1e-05,0.0829,0.21,149.967
With The Wolves,14uBfrIGw1qmO3NMEPpO12,Code Black,Journey,0.595,0.882,4,-3.802,0,0.0378,0.0951,0.744,0.182,0.161,149.951
Together As One,7Ch8Q12YSYwpk0MuoMg79i,Code Black,Journey,0.582,0.865,11,-3.052,0,0.141,0.00936,0.63,0.0699,0.0812,150.097
Heart Like Mine,3KrxwrKX65jvS0CV1YD2DT,Code Black,Journey,0.325,0.797,9,-3.85,1,0.0431,0.0227,0.000223,0.586,0.247,149.995
Beat Cannon,3h7hNeTjmtdbaJCcuW9yKu,Code Black,Journey,0.344,0.845,4,-4.315,0,0.0821,0.0251,0.000574,0.321,0.057,149.982
Echo of Existence,0JtZiBcV1JqOsqquLp94Ae,Code Black,Journey,0.559,0.958,8,-3.223,0,0.144,0.0108,0.207,0.186,0.161,75.015
Time,0b8sHCVrbgAimuWEUGlgbN,Code Black,Journey,0.605,0.952,4,-3.445,0,0.0724,0.0392,0.354,0.315,0.475,149.98
Worlds Collide,3NjNwsDIoDPmwxKKC1SkeP,Code Black,Journey,0.441,0.93,5,-2.909,0,0.133,0.00431,7.24e-05,0.095,0.124,150.262
Close The Door,12EZi5bcKb8cy62L1R5KDE,Code Black,Journey,0.289,0.84,7,-4.546,1,0.246,0.00501,0.00529,0.407,0.152,149.974
Lowr U Go,7xNWF0cUxLpAlGyPD3yQle,Code Black,Journey,0.741,0.96,6,-3.589,1,0.209,0.00471,0.0102,0.17,0.25,149.962
You've Got The Love (Bonus Track) - Album Dub Mix,53ztIPlG41GfEamzrfp9Ut,Code Black,Journey,0.231,0.841,3,-4.809,0,0.0498,0.19,0.492,0.15,0.0437,142.299
Lighthouse (Bonus Track) - Code Black & Toneshifterz Remix,3e7Zzew7PXbAtrUY51rD3d,Code Black,Journey,0.51,0.938,8,-2.69,0,0.0512,0.0288,0.0,0.253,0.649,150.013
Tonight,0rmjUUbgDJOEjdWpHtMhI3,Code Black,Tonight,0.588,0.996,8,-0.836,1,0.463,0.0309,0.00283,0.339,0.309,159.94
On The Beach,6cIChva2UfooNftQMoAXAx,Code Black,On The Beach,0.373,0.946,9,-3.022,0,0.0879,0.00751,0.0104,0.41,0.345,153.183
Power Of The Tribe,1OnQjJ84GshlG6jcx4BFkF,Code Black,Power Of The Tribe,0.462,0.985,1,-2.107,0,0.41,0.011,0.00354,0.358,0.0399,155.004
Off My Face,5QlIuFcyEU52OGWpSjVfdv,Code Black,Off My Face,0.695,0.895,9,-4.263,0,0.0873,0.00125,0.601,0.0452,0.776,154.999
High,6qtlHmS5i5J2MIFZqZ27cT,Code Black,High,0.532,0.989,1,0.247,1,0.281,0.00662,0.000861,0.31,0.298,159.92
STAND TALL,4hgTvGbwkB79mXixZcUs8Y,Code Black,STAND TALL,0.515,0.973,6,-2.329,0,0.392,0.0273,0.0,0.374,0.331,159.88
Polarized (Back 2 The Future),5soMrKiCesnecKTCohSsAx,Code Black,Polarized (Back 2 The Future),0.378,0.961,10,-1.087,0,0.219,0.00999,6.85e-06,0.297,0.292,159.9
Polarized (Back 2 The Future) - Extended Mix,6IeVt8JGfFOQNppQyzhZNY,Code Black,Polarized (Back 2 The Future),0.39,0.971,10,-1.254,0,0.264,0.014,4.2e-05,0.334,0.242,160.02
Hype Train,5p42DtpLxUBx5th1I9mLeu,Code Black,Hype Train (feat. Static),0.491,0.901,0,-2.247,1,0.283,0.00217,6.76e-05,0.185,0.368,160.393
Fly,3wA7idlHfIO8uClB6UoR0L,Code Black,Fly,0.391,0.952,8,-2.318,0,0.28,0.000548,0.00514,0.367,0.409,159.646
Fly - Extended Mix,2M2zNFF0n1PngF933wTB7u,Code Black,Fly,0.487,0.94,1,-3.293,0,0.175,0.00328,0.125,0.0709,0.399,159.829
Here Forever,6lbyFYjLKlV1gmKzDNsKpZ,Code Black,Here Forever,0.517,0.965,8,-0.544,0,0.515,0.035,0.000589,0.0873,0.231,159.898
