track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rewind (Mixed),6CYGavK0XohsOAa9m5Csqb,Cold Blue,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.371,0.997,11,-8.441,0,0.0884,0.000894,0.956,0.212,0.519,139.933
In Peace,3HfNPu9ILkuDDMUXFpPEIX,Cold Blue,Winter,0.236,0.721,6,-12.729,0,0.044,0.516,0.924,0.13,0.442,139.968
Rewind,1wH8icGEY8k9134h6s6Nos,Cold Blue,Rewind,0.423,0.991,4,-4.75,0,0.0517,0.00191,0.903,0.364,0.273,139.999
Fallen Angel - Album Mix,0NYjykWGtTyXiChrEtERmI,Cold Blue,Fallen Angel,0.484,0.892,8,-5.615,1,0.032,0.00174,0.00938,0.38,0.331,127.988
Behind The Silence - Cold Blue Remix,5BEqnmBAKgiGU15JA6qbmn,Cold Blue,Behind the Silence (Cold Blue Remix),0.45,0.988,10,-5.885,0,0.0513,0.0248,0.862,0.337,0.201,138.017
Rush,5AS3BW6OKIIcv5YRBxhWbu,Cold Blue,Rush,0.439,0.974,1,-6.052,1,0.0624,0.0004,0.94,0.166,0.197,139.967
The Bright Side,4J6zq8TnvIPgKVqPkHbEss,Cold Blue,The Bright Side,0.428,0.997,7,-5.049,1,0.105,0.00272,0.933,0.57,0.144,139.989
11 Days - Sebastian Brandt Remix,2uiKNjQRlj90lR9Ms06NkD,Cold Blue,"Trance Top 1000 Selection, Vol. 1 (Extended Versions)",0.496,0.839,8,-7.264,1,0.0401,0.00188,0.889,0.286,0.0399,138.0
Fallen Angel - Dennis Sheperd Club Mix,5rM7VtBF9rHhdE9JJvieBL,Cold Blue,Fallen Angel,0.584,0.818,1,-7.783,1,0.0653,0.00108,0.39,0.074,0.389,131.992
Mount Everest - Dennis Sheperd Remix,3gD3IHTvINO6Hd2DWmBrKD,Cold Blue,Anjunabeats Volume 7,0.313,0.863,0,-10.576,1,0.0459,0.00187,0.852,0.0743,0.142,129.955
Once in Time - Original Mix,2voXBYONMnH6ykeiOS37YX,Cold Blue,Once in Time,0.464,0.964,9,-6.652,1,0.0565,0.000352,0.901,0.0906,0.0853,140.002
The Great Awakening,5EcVJSqzXUOgxnUAd0j6FY,Cold Blue,The Great Awakening,0.345,0.993,6,-3.635,1,0.0454,0.000124,0.89,0.105,0.499,139.985
Standing On the Edge Of Space - Cold Blue Remix,3FPRzuZBjsjduQbFWtSGlI,Cold Blue,Standing On the Edge of Space (Cold Blue Remix),0.362,0.994,5,-4.177,0,0.0867,0.00283,0.966,0.708,0.395,139.967
Fallen Angel - Dennis Sheperd Radio Edit,6VbCaW5zcl9Ir5UxewNtw6,Cold Blue,"Trance World, Vol. 14",0.509,0.91,5,-7.841,0,0.0418,0.0119,0.017,0.262,0.333,131.973
The Morning After,4Pu0gY1CqY2tT6XbrJXvb0,Cold Blue,The Morning After,0.512,0.958,4,-4.993,0,0.0455,0.000308,0.702,0.24,0.145,136.956
