track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Open The Pit,1HComaUOXdl7jRuGB3KsVB,crankdat,Open The Pit,0.317,0.981,1,-4.598,1,0.447,0.00156,0.000802,0.321,0.307,74.725
Big Bang (with Crankdat),6xkBy4dXb6LxQQ3OuuK2xv,crankdat,Big Bang (with Crankdat),0.583,0.957,2,-4.309,1,0.13,0.000353,0.00272,0.0862,0.18,149.96
STFU,0v1nobrUSVLIXrYaI4zwkw,crankdat,STFU,0.4,0.991,1,-2.075,1,0.0842,0.001,0.41,0.337,0.207,136.261
Hollow - Crankdat Remix,33rAApbMJugF731QXcMrFk,crankdat,Hollow (Crankdat Remix),0.351,0.962,5,-1.993,1,0.121,0.000686,0.000194,0.0723,0.252,149.984
HEAT,2GqpGnSsaS4WY4wgURygHO,crankdat,HEAT,0.599,0.947,1,-3.317,1,0.0783,0.00705,0.0212,0.714,0.15,139.993
Start Shit,3PmQwhAJUdq8xgdaNIKRGJ,crankdat,Slaughter House,0.559,0.951,10,-2.572,0,0.0656,6.39e-05,0.398,0.418,0.19,131.859
B.T.W. (The Whistle),2ERXSwA2OOOurhDraYDT39,crankdat,Slaughter House,0.628,0.947,3,-2.748,0,0.0652,0.000605,0.0477,0.0687,0.261,128.033
Ding Dong,0bCprNU6mjEwlY0JJJM0SC,crankdat,Slaughter House,0.796,0.975,11,-3.442,0,0.0642,0.00021,0.803,0.0931,0.435,128.037
Move Back,2C7p0tqESE2RFcPNv0I32W,crankdat,Slaughter House,0.748,0.958,11,-3.052,1,0.0802,0.00403,0.06,0.114,0.293,130.022
Power Stone,49CTT8nREe7MC5LFwLMwiZ,crankdat,Slaughter House,0.662,0.954,6,-2.419,0,0.0383,0.000351,0.0299,0.416,0.362,132.025
Vexed,51cjfi7WPCpmIFbtPN7OhB,crankdat,Slaughter House,0.58,0.95,7,-1.843,1,0.0654,0.0461,0.138,0.0863,0.158,128.023
Back To You,62M7Ou5SxP0p0lQDWVtYaM,crankdat,Slaughter House,0.524,0.86,8,-3.361,0,0.0534,0.0104,0.000304,0.276,0.0487,128.042
far away - Crankdat Remix,4fj1ITLZ06PioSOZK8rhUc,crankdat,far away (Crankdat Remix),0.601,0.728,2,-2.944,0,0.04,0.13,0.0,0.0846,0.314,156.169
Underneath My Skin - Crankdat Remix,6JrgAMiQvbPcwZOwuK3oH0,crankdat,Underneath My Skin (Crankdat Remix),0.538,0.839,8,-3.25,0,0.0399,0.12,6.81e-06,0.156,0.215,143.973
Ground Shake,0h2ZSu1j6YFsGj85eSyrI4,crankdat,Ground Shake,0.63,0.984,11,-2.187,1,0.0658,0.000666,0.00804,0.163,0.214,145.074
Own The Night,5jVJXFj5yAONblNoDrpCEM,crankdat,Own The Night,0.587,0.915,1,-4.325,1,0.224,0.00802,0.0625,0.389,0.373,149.996
Revolution - Crankdat Remix,3DDIqY49FP0IpkzbQ4YVpc,crankdat,Revolution (Crankdat Remix),0.612,0.913,2,-3.398,1,0.0425,0.000453,0.0554,0.374,0.223,75.031
Oldskool,3x34JXZdyZdkfEgkHT3eNC,crankdat,Mechanized Mayhem Vol. 2,0.517,0.987,5,-3.365,1,0.227,0.00138,0.00553,0.222,0.0829,140.358
Ground Pound,0UsAnVxHuVxBCeYpPMlKk5,crankdat,Mechanized Mayhem Vol. 2,0.543,0.955,1,-4.707,1,0.0555,0.00568,0.804,0.0726,0.0561,149.963
Lasers,4rVUrj068oDDNCgSj66PsR,crankdat,Mechanized Mayhem Vol. 2,0.489,0.984,8,-3.923,1,0.0933,0.003,0.344,0.053,0.037,144.853
Weight of The World,67yyyOB6eYJFSSjuuUpv6P,crankdat,Weight of The World,0.556,0.705,4,-4.754,0,0.042,0.00105,3.85e-05,0.281,0.0534,143.926
The Same (feat. neverwaves),6YHoMGskZLBjLYDRqCJCGX,crankdat,The Same (feat. neverwaves),0.485,0.876,4,-2.117,0,0.0619,0.417,3.67e-06,0.0976,0.374,145.934
Passive Aggressive - Crankdat Remix,6nnAFT1sS8OPvyJL4oFjFE,crankdat,Passive Aggressive (Crankdat Remix),0.609,0.687,6,-5.352,0,0.0475,0.442,0.00173,0.154,0.146,142.03
Wish You Were Here,0qqj90GdYmM9jWU6TCabYP,crankdat,Sad Robot EP,0.543,0.966,7,-3.536,1,0.0691,0.0244,0.0257,0.136,0.0683,140.012
Better Without You,4zgkwtBEODbwFBRiTDaPAa,crankdat,Sad Robot EP,0.56,0.734,5,-4.328,0,0.0439,0.0722,0.0,0.176,0.21,140.181
The Feeling,4KVqwy4PyW2sLBSCaRD3ds,crankdat,Sad Robot EP,0.534,0.825,4,-2.773,0,0.0898,0.143,0.000812,0.244,0.204,140.08
What It Feels Like,3u31VQOZLJ9PYwyal3KfXt,crankdat,Sad Robot EP,0.47,0.782,0,-5.003,0,0.0767,0.145,1.8e-05,0.322,0.293,141.923
Higher,6MQMdM9aRYh4yEexmpcl4o,crankdat,Sad Robot EP,0.447,0.796,9,-4.677,0,0.0798,0.0291,2.59e-05,0.0968,0.122,143.902
UNDERGROUND SHIT,0OEKbmU51OoRUp4GKgyuKq,crankdat,UNDERGROUND SHIT,0.51,0.94,0,-1.921,1,0.243,0.0131,0.0139,0.411,0.311,142.173
Dark Room,7mlns5RNPhmCx2Ak7rm5k7,crankdat,Dark Room,0.524,0.806,3,-2.381,0,0.0617,0.0841,0.00029,0.215,0.468,141.983
Tell Me,014UEoa0wXZv6KsrvpR7O5,crankdat,Tell Me,0.48,0.887,1,-4.108,0,0.113,0.15,0.00562,0.0912,0.0486,145.887
BADFUTURE,6BdICoTty55qOtn4sOwgFk,crankdat,BADFUTURE,0.601,0.891,11,-2.805,1,0.0391,0.000363,0.043,0.461,0.304,149.981
Poppin,7yiTKDL4BMNv39EnoWx3md,crankdat,Poppin,0.52,0.983,5,-1.522,0,0.109,0.00129,0.025,0.368,0.243,146.062
Poppin - VIP,5na1r4QMcYXijpt7fE84G8,crankdat,Poppin,0.535,0.978,9,-2.256,1,0.311,0.0014,0.000341,0.644,0.347,145.911
The Fire,5THjgwhol70KVdigmj3bUc,crankdat,The Fire,0.518,0.976,9,-1.125,1,0.42,0.000651,0.262,0.267,0.106,150.076
