track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Miracle,7cGXx6FiS6fhp0aIBliXFo,Culture Shock,Miracle (VIP Mix),0.583,0.988,1,1.117,1,0.0543,0.248,0.00763,0.173,0.433,173.99
Exed Up,5JAcohHwQK0g0g4bBBN05L,Culture Shock,Legal Tender 2.5,0.5,0.748,6,-6.2,0,0.0417,0.0323,7.04e-05,0.196,0.603,157.22
Rise,3bziHnTiblEvyiAP1iO3oq,Culture Shock,Sequel,0.363,0.991,1,-0.426,1,0.0489,0.00154,0.198,0.266,0.12,173.994
Renaissance - Edit,6pet6V7NvRBiYhT7I243Xi,Culture Shock,Sequence,0.458,0.981,1,-1.65,1,0.0518,0.0573,0.0363,0.172,0.143,173.882
Panic Room - Culture Shock Remix,7yahqANoaeBiBRlMZQacCN,Culture Shock,Panic Room (Culture Shock Remix),0.443,0.97,5,-1.591,0,0.0469,0.0116,0.016,0.121,0.161,173.85
Visions,4p6xkRMKsCVfM4vDpMDyOI,Culture Shock,Sequel,0.496,0.976,8,-3.358,0,0.0684,0.314,0.00372,0.111,0.403,173.914
Get To Me,5VvldWzela6drTGzTKIXK8,Culture Shock,Get To Me,0.599,0.973,1,-0.483,1,0.0656,0.0562,0.296,0.24,0.763,173.996
Lost,10mkoHmH0voUA6y0SH5RBt,Culture Shock,Sequel,0.542,0.947,8,-1.946,0,0.0634,0.0711,0.0157,0.641,0.457,173.979
Airplane - Culture Shock Remix,7KhINDwLyIfcImRaqeog9r,Culture Shock,Reworks I,0.458,0.996,0,-0.587,1,0.0656,0.00445,0.886,0.169,0.0902,173.986
Breathe,69RnaDZLYLZq8ZFBExlvAl,Culture Shock,Breathe,0.55,0.998,2,1.76,1,0.314,0.132,0.0156,0.235,0.53,173.899
Universe,1qKITxCqgMTHWFCTkdWNfG,Culture Shock,Universe,0.484,0.983,6,-2.345,1,0.0706,0.00397,0.35,0.168,0.377,174.04
Discotheque,2w49us5pBD5DfYZ9i31Q82,Culture Shock,Discotheque,0.552,0.962,5,-2.153,0,0.0735,0.0626,0.142,0.32,0.353,173.988
Have It All (feat. Raphaella),0VQ7XL2V5Szj5ccF59HXYH,Culture Shock,Have It All / Pandemic,0.47,0.951,5,-3.107,0,0.0452,0.169,4.99e-05,0.0699,0.348,173.961
Make It Pump,1lJVG4aXmbvMM2jpkbzckJ,Culture Shock,Make It Pump,0.614,0.941,5,-0.888,1,0.0941,0.0102,0.0736,0.0728,0.477,174.012
Love To Give (with Billy Lockett),0Rww3ql3uRmzTvLOVBFlpn,Culture Shock,Love To Give (with Billy Lockett),0.454,0.977,11,-0.945,1,0.069,0.0819,0.00463,0.141,0.311,173.797
Miracle - VIP Mix,1hJL9C8kDIaAPkj6c4WB8x,Culture Shock,Miracle (VIP Mix),0.568,0.972,5,0.361,0,0.0574,0.0553,0.0113,0.088,0.312,174.0
Recombine,2GZ3TAxyasEWv08Ajcypii,Culture Shock,Sequel,0.638,0.994,6,0.377,1,0.168,0.0177,0.669,0.111,0.0368,174.021
Alone,7w8hOUvR20U6pdNa2dziHv,Culture Shock,Alone,0.548,0.958,10,-2.775,0,0.0432,0.0617,0.001,0.136,0.153,173.967
Don’t Sleep,75vSTQoc5cVlEdpsrNRNWV,Culture Shock,Don’t Sleep,0.585,0.95,1,-0.952,1,0.145,0.0156,0.621,0.143,0.509,173.96
Deconstruct,50u5AHLpBIjkvANRw9yZ5a,Culture Shock,Sequel,0.494,0.968,8,-2.59,1,0.0497,0.00066,0.874,0.539,0.133,173.912
The Time Is Now,2DI5PnNnnscXVQSIeKR1gw,Culture Shock,The Time Is Now,0.62,0.992,8,-0.903,1,0.113,0.17,0.03,0.4,0.445,174.01
Avenue,5BP7hbztSNgAQpsBKthhAI,Culture Shock,2.0 Blackmarket,0.648,0.653,7,-6.365,1,0.0351,0.0796,1.8e-06,0.151,0.649,91.005
Slip And Fall,1nQyOab4vYIAIa0bZ3j1sa,Culture Shock,2.0 Blackmarket,0.481,0.686,6,-6.443,0,0.141,0.0111,1.24e-06,0.343,0.673,79.846
Giants,2xRj5qPUuQJZG9xYkVdfrb,Culture Shock,Giants,0.474,0.962,8,-1.743,0,0.0557,0.026,0.00102,0.184,0.336,173.909
Bunker,5u9J4efhSEo5Bx5euYOtAD,Culture Shock,Sequence,0.672,0.945,0,-1.589,1,0.0757,0.0013,0.784,0.115,0.0461,174.035
Still In Love,5u46W4ZlyQ9kQ3mD7X0XK5,Culture Shock,2.0 Blackmarket,0.645,0.605,6,-7.384,0,0.101,0.0291,0.000206,0.411,0.807,91.034
Out My Head,6hFuckN77B534YPt4ytbVG,Culture Shock,Out My Head,0.491,0.997,7,-0.646,0,0.0585,0.253,0.114,0.07,0.525,174.0
Secrets (feat. RHODES),61rT53HrwwmAf25p8rbMAd,Culture Shock,Evolve,0.632,0.943,4,-3.495,0,0.0507,0.00821,0.0665,0.102,0.0614,130.012
REACT (feat. Ella Henderson) - Culture Shock Remix,0eEUuDn47hGSV9zbMYoYU7,Culture Shock,REACT (feat. Ella Henderson) [Culture Shock Remix],0.483,0.96,1,-2.05,1,0.0387,0.0274,0.0316,0.184,0.0913,173.989
Renaissance,2QsXVKZOtDV51PTWbH3rZ7,Culture Shock,RAM Drum & Bass Annual 2020,0.451,0.977,1,-1.933,1,0.063,0.0708,0.0863,0.337,0.182,173.888
Broken Pieces (feat. Nihils) - Culture Shock Remix,64ErWg4RrLn77GU7p5a6eq,Culture Shock,Mosaik (REMIXED),0.469,0.961,1,-0.316,1,0.0684,0.0426,0.0208,0.274,0.265,173.958
Panorama,5y5n9BwEWm34YVCgDdnz1y,Culture Shock,Sequel,0.49,0.928,1,-3.609,1,0.0666,0.00417,0.936,0.0984,0.109,174.011
There for You - LSB Remix,7L36mVyep2MfHUUcIpRdeP,Culture Shock,There for You (LSB Remix),0.604,0.801,2,-7.727,1,0.051,0.0314,0.899,0.122,0.105,174.035
Lost - Pola & Bryson Remix,1VU0IYiNK0deisGwsc7sPa,Culture Shock,Sequel,0.573,0.708,10,-6.306,0,0.0425,0.00365,0.0201,0.112,0.0819,173.971
Picture Perfect,5zJi6BvstdICcCdOd5Pjbk,Culture Shock,2.0 Blackmarket,0.793,0.733,2,-6.618,1,0.137,0.011,0.00355,0.376,0.486,95.006
Drumroll,2SyN90ZbEi2Ik97CWmK4S5,Culture Shock,Legal Tender 2.5,0.477,0.731,7,-4.728,1,0.136,0.00136,0.000272,0.0987,0.367,178.162
Take Control,6uFRAhzcTW5nH7v0KyUobP,Culture Shock,Sequence,0.498,0.963,11,-1.458,1,0.271,0.0135,0.00427,0.217,0.385,173.977
Move Higher - feat. Culture Shock,2dPZcg8qPKpiBDJ5xkkz51,Culture Shock,Sub Focus,0.831,0.721,1,-5.5,1,0.0981,0.00775,0.799,0.254,0.379,125.984
Beautiful,4Ciihs1QU1Mrpad1dfCj4n,Culture Shock,Legal Tender 2.5,0.618,0.869,5,-2.353,1,0.0335,0.00132,0.001,0.161,0.535,128.065
City Lights,4wttEqjVKxDFfKiTp16izN,Culture Shock,City Lights,0.554,0.919,8,-2.733,1,0.0739,0.000384,0.0,0.398,0.668,174.009
Back In Time - LSB Remix,26O7zpNmu7ZVoxpAFCDqAS,Culture Shock,Back In Time (LSB Remix),0.38,0.952,10,-2.097,0,0.0338,0.000915,0.938,0.0756,0.187,173.993
King,36JAERKzjtbe2samciJkvO,Culture Shock,2.0 Blackmarket,0.814,0.659,5,-6.135,0,0.0324,0.275,0.00109,0.346,0.954,119.487
Bombay Bo,1ywwD3wYMlZK1PZ2PxtOsu,Culture Shock,2.0 Blackmarket,0.835,0.56,5,-8.484,0,0.0631,0.0676,0.029,0.109,0.66,105.522
Tu Hai Meri,2YmNzCEByjebE3eLHiA2Ph,Culture Shock,Legal Tender 2.5,0.563,0.808,5,-3.557,1,0.0295,0.00799,5.55e-06,0.174,0.58,82.019
Save The World,1wpH9RpfxPPrUcKLhgpjk5,Culture Shock,Legal Tender 2.5,0.575,0.781,3,-6.777,0,0.0347,0.000519,0.00469,0.0722,0.33,135.075
There for You - Edit,5FgBdQ9mUHtItJU3Ty4M63,Culture Shock,Sequence,0.375,0.983,2,-2.235,1,0.0507,0.00297,0.691,0.107,0.157,173.978
No More (Back to You) - Culture Shock vs. Josh Parkinson,1NwTgRFdepuXuztUQu8lFb,Culture Shock,Transit EP,0.498,0.961,0,-0.347,1,0.0463,0.0443,0.0184,0.574,0.139,174.008
Talli,1zNUPBsvcLT1Su0RInDK8E,Culture Shock,Legal Tender 2.5,0.65,0.92,7,-2.701,0,0.0389,0.00216,1.19e-06,0.0408,0.429,127.997
You Make It Better,2X5mKe0FrN5NXevfZyhkET,Culture Shock,Torus,0.51,0.949,1,-4.063,1,0.0602,0.00655,0.391,0.058,0.0701,174.013
Ik Gal (feat. Sunny Brown),1jPfiAz1WmbvWhlDwrHdFc,Culture Shock,Ik Gal (feat. Sunny Brown),0.728,0.889,9,-2.444,0,0.0625,0.258,0.0,0.0566,0.757,145.011
