track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Light In The Dark - Cyclops Remix,5Ob8kX0HhgzC0HX7I3K0Ot,Cyclops,Find My Way (Deluxe),0.482,0.776,10,-2.449,1,0.0416,0.00263,0.000126,0.334,0.0533,145.006
Tick Tock,6Ial5CnsybgyeA5NN9UPyU,Cyclops,Tick Tock,0.795,0.957,1,-1.358,1,0.213,0.00591,0.0,0.318,0.538,145.057
Floot Loops,74geScZgtEMlGbS264lrjD,Cyclops,Floot Loops,0.694,0.97,6,0.076,0,0.0485,0.00348,0.0197,0.208,0.211,145.034
Shots,0yjypzwsNMJeimGEJVPN3Z,Cyclops,Shots,0.481,0.986,10,-0.076,0,0.309,0.00858,0.078,0.162,0.117,149.869
LEGALIZE NUCLEAR BOMBS,3GPHF00BV019RdQTm6E440,Cyclops,Legalize Nuclear Bombs,0.706,0.867,1,-1.554,1,0.0849,0.00199,0.0833,0.367,0.0685,139.992
Customer Service,7ICSZRIaoAxAJJPWnXAlp9,Cyclops,Customer Service,0.583,0.833,0,-2.836,0,0.461,0.0569,1.04e-06,0.156,0.329,142.695
Bloodshot,4Q7x6l8nCaDuYAX3NQqU4g,Cyclops,Bloodshot,0.62,0.96,1,-0.972,1,0.0521,0.00252,0.853,0.0858,0.136,112.479
Flat Earth,5dBEyWsW202P6gnrGZzd6Z,Cyclops,Flat Earth,0.691,0.916,2,-2.019,1,0.0597,0.0241,0.668,0.807,0.673,150.045
SHEEESH - Cyclops Remix,2xAA51pvQ2JCq0O3cACp1B,Cyclops,SHEEESH (The Remixes),0.842,0.797,6,-0.272,0,0.15,0.157,0.0888,0.0623,0.736,139.988
Purgatory - Cyclops Remix,1CV0LKAg6i5oc6MhkM3yTV,Cyclops,Space Cathedral (The Remixes),0.751,0.926,8,-0.357,1,0.118,0.0861,0.0633,0.0764,0.273,144.984
Heat Signature,6pRBOmfyl5PrI5baCONvBU,Cyclops,Protocol Shift EP,0.518,0.896,9,-1.642,1,0.172,0.0444,0.00198,0.385,0.381,149.009
NOPE,04JSDVJbI0wlCjI5JLnI9u,Cyclops,NOPE,0.755,0.962,1,-1.755,1,0.0524,0.00282,0.6,0.102,0.321,105.002
Crybaby,0gxFH859NhbHOI4XnZjcrX,Cyclops,Crybaby,0.782,0.808,11,-2.225,1,0.0779,0.00809,0.663,0.257,0.259,139.957
Tear Jerker,44tKnY1Tsoe9jPGmoA1H2c,Cyclops,Tear Jerker,0.843,0.801,10,-4.001,1,0.0462,0.0927,0.362,0.0721,0.143,129.943
Brain Busta,4Oi1APaShpeAtvue5f3VAK,Cyclops,Brain Busta,0.727,0.954,2,0.465,1,0.0867,0.00358,0.351,0.14,0.459,75.002
Dungeoncore,5RE68zFTUFypsy2MN00LBE,Cyclops,Tear Jerker EP,0.714,0.793,1,-2.328,1,0.0471,0.263,0.0315,0.152,0.0703,140.083
Egg Song,6TKV9lID4oGXIYg0gUTOoF,Cyclops,Egg Song,0.689,0.955,8,1.343,1,0.102,0.0071,0.194,0.347,0.178,144.969
Eye Candy,3WGEjSatojIzO6ruRawMUc,Cyclops,CODE RED EP,0.692,0.8,11,-1.861,0,0.283,0.00981,0.000374,0.418,0.248,105.09
