track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Not Enough,7q3vuEjw42Q1hdGQVqRKkx,Dabin,Not Enough,0.587,0.82,5,-3.783,1,0.102,0.00522,0.0,0.606,0.216,139.981
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM) - Dabin Remix,0BsPNqJHgzMgJfcSE7rjNe,Dabin,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM) [Dabin Remix],0.57,0.782,11,-5.668,1,0.053,0.0499,0.0,0.0714,0.432,154.947
Smoke Signals,1UxrIe4ZmoebVnRGkBJEPj,Dabin,Between Broken,0.394,0.736,2,-3.817,1,0.0499,0.0243,0.0,0.0617,0.426,139.869
Rings & Roses,1HQdWY8N1wUoSAYwjmU7DD,Dabin,Wild Youth,0.448,0.642,7,-5.118,1,0.0437,0.0403,2.78e-06,0.106,0.18,149.771
Hollow - Crankdat Remix,24iRIS3YOb5V4I56alCt0E,Dabin,Hollow (Remixes),0.351,0.962,5,-1.993,1,0.121,0.000686,0.000194,0.0723,0.252,149.984
Hold,6ZxvgeoM6ipLYsQyftxImg,Dabin,Two Hearts,0.478,0.718,9,-5.121,0,0.0366,0.0362,2.3e-06,0.231,0.256,151.997
Remember,60UIBuziAdRtraSzqGGM7Y,Dabin,Between Broken,0.485,0.705,1,-5.576,1,0.0351,0.335,6.48e-05,0.0987,0.14,130.159
In The Cold,6naeBEOrn0jX9GOVsgUw5H,Dabin,The Nature of Hope,0.587,0.782,11,-4.932,0,0.0398,0.0169,5.59e-06,0.367,0.292,116.973
Another Day,6TnI21E7NMNJ3Wljz832tH,Dabin,Wild Youth,0.601,0.701,5,-4.98,1,0.0355,0.0175,0.000129,0.104,0.409,119.985
Hope It Hurts,60yP1i0NK4oNYpSA5n12SI,Dabin,Between Broken,0.554,0.65,11,-4.514,0,0.0298,0.0923,0.0,0.212,0.219,120.014
When This Is Over,6lnCOJa3S9sAfK6qj5eMAT,Dabin,Between Broken,0.609,0.639,11,-6.239,1,0.0297,0.0193,6.29e-06,0.0623,0.435,129.976
Feel Like,2pbwzEK6c3PtqUiemlxHse,Dabin,Between Broken,0.571,0.708,1,-3.833,1,0.0327,0.0202,0.0,0.162,0.49,114.872
I See You,4qZKbdjSpya22ciSIz15GJ,Dabin,I See You,0.476,0.83,10,-4.823,0,0.056,0.0106,0.0,0.208,0.177,135.045
Hero,01WAhRjgNJZpk6Hs2AoIwU,Dabin,Hero,0.561,0.666,4,-5.268,1,0.0471,0.172,0.0,0.11,0.258,77.5
Lights,4fAQbrlsqps2x41kHcRhJm,Dabin,Wild Youth,0.191,0.583,7,-5.386,1,0.0521,0.0623,0.0,0.115,0.146,76.924
Drown,36TsyjtOszueVgNJ4TCVUq,Dabin,Between Broken,0.368,0.754,1,-5.185,1,0.0502,0.00928,0.0,0.256,0.281,169.881
Hearts on Fire,02oT3HvcsXD64VwOBtH8yM,Dabin,Hearts on Fire,0.365,0.765,1,-4.449,1,0.0416,0.0088,2.06e-06,0.0959,0.241,179.955
In The End,5pt4hbLckWiwVDM9xcDG9D,Dabin,In The End,0.497,0.614,4,-4.693,1,0.0337,0.0348,0.0,0.111,0.125,139.865
