track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sandstorm,6Sy9BUbgFse0n0LPA5lwy5,Darude,"Before the Storm, Special Edition",0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065
Calm Before the Storm,4la0kpcaAktcYshMiXb6H8,Darude,Before the Storm,0.526,0.951,9,-8.939,0,0.0388,0.0191,0.909,0.398,0.424,137.869
Feel the Beat,464Q6gFqBPItwWNZF8WbjR,Darude,Before the Storm,0.467,0.91,8,-6.926,1,0.0657,0.00662,0.774,0.282,0.475,137.819
Surrender - Hixxy Remix,7qK0mNHVdVbnqt3Prd26Vs,Darude,Surrender (The Remixes),0.467,0.965,7,-1.564,1,0.119,0.0155,0.00155,0.116,0.174,164.961
Feel The Beat - Radio Version,7lbpqAD1ELBS3ifiEBO34O,Darude,Feel the Beat,0.584,0.894,8,-7.908,1,0.0644,0.00632,0.827,0.276,0.482,137.808
Burning,3eHPcI1nGKah7SbmHDgTG4,Darude,Before the Storm,0.614,0.991,10,-7.508,0,0.0417,0.0114,0.904,0.0683,0.512,139.88
Music - Bostik Radio Edit,4LeBEsT8YhwJOQsHYlBQNU,Darude,Rush,0.46,0.941,8,-7.287,0,0.0369,4.43e-05,0.873,0.294,0.32,137.982
Touch Me Feel Me,2XRFYKCiSLSJhyMjZitOv5,Darude,Before the Storm,0.621,0.685,7,-10.201,1,0.0474,0.0741,0.736,0.155,0.241,104.909
Sandstorm - JS16 Remix,65No46y1lL8mLyQ3V9OvLE,Darude,Before the Storm,0.632,0.96,9,-8.93,1,0.0504,0.000374,0.854,0.0725,0.373,136.068
Supersized,1ebEnaWWspUv21PwyrPmUp,Darude,Moments,0.759,0.948,0,-4.166,1,0.165,0.00479,0.861,0.293,0.371,128.01
I Ran (So Far Away) - Radio Edit,3ZhzVO8opxBF5flvy31o3c,Darude,I Ran (So Far Away),0.479,0.974,9,-5.485,0,0.133,0.00817,3.12e-05,0.325,0.172,131.983
The Flow,1v28FceHqJMb64GoK2ffrQ,Darude,Before the Storm,0.628,0.932,2,-6.376,1,0.0436,9.93e-05,0.0853,0.336,0.738,142.211
Surrender,55jk70uGhiwfFCGXJRhcNW,Darude,Surrender,0.486,0.957,4,-3.349,0,0.0628,0.00653,0.00318,0.39,0.255,131.917
Out Of Control (Back For More),3jgMdXT5Jqw8XzpirV6NMJ,Darude,"Before the Storm, Special Edition",0.601,0.942,9,-6.448,0,0.074,0.0462,0.0653,0.0397,0.305,136.854
Drums of New York,50tDkBnLXiUTh7x4oMplib,Darude,Before the Storm,0.683,0.863,11,-9.138,0,0.0482,9.59e-05,0.941,0.125,0.386,142.212
Out of Control,4EYbtv51B2a4FNOkYHTTtQ,Darude,Before the Storm,0.606,0.944,9,-7.323,0,0.0612,0.00595,0.956,0.0629,0.198,136.87
Music - Original Radio Edit,2wCh5nXQ9JKkkw1Z1QfahM,Darude,Music,0.561,0.982,1,-5.726,1,0.0527,0.00132,0.755,0.656,0.786,137.965
Look Away,6Bo74efyPjwcWhXi7MGY6A,Darude,Look Away,0.495,0.887,11,-4.327,0,0.0518,0.00656,0.0,0.146,0.481,126.007
Kaleidoscope,00M9svMsZjUgU3H6Hy9s0d,Darude,Together,0.375,0.915,4,-5.199,0,0.0332,0.000329,0.902,0.362,0.0588,127.985
Closer Together,1snm2BsAXkqGTcXXhPL5hv,Darude,Together,0.47,0.951,9,-7.241,0,0.0488,0.000571,0.753,0.172,0.286,128.016
Feel the Beat - JS16 Dark Mix,5GcRETbGZ3hYcHGS2T7V4F,Darude,Before the Storm,0.671,0.955,11,-9.323,1,0.0479,0.000249,0.909,0.439,0.594,137.859
Let the Music Take Control,0QksziuUcAHJfa1QtX8Hg0,Darude,"Before the Storm, Special Edition",0.767,0.879,6,-9.295,0,0.0551,0.00252,0.215,0.108,0.756,139.839
Feel The Beat - Original Mix,1ofS6t3IhF7El0uKfZZzw9,Darude,Feel the Beat,0.683,0.794,8,-8.471,1,0.0511,0.00228,0.841,0.0672,0.519,137.831
Sandstorm (uk mix),38nTvj1WPxDkFn7qQNRLJI,Darude,"Before the Storm, Special Edition",0.749,0.925,9,-9.34,1,0.085,0.00375,0.916,0.0569,0.682,140.208
Look Away - Super8 & Tab Remix,5EGzXmuAhyrBR4h0KbsPUs,Darude,Look Away (Super8 & Tab Remix),0.513,0.898,9,-6.829,1,0.0508,0.00313,0.146,0.123,0.161,131.978
Sandstorm - Terpsichord Remix,0RzGovcqJF6n1YWqTZ3bfc,Darude,"Before the Storm, Special Edition",0.773,0.813,11,-8.125,0,0.106,0.00244,0.938,0.0739,0.632,137.995
Drive,63o9XC0mAyfdzLTiJlR4XZ,Darude,Rush,0.615,0.984,1,-7.94,1,0.0462,2.09e-05,0.731,0.319,0.428,138.008
Beautiful Alien (feat. AI AM) - Radio Edit,0a2TKGBIXhDpKhxJXq0iBs,Darude,Moments,0.398,0.746,0,-5.984,0,0.0535,0.00395,0.000288,0.462,0.359,126.929
Timeless,4nHm8mKy71jgDHH65OhXt7,Darude,Timeless,0.431,0.949,7,-5.583,1,0.0747,0.000886,0.0547,0.384,0.139,133.911
I Ran (So Far Away) - Gareth Emery Remix,43y4asIFp9vQ9C08IWIoba,Darude,I Ran (So Far Away),0.696,0.742,9,-7.779,0,0.0429,0.000868,0.501,0.548,0.593,134.994
Sandstorm [Mix Cut] - Mark Sixma Remix,7aH9BpZ27u0AqUglU0KSII,Darude,Live at Tomorrowland 2017,0.426,0.99,9,-7.184,0,0.145,0.102,0.856,0.792,0.0703,132.05
Sandstorm - Radio Edit,2kWB9IV8EHDOU9EjgxWFrF,Darude,Sandstorm,0.526,0.978,11,-6.798,0,0.0471,0.142,0.987,0.11,0.62,136.079
Surrender - Alex Sonata & TheRio Extended Remix,0l4r9ADxTa76067NHGj7Xs,Darude,Surrender (The Remixes),0.625,0.8,2,-6.096,1,0.0579,0.00235,0.0898,0.152,0.123,132.003
Out Of Control (Back For More) - Spectro Remix,46Z21NZ8nr989WpPgcooQc,Darude,"Before the Storm, Special Edition",0.745,0.972,2,-7.715,1,0.0721,0.00504,0.557,0.0476,0.0666,136.852
Feel The Beat - Rocco & Heist Remix,3UwshdDewPo8UMfpgH6aWC,Darude,"Before the Storm, Special Edition",0.7,0.842,8,-8.63,1,0.0435,0.00412,0.888,0.0875,0.51,135.002
Feel The Beat - Missing Link Remix,1PG2MeexAR60Tvk8umbH5K,Darude,"Before the Storm, Special Edition",0.845,0.987,8,-8.009,0,0.0989,0.142,0.861,0.0628,0.669,133.98
Synaesthesia (Fly Away) - Darude Remix,1OCYvgUBdtwPPnOKmxVgYS,Darude,Synaesthesia (Fly Away),0.603,0.955,7,-8.711,0,0.0455,0.000185,0.791,0.0375,0.831,139.877
Feel The Beat - Soundfreak Remix,3jDX9h238Xw58BLN5zFkeo,Darude,"Before the Storm, Special Edition",0.659,0.777,0,-9.51,1,0.0543,0.00054,0.675,0.0611,0.233,139.998
Coming Home (feat. Mahan Moin),1nGoOXtwCdEkdQq4tqqxHZ,Darude,Moments,0.638,0.927,0,-3.56,0,0.0378,0.0333,0.0,0.198,0.555,128.029
My Game - Original Radio Edit,1ocjdxcq4HxOOivdjbsiCF,Darude,My Game,0.551,0.884,11,-6.487,0,0.053,3.71e-05,0.000153,0.618,0.342,133.972
Feel The Beat - JS16 Remix,7w7kGHWxk3nf9Wc15KI2OR,Darude,"Before the Storm, Special Edition",0.671,0.958,11,-9.227,1,0.0478,0.000254,0.923,0.396,0.591,137.852
Rain Falls On Me - Darude Remix,4zX6BZJ5i7iYNCA4SX7VXi,Darude,Enamored With Progressive,0.622,0.722,11,-7.274,0,0.0394,2.39e-05,0.783,0.077,0.395,131.99
Moments (feat. Sebastian Reyman),63jJZ3J1jNO7yQi5RBaGPR,Darude,Moments,0.573,0.91,7,-5.267,0,0.0806,0.07,9.06e-05,0.0716,0.244,128.01
Stars (Here with Me),08e14ScwGvuIsSpkY425VZ,Darude,Label This!,0.491,0.97,9,-6.22,0,0.105,0.000317,0.00969,0.319,0.169,133.995
Nobody Listens,7ddcx19DgT5QaBO34Jd4fP,Darude,Together,0.384,0.82,10,-3.991,1,0.0433,0.0417,0.0,0.0866,0.267,129.941
For Those I Love,7eE9Zsv0YXp3ZAfxpQCFTS,Darude,Label This!,0.555,0.968,7,-6.584,1,0.0472,0.000179,0.876,0.475,0.144,137.996
Bells,3ijwvg2e1l6GgmUoZ1bk7p,Darude,Together,0.705,0.987,7,-5.643,1,0.0667,0.00217,0.842,0.0415,0.165,125.994
Good Grooves,7FLJ7GwzRCDmlCGlPLeF1M,Darude,Label This!,0.564,0.951,4,-6.573,0,0.0357,2.49e-05,0.662,0.0866,0.518,133.995
Lost,2c3BprKmP9lu84G4wCYbSW,Darude,Label This!,0.465,0.952,7,-7.116,1,0.0452,0.000176,0.929,0.124,0.117,137.985
Tell Me,499L0H1Pu9FY6ZDTGWt5i2,Darude,Label This!,0.481,0.976,9,-5.979,1,0.0711,1.16e-05,0.000525,0.105,0.396,133.99
