track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
BACK TO THE SHADOWS,0dISkjJktFDtrvHMKSxYa1,Deathpact,FROM DARKNESS,0.547,0.702,1,-4.453,0,0.0418,0.0885,0.0384,0.22,0.0383,145.992
Mitosis,1F1yF2KSilU2YLOMuYYf71,Deathpact,Mitosis,0.582,0.78,7,-4.519,1,0.0506,0.00365,0.0447,0.111,0.227,142.022
HIATUS,6DXqw3q9QzTPoPWBNkKVr0,Deathpact,SPLIT // PERSONALITY,0.656,0.939,9,-4.098,1,0.508,0.036,0.755,0.232,0.0557,75.016
Ether,4f9uuAsVDIOqp2Jh990csR,Deathpact,We Are Deadbeats (Vol. 4),0.51,0.659,8,-3.104,1,0.115,0.0121,0.443,0.0718,0.145,98.184
M A L F U N K T,2KOCDRe8KFzyhqOIhCE8xZ,Deathpact,M A L F U N K T,0.512,0.736,0,-1.72,0,0.079,0.0172,0.545,0.129,0.118,94.033
SONG SIX,46MFa8VnoMwxubcbN3ma31,Deathpact,SPLIT // PERSONALITY,0.541,0.893,4,-4.399,0,0.0598,0.0697,0.373,0.1,0.0475,179.983
Formality,36CzPt3fZMpTSpz0LYhT9E,Deathpact,Formality,0.715,0.876,2,-6.576,1,0.303,0.0213,0.00378,0.671,0.391,105.242
HOLD ON,1XJVqq4OWfiz5u1zpCEuIs,Deathpact,FROM DARKNESS,0.489,0.821,2,-3.447,0,0.0722,0.0642,0.079,0.11,0.243,172.208
PRETEND,5PIIOhprKSjQzVZyXipo9S,Deathpact,MIDHEAVEN: OPUS 04,0.585,0.61,5,-7.92,1,0.0306,0.279,0.72,0.0977,0.0375,127.045
ACHROMATIC (YOI),59VLB2PliEAlylSbCdH7Xa,Deathpact,MIDHEAVEN: OPUS 01,0.567,0.99,8,-2.569,1,0.15,0.0289,0.735,0.3,0.0357,147.956
SPLIT PERSONALITY,3YR0ClrplqdyIuTbVBTPq3,Deathpact,SPLIT // PERSONALITY PT. 02,0.379,0.647,6,-4.524,0,0.143,0.21,0.687,0.114,0.0558,74.111
INTERFERENCE_03,5fcYlrHhmdwrePtbcPCg4O,Deathpact,SPLIT // PERSONALITY PT. 02,0.636,0.783,2,-5.419,1,0.185,0.0166,0.00882,0.117,0.79,173.984
4+4,0zmjGd12Jlfxa8Vy9odzhk,Deathpact,Cipher Three,0.631,0.969,1,-0.314,1,0.083,0.00333,0.0386,0.886,0.219,141.865
DUST TO DUST,6eqaq4HYwp0br7efvSyVx2,Deathpact,FROM DARKNESS,0.494,0.978,10,0.667,1,0.428,0.0872,0.00276,0.325,0.377,144.828
Koolaid,0Fm5P5UQvOYhMuUqjXcmlU,Deathpact,Koolaid,0.596,0.917,0,-4.35,1,0.394,0.056,0.0486,0.0737,0.127,100.05
MARAUDER,5imnROV7VZrRIzvOSkavdP,Deathpact,FROM DARKNESS,0.683,0.965,1,1.493,0,0.412,0.229,0.00888,0.401,0.684,142.003
In My Mind - Deathpact Reprise,307x7rebgvFcYafhRAIvjW,Deathpact,Fallen Embers (Remixes),0.397,0.922,8,-3.525,0,0.222,0.0305,0.000336,0.37,0.133,139.749
MERCURY,3KkOFyxJLWSWJJUvYBVMoc,Deathpact,FROM DARKNESS,0.638,0.934,1,-1.247,0,0.0321,0.000979,0.0055,0.0787,0.151,74.965
