track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Stay - Maduk Remix,42QJ7iyl66MSJh5szVe4sF,Delta Heavy,Stay (Maduk Remix),0.433,0.952,6,-3.233,0,0.0528,0.00416,0.000995,0.0351,0.409,175.899
Against The Tide,54Q384UbVZGrgxH02WEmlk,Delta Heavy,Against The Tide,0.389,0.976,2,-1.394,0,0.0366,0.00582,0.0409,0.29,0.313,173.979
White Flag,0yNF0v2ozoM1qoCCMzZjlv,Delta Heavy,Paradise Lost,0.406,0.61,0,-3.06,0,0.0347,0.00395,0.0,0.101,0.222,87.06
Kaleidoscope,66145nIrccD0mtG8LdLkNO,Delta Heavy,Kaleidoscope,0.451,0.899,6,-2.501,1,0.0571,0.000551,0.000237,0.264,0.257,174.02
Get By,3FtPxNRPr68stsIRz1EeLT,Delta Heavy,Down the Rabbit Hole EP,0.52,0.91,9,-3.341,1,0.0272,0.00505,0.0316,0.904,0.205,140.003
Ecstasy,7kyesRei113TSHX5LUXV1b,Delta Heavy,Midnight Forever,0.39,0.96,5,-0.82,1,0.0512,0.00115,0.732,0.1,0.0356,173.994
Lift You Up,3K5hrCZ8OyuKPdK3CBSw9b,Delta Heavy,We Are Deadbeats (Vol. 4),0.397,0.99,9,-0.989,0,0.065,0.000171,0.837,0.677,0.105,173.993
Higher Ground,0eLZf7bp815SzftuAYBXXe,Delta Heavy,Higher Ground,0.481,0.96,6,-1.358,0,0.0467,0.000677,0.00235,0.141,0.348,175.078
Delirium,005MeYq05B1Scvwihv2YfL,Delta Heavy,Midnight Forever,0.469,0.981,5,-1.032,0,0.0462,0.0176,0.0033,0.326,0.237,174.005
Stay,6kabsWWWUCKCXbBSPt4Cae,Delta Heavy,Stay,0.422,0.947,6,-1.392,0,0.0927,0.00034,0.00444,0.651,0.213,169.983
Get Down Tonight,1r8BAEB2SzgTnPQfaaiO04,Delta Heavy,Midnight Forever,0.505,0.926,3,0.066,0,0.0464,0.00144,7.24e-05,0.0958,0.588,174.062
Punching Holes,0IX0Pj2FKvvWrZUz26J3ZB,Delta Heavy,Punching Holes,0.628,0.867,7,-0.24,0,0.0445,0.0326,0.00217,0.09,0.415,173.946
Get By - Radio Edit,1JIrfzWMTkGrYHm5ZMlNGb,Delta Heavy,Down the Rabbit Hole EP,0.498,0.931,9,-2.692,1,0.028,0.0129,0.000887,0.121,0.32,140.029
Ghost,3A9Qx8altSLoLZ8TNYcJwM,Delta Heavy,Paradise Lost,0.374,0.957,9,-2.357,0,0.0712,2.79e-05,0.147,0.105,0.0398,174.003
E-N-D,48UgUWVmVuHYQxje4UIPId,Delta Heavy,Midnight Forever,0.558,0.986,1,0.092,1,0.0491,0.00213,0.0965,0.0538,0.399,174.009
Anarchy,3qLHmaFZf2TKaC2LgdcUZ6,Delta Heavy,Only in Dreams,0.558,0.934,4,-2.139,0,0.0471,0.00196,1.58e-05,0.0796,0.397,87.507
Hydra,0WRJOtOojgRSe0KSBoiOH6,Delta Heavy,Hydra,0.444,0.961,9,-1.247,1,0.0427,0.000525,0.722,0.0769,0.234,174.021
Take Me Home (feat. Jem Cooke),2okR1poVW1gDDXr60hdzCh,Delta Heavy,Only in Dreams,0.426,0.896,4,-2.136,0,0.0422,0.00213,5.9e-06,0.397,0.27,88.974
High On You,68NT9wtJGZuAWcoINJNpz4,Delta Heavy,Midnight Forever,0.427,0.948,3,-0.956,0,0.0434,0.0153,4.43e-06,0.0938,0.104,173.941
