track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Reciclaje,4BDZ8SHO2XQN3qiiXyxHuj,DJ Mandy,EN TRANSICIÓN,0.452,0.63,5,-9.358,1,0.161,0.543,0.000357,0.27,0.735,83.713
Para,1NSde25wgjBEwYWTsi0QNl,DJ Mandy,King Solomon,0.911,0.73,7,-3.43,0,0.104,0.196,6.65e-06,0.0688,0.678,110.979
Angisakhoni,1q1piCtOu5z4WvyItigJXt,DJ Mandy,Great I Am,0.865,0.732,11,-11.109,0,0.0554,0.000946,0.213,0.145,0.337,112.01
Skhondla Khondla,5tn53kBvDaYuL4oLlCAj2q,DJ Mandy,Statements,0.831,0.463,10,-11.347,0,0.0482,0.142,0.134,0.143,0.332,113.012
Naledi,300fNkHFg7iE6Fk8jzbV4T,DJ Mandy,Naledi,0.841,0.551,1,-11.382,1,0.177,0.00552,0.823,0.0788,0.541,116.027
Lets Play,5e0dA62GQiSwV0KNSE6PyS,DJ Mandy,Naledi,0.835,0.882,9,-9.117,1,0.0657,0.000802,0.876,0.0634,0.107,113.006
Mbube,7abSZqRO0K960QxyzTThSY,DJ Mandy,Naledi,0.869,0.628,2,-9.851,1,0.0587,0.00138,0.59,0.148,0.12,112.023
Wheels & Kilo,00l64rApzOWMAoINC8sc7A,DJ Mandy,Naledi,0.782,0.772,1,-10.279,1,0.0462,0.00897,0.855,0.112,0.169,114.017
Somos Atlas,7DKTfaecUPHK3qCADw9pdD,DJ Mandy,Cronopatía,0.588,0.598,5,-8.434,0,0.191,0.318,0.0,0.194,0.28,83.159
Klolan - DJ Mandy Remix,3lXuVl4FoQYtKo1ylTGF5D,DJ Mandy,Klolan (Remix) - Single,0.728,0.902,8,-4.583,0,0.0771,0.0815,0.0,0.101,0.746,104.926
