track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
All In A Dream,03jQHo0HFj5onzoexiaMPI,DJ Tennis,Light Places,0.703,0.525,2,-9.776,0,0.0321,0.115,0.281,0.109,0.21,119.997
What Else Is There? - DJ Tennis Remix,1t8Mp9MJiqZNnFuOncaVCM,DJ Tennis,What Else Is There? (DJ Tennis Remix),0.794,0.709,9,-6.879,1,0.0306,0.00113,0.444,0.0844,0.122,124.016
Trouble Symphony,7zwoCiF0hXnHEouX4Icm7f,DJ Tennis,Sentimental,0.731,0.754,11,-8.427,0,0.0485,0.285,0.867,0.282,0.449,130.011
Nervous Tics - DJ Tennis Remix,6FEDMxhIewYQdzxFuB5640,DJ Tennis,Kingdoms In Colour Remixed,0.809,0.661,1,-10.227,1,0.054,0.00288,0.457,0.106,0.329,120.998
Atlanta,7HR0vpvFBmNmjDTQ5EyySM,DJ Tennis,Atlanta,0.652,0.778,7,-9.028,0,0.045,0.0027,0.864,0.128,0.172,128.011
All In A Dream - Extended Mix,1IkPg6cCScDHqSbbq61IXA,DJ Tennis,All In A Dream,0.742,0.622,2,-9.696,0,0.034,0.0206,0.465,0.313,0.462,120.012
Gordon - Atmo Version,3iC3Ih4Z4zok0iak2IxYZQ,DJ Tennis,Gordon Starck,0.591,0.448,0,-14.291,1,0.0441,0.0106,0.873,0.126,0.0365,124.043
Changes - DJ Tennis Remix,70lDLn7q7lehtA0AEv4EMj,DJ Tennis,Ask That God (Remixes),0.771,0.766,7,-4.808,1,0.0332,0.00025,0.604,0.203,0.33,128.01
I Can Tell,0EZHZFTLHCmnVVD1lNynPW,DJ Tennis,Plangent Compilation Vol. 1,0.678,0.59,2,-12.92,1,0.041,0.0802,0.876,0.175,0.0353,118.005
Atlanta - Edit,3LIj7jXez7nc9uuKnLslAW,DJ Tennis,Atlanta (Edit),0.592,0.862,5,-7.108,1,0.037,0.0051,0.858,0.159,0.079,127.946
Don't Be Afraid - DJ Tennis & Carlita Remix,6Vu7uVbGQBCR5S051RPEEF,DJ Tennis,Diplo (Life and Death Remixes),0.69,0.733,5,-9.1,0,0.0384,0.000185,0.861,0.0672,0.457,125.006
The Outcast,0MJOgV0QNDLiJNSu9lzTc7,DJ Tennis,The Outcast,0.803,0.397,7,-14.089,1,0.0611,0.091,0.519,0.177,0.668,119.983
Nervous Tics - DJ Tennis Remix [Edit],3dwVpimXFqmVHWqGATL82M,DJ Tennis,Nervous Tics (DJ Tennis Remix),0.808,0.748,1,-8.942,1,0.0459,0.00242,0.476,0.0623,0.216,120.997
An Odd Little Place - LP Giobbi & DJ Tennis Remix,7N2ZQyH68YnrDuieS3kFIO,DJ Tennis,Garcia (Remixed),0.666,0.673,10,-11.762,0,0.0394,0.158,0.611,0.153,0.065,115.001
All In A Dream - LP Giobbi Club Edit,0Sezv2khtojSuEBeM1WRJK,DJ Tennis,All In A Dream (LP Giobbi Club Edit),0.845,0.652,2,-5.179,1,0.066,0.00383,0.791,0.0852,0.321,125.029
Gordon,5qhFsYfA45vudFMyLjsm2S,DJ Tennis,Gordon,0.768,0.731,0,-10.204,1,0.0469,0.00534,0.876,0.0919,0.519,124.003
Can't Let You Go - DJ Tennis & Joseph Ashworth Remix,7DV1tmqaruOM6vtGoeAR4E,DJ Tennis,Light Places (Deluxe Edition),0.71,0.727,11,-6.68,1,0.0331,0.0152,0.0851,0.212,0.656,114.005
On My Own Now - Edit,4u4XTxHI9b9wq9ryE8Oxkx,DJ Tennis,On My Own Now (feat. Lady Donli),0.838,0.611,5,-8.176,0,0.0919,0.028,0.0457,0.106,0.41,123.978
Clickbait (This Ain't Hollywood) - DJ Tennis Remix,7ze6QdcTG6n5YiIs83VFpQ,DJ Tennis,Clickbait (This Ain't Hollywood) [DJ Tennis Remix],0.685,0.887,7,-7.473,1,0.0772,0.00155,0.868,0.106,0.349,124.055
All In A Dream - Logic1000 Remix,3SG8Ozw6YOgR8WJtr8lzFM,DJ Tennis,All In A Dream (Logic1000 Remix),0.783,0.715,4,-8.095,0,0.0777,0.00712,0.338,0.101,0.554,125.007
Raum 2 (DJ Tennis Technoid Version) - Mixed,23zRtaRHPQr1MkuMBnmCJt,DJ Tennis,DJ-Kicks (DJ Tennis) [DJ Mix],0.691,0.491,4,-16.962,0,0.0507,0.0723,0.892,0.119,0.228,120.864
Reflex - DJ Tennis + Barratt Ambient Pads Version,19I26SI73Ex8AkR54NYTdw,DJ Tennis,One Hundred Billion Sparks Remixed,0.731,0.341,5,-14.274,0,0.0429,0.132,0.886,0.0549,0.384,124.001
Go! Said the Bird (Tennis Version) - Mixed,6dItyiuvI2Xy7nYLXiGL9E,DJ Tennis,DJ-Kicks (DJ Tennis) [DJ Mix],0.672,0.671,2,-14.16,1,0.0431,0.085,0.868,0.134,0.358,121.006
Nothing But You - DJ Tennis Remix (Edit),7CzZXnB7PWIEC7JiF6BlLm,DJ Tennis,Battle Lines [Remixed],0.774,0.802,7,-6.939,1,0.042,0.0054,0.917,0.104,0.24,124.006
Certain Angles - OPUS 3000 Version,2StzzIqeonKwZCPCKmo3Rp,DJ Tennis,Certain Angles,0.464,0.506,11,-9.757,0,0.0365,0.349,0.0031,0.0954,0.234,116.869
Certain Angles - Lee Jones Remix,1yg5F0A9W5oJqusPv4JAZJ,DJ Tennis,Certain Angles,0.808,0.629,6,-10.519,0,0.0485,0.0137,0.924,0.481,0.592,123.003
On My Own Now - Acid Dub,2qxxaxCTaN73WFHIgJtTyK,DJ Tennis,On My Own Now (feat. Lady Donli),0.806,0.874,7,-8.328,1,0.0449,5.99e-05,0.82,0.0943,0.304,127.001
Voodoo Your Ex - DJ Tennis Remix,342T0IeYeZ1eBXrIgMdhlI,DJ Tennis,Plane Goes East (DJ Tennis Reworks),0.894,0.52,11,-12.201,0,0.0763,0.00022,0.808,0.0959,0.179,120.003
Nothing But You - DJ Tennis Remix,45hVaZAgLYo3EUH4HIAbo9,DJ Tennis,Battle Lines [Remixed],0.795,0.779,7,-6.685,1,0.0472,0.00434,0.928,0.0938,0.229,124.001
Running Wild - DJ Tennis Remix,0MG36EeqNT0ns1RY4ol5D1,DJ Tennis,Mixed by... Volume 2,0.658,0.602,4,-12.426,0,0.0361,0.0191,0.761,0.0841,0.132,99.991
You Are Safe - DJ Tennis Remix,1mLZvKq0htqRB1PCpOtBW3,DJ Tennis,You Are Safe Remixes 1,0.772,0.833,7,-8.164,1,0.0622,0.00245,0.903,0.0565,0.528,124.004
The Outcast - Acoustic Version,4zDcuJNk2QYhLxMFdBq3wg,DJ Tennis,Je Ne Sais Quoi,0.794,0.566,9,-6.274,0,0.0315,0.317,0.00163,0.116,0.509,119.968
Convex,26Vd9ZjoZX7wAfGff7fYsx,DJ Tennis,Convex,0.654,0.776,4,-10.392,0,0.0368,0.0406,0.877,0.111,0.07,123.008
Roots - DJ Tennis Remix,6RnRWrs0pP7oitJWiAapvy,DJ Tennis,Love Letters Remix Edition,0.791,0.852,7,-6.548,1,0.0583,0.0115,0.864,0.0671,0.354,131.023
The Last Page,2oj3swjAUOby8OcenmnWYC,DJ Tennis,Architects & Waves,0.716,0.628,5,-13.448,0,0.0349,0.138,0.915,0.0988,0.17,118.009
Barricade - DJ Tennis Remix,6RWGZxqK019w0A8tV5Jd7l,DJ Tennis,Barricade (DJ Tennis Remix),0.746,0.327,8,-17.422,1,0.0758,0.279,0.695,0.385,0.277,116.035
Repeater,5nFk84BnSMagKAS1exyWsd,DJ Tennis,Repeater,0.731,0.709,11,-11.791,1,0.0472,0.000295,0.883,0.116,0.116,122.001
Undertones - (DJ Tennis Remix) [Mixed],3a5KZKrQNxXdaXXVgPnRPf,DJ Tennis,Global Underground: Select #10 (Mixed),0.664,0.75,5,-11.806,1,0.0351,0.0147,0.685,0.522,0.53,122.011
On My Own Now - Extended,4bOwavDB9YReCa7O7XMDjI,DJ Tennis,On My Own Now (feat. Lady Donli),0.846,0.574,5,-8.547,0,0.0874,0.0104,0.256,0.0862,0.382,123.99
Nobody,1K4u3PKtb2GmERSKD8wyXE,DJ Tennis,Repeater,0.734,0.681,7,-10.573,1,0.0525,0.00257,0.899,0.1,0.151,130.999
No Words - DJ Tennis Remix,2M4xw2Ai38TQLVUxXJ0wV6,DJ Tennis,No Words,0.8,0.731,11,-8.675,0,0.0713,0.00492,0.88,0.11,0.0544,126.018
Mermaids - DJ Tennis Remix,0wlo8fEsMQrsKUsny698dw,DJ Tennis,Mermaids (DJ Tennis Remix),0.73,0.458,10,-9.569,0,0.04,0.000595,0.85,0.125,0.265,121.004
"Take It, Take It",4lmrvVjKKslAeolhHV8jSC,DJ Tennis,"Take It, Take It",0.711,0.954,11,-5.434,0,0.0425,0.000167,0.906,0.0352,0.121,128.983
Nisida - DJ Tennis Remix,1lBd8Ku016UoqP5P7s1KIy,DJ Tennis,Listen & Nisida (Remixed) Vol. 2,0.691,0.598,2,-10.627,1,0.0639,0.00013,0.761,0.0972,0.0705,133.005
All the Idiots (DJ Tennis Remix),1pkymr6j54DOSU81vey5UY,DJ Tennis,The Names (Expansion Pack),0.652,0.585,0,-11.041,1,0.0409,0.00076,0.769,0.0682,0.372,119.998
Plane Goes East - DJ Tennis Remix,73hBAuy0tKTolIWn8lZpXd,DJ Tennis,Plane Goes East (DJ Tennis Reworks),0.757,0.625,1,-10.162,1,0.0621,0.00617,0.922,0.113,0.168,121.994
Gandharva (DJ Tennis remix),1mZi98ZcnpPmSvuYgyIOYp,DJ Tennis,Cosmic Temple (The Remixes),0.634,0.826,5,-9.521,1,0.0407,0.0138,0.951,0.0791,0.416,115.999
Starck,0pAtbCegGFVMd4X5WaXgaI,DJ Tennis,Gordon Starck,0.686,0.939,10,-9.164,0,0.0419,0.00265,0.906,0.201,0.369,122.968
Space In Your Mind - DJ Tennis Remix,5VVN3i8xmj468OJswsrlYU,DJ Tennis,Space In Your Mind (Remixes),0.835,0.624,9,-13.965,1,0.0739,0.253,0.469,0.301,0.0717,118.007
Undertones - DJ Tennis Extended Remix,7IYblOGZTiQH7VFmopdJ80,DJ Tennis,Undertones (+ DJ Tennis Remix),0.7,0.787,9,-9.117,0,0.0348,0.0155,0.759,0.0941,0.396,120.999
The Echo Forgets - DJ Tennis Remix,3AO38BJSMuVrstvAjI7INC,DJ Tennis,All That Must Be (Remixes),0.769,0.409,1,-12.925,0,0.0462,0.05,0.834,0.402,0.151,123.004
Pink Pillow - DJ Tennis Remix,3SMPz6ib6gUexEJ3XUGl0G,DJ Tennis,Pupkulies & Rebecca in Remix,0.743,0.546,7,-17.957,1,0.0417,0.127,0.922,0.0843,0.0365,122.003
Last in First Out,5YYVa0mGBojPuw7zwIAha5,DJ Tennis,Convex,0.8,0.528,4,-11.596,0,0.124,0.00693,0.819,0.124,0.147,122.001
Georgia - DJ Tennis & Joseph Ashworth Dub Edit,4EkVtvUL1pMzwA8dIbExZv,DJ Tennis,Light Places (Deluxe Edition),0.78,0.848,7,-7.431,1,0.0516,0.00275,0.878,0.108,0.0694,124.992
Repeater - DJ Seinfeld Remix,0kz7Ci8xexEHqNjXrBo2A8,DJ Tennis,Repeater,0.733,0.812,6,-11.457,0,0.0777,0.00368,0.745,0.0712,0.601,121.997
Divisions - Roman Flaggel remix,1ck5mFkaMEO7s71R3SonR9,DJ Tennis,John Digweed Live In Brooklyn New York,0.708,0.639,2,-9.258,1,0.0353,0.406,0.807,0.109,0.266,117.991
