track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ken Je Dat Niet Horen Dan,1ZM1JgLMBFKhFrBUxXQPPG,Dyen,Rcklss010,0.584,0.854,4,-5.618,0,0.0831,0.00186,0.775,0.366,0.528,159.99
Mad Max,4bwOSTD7ujDm6pr6JSmTle,Dyen,Techno Germany - Various Artists EP,0.632,0.913,6,-6.012,0,0.0867,0.000148,0.897,0.359,0.306,151.994
Jaw Movements,6i6fSZ6Iw2pTnuakW4n0Gk,Dyen,GENX005LTD2,0.48,0.986,6,-7.305,1,0.0714,0.00408,0.275,0.121,0.386,145.035
What I See,47QkUVv6zyPXtxHXhByMu9,Dyen,What I See,0.625,0.997,1,-0.532,1,0.182,0.000736,0.569,0.264,0.0878,150.991
Evil May Day,5pnDI0XacrePuaR99wJKg9,Dyen,Evil May Day,0.561,0.996,4,-4.725,0,0.134,0.00962,0.856,0.418,0.115,142.024
Jack - Original Mix,55dCppyPGrFehLn4bG7zB9,Dyen,RAVE04,0.765,0.871,11,-8.365,0,0.069,0.000259,0.891,0.0779,0.447,140.003
The Aftermath,1eRVsFpFd4NfHG2ll5QneP,Dyen,The Aftermath,0.68,0.999,9,-5.167,1,0.0663,0.0383,0.767,0.281,0.153,143.973
Purple Widow - DYEN Remix,29h2hm3Rs9bTwLyC2zu8a2,Dyen,Purple Widow (Original & Remix Versions),0.689,0.969,8,-6.864,1,0.0679,0.000178,0.835,0.377,0.0363,145.001
Pictures of You,6yHd4fLpK2JnuIC0O9ZuJ1,Dyen,Pictures of You,0.447,0.965,6,-4.644,1,0.0635,0.00602,0.521,0.15,0.0645,161.989
Ketchup,5brQLUOlmlpKdZfJmpuS7W,Dyen,Ketchup,0.67,0.948,6,-9.14,0,0.076,2.74e-05,0.869,0.391,0.33,150.032
No Raves Allowed,6KpUlOjkOnzLi1iyMfBK74,Dyen,NTND001,0.592,0.996,6,-7.689,1,0.374,3.33e-05,0.799,0.119,0.0357,150.012
