track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Something Was Real,7HXqYIF5kMN1XY52GWQKrZ,Eli & Fur,Something Was Real,0.65,0.559,8,-13.299,0,0.0747,0.681,0.744,0.111,0.68,181.962
Pegasus,6G0ldVNlhQf82Rf3pWjAyQ,Eli & Fur,Pegasus,0.583,0.885,5,-7.189,0,0.0396,0.0398,0.0447,0.297,0.382,125.047
Mirage,63JXEbhoCRypjCULbjX8Qw,Eli & Fur,Dreams At Dusk Part I - Mirage,0.547,0.925,1,-8.607,1,0.041,0.0109,0.788,0.126,0.392,123.006
Talk To Me,0FsdjmePRRQ9wl7MQSkleS,Eli & Fur,Follow The Dark - Part I,0.703,0.667,1,-8.047,0,0.0314,0.108,0.0694,0.0982,0.128,123.024
Parfume - Dosem Remix - Edit,4nxAZSsAGMlVzsBXPHsB6t,Eli & Fur,Parfume (The Remixes),0.758,0.563,0,-9.483,1,0.0396,0.00461,0.864,0.108,0.223,123.002
Oceanside - Monkey Safari Remix,3oKbu5MhJzXzheSQ376PTt,Eli & Fur,Dreamscapes Remixes,0.651,0.824,10,-8.814,1,0.0371,0.0133,0.568,0.104,0.639,120.012
Waiting,3wK37814vyrRNUvTV4R2MU,Eli & Fur,Dark Matter,0.701,0.758,0,-9.247,1,0.0461,0.097,0.289,0.144,0.249,120.001
Honest,5vpPXWoPwywlCL8fSMpgSR,Eli & Fur,Night Blooming Jasmine EP,0.717,0.449,9,-13.252,0,0.0493,0.188,0.794,0.0881,0.121,116.99
Heartbreaks on the Highway,4aNnkwFiCwP4Xu6i5k3Lqx,Eli & Fur,Dreams At Dusk Part I - Mirage,0.696,0.822,1,-6.841,1,0.0326,0.144,0.808,0.104,0.201,120.998
Riffs of the Night - Extended Mix,2fb3YMifb24RYidbf1Ngsh,Eli & Fur,Riffs of the Night,0.694,0.469,11,-7.856,0,0.0647,0.00227,0.19,0.105,0.56,122.011
You’re So High (10 Years On),59wygKiI3oZ1dQNlClWzeP,Eli & Fur,You’re So High (10 Years On),0.626,0.819,2,-6.83,1,0.0289,0.00267,0.141,0.547,0.0981,124.03
Feel The Fire - Original Mix,31OzgVD6CTMZwpblIN8BcQ,Eli & Fur,Feel The Fire,0.761,0.802,10,-8.982,0,0.0471,0.265,0.037,0.0926,0.377,120.98
Follow The Dark,3KiO6COi4F8INOuXU5Q1Wc,Eli & Fur,Follow The Dark - Part I,0.466,0.548,9,-10.966,0,0.0403,0.0109,0.051,0.117,0.098,126.008
Am I Even Human?,1zTeyExkNlnqocvwxYaU08,Eli & Fur,Found In The Wild,0.899,0.367,10,-9.707,0,0.0711,0.0187,0.731,0.0938,0.0859,115.996
In Too Deep,259J1OJuERd02oxsFxsZjW,Eli & Fur,Found In The Wild,0.75,0.712,2,-8.979,0,0.0509,0.323,0.529,0.109,0.234,115.016
Wild Skies,7c1m6rsA5hctwF6Z5T316s,Eli & Fur,Found In The Wild,0.611,0.628,8,-10.614,1,0.0317,0.685,0.0955,0.0788,0.335,98.011
You're so High,0PUepC3WMLlc3FaHI9HBW3,Eli & Fur,Illusions,0.763,0.602,0,-9.696,1,0.0462,0.0284,0.157,0.137,0.133,120.012
Halo,6LziN7kYIkvyV4DLz5kAL1,Eli & Fur,Halo,0.698,0.849,9,-5.794,0,0.0485,0.115,0.402,0.272,0.212,127.992
Insomnia,7GJz7LUlNyf5DahBhG1XIg,Eli & Fur,Insomnia,0.649,0.827,2,-6.217,1,0.0355,0.0624,0.00374,0.245,0.0913,126.072
To the Sea - Einmusik Remix,6yCjfTARifCLjtZ611DWvA,Eli & Fur,To the Sea,0.741,0.853,4,-10.141,0,0.0406,0.00706,0.831,0.0757,0.123,123.998
Come Back Around,3UYCT2pnTs2M6qkfF89UN9,Eli & Fur,Found In The Wild,0.753,0.678,7,-8.492,0,0.0384,0.0078,0.198,0.474,0.569,125.003
Fire To Fire,3hbtSTZLoIeNKImnkWRwQ6,Eli & Fur,Found In The Wild,0.72,0.332,6,-10.826,1,0.0449,0.382,0.473,0.0947,0.246,122.056
Missing You,7ILwo5dXAT8FcgfFJKWgFq,Eli & Fur,Missing You,0.703,0.701,1,-8.738,1,0.0382,0.0655,0.427,0.0952,0.27,126.011
Heart Made Of Glass,49oh846SsD8V9Zj7eQF4gb,Eli & Fur,Dreamscapes,0.564,0.794,2,-8.516,0,0.0372,0.0397,0.583,0.132,0.147,123.004
