track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Light Up,7oouv30MA1XJGi0PvCosE7,Eptic,Light Up,0.629,0.981,8,-2.856,0,0.24,0.119,3.42e-05,0.0671,0.606,140.045
Like A Boss,4iBNvhYHhSlbnDV7HtpoHq,Eptic,Like A Boss EP,0.587,0.92,11,-2.251,1,0.0736,0.00103,0.583,0.102,0.635,70.017
Payback,0UHeE47Px036a6hiMfUd3C,Eptic,Payback,0.588,0.972,11,-3.839,1,0.271,0.00588,0.471,0.718,0.584,171.896
Hostile - Eptic Remix,6puWOoY5pvOoycq5RDSrO5,Eptic,Hostile (Eptic Remix),0.671,0.987,2,-3.581,1,0.147,0.00319,0.000277,0.343,0.308,144.993
Bloodlust,2UdXXyVh95zvT1bhq0Ka7T,Eptic,Bloodlust,0.454,0.937,1,-3.845,1,0.102,0.0146,0.136,0.286,0.133,108.325
Alone,6xe6ZGFgMGbEjU6Q3lxeHZ,Eptic,Alone,0.655,0.867,10,-3.203,0,0.0552,0.058,0.0376,0.351,0.443,128.041
Power,1sI6fnTepUfYJtKmpZIX4V,Eptic,Power,0.597,0.903,11,-1.807,0,0.0602,0.137,0.439,0.402,0.242,149.868
Hitta (feat. Juicy J),6y9jeDRDDLOYJDkdzWLktH,Eptic,Hitta (feat. Juicy J),0.732,0.956,2,-2.775,1,0.0708,0.017,6.99e-06,0.357,0.375,145.103
Bop It,1Q7NFNv0nC8avSFdZSYuf5,Eptic,Bop It,0.617,0.983,1,-3.21,1,0.152,0.00175,0.333,0.507,0.326,149.997
Skill Check,1greylSIEQ2mKpfhTSyNyp,Eptic,The End of the World,0.642,0.966,6,-4.114,1,0.0477,0.00249,0.162,0.158,0.285,145.011
Gun Finga,088jZ9Fhu0z7ATC2VgDdnO,Eptic,Doom EP,0.7,0.923,9,-3.946,0,0.0748,0.00534,0.00615,0.374,0.237,139.958
Shadow People,43b0FCnFaIuU8iONuP5uJu,Eptic,Shadow People,0.671,0.891,10,-4.04,0,0.182,0.153,0.00416,0.11,0.308,140.035
