track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Bulletproof,3Xh2fyeO179Cy67r4biZ6J,Fallen,Bulletproof,0.66,0.447,7,-15.022,1,0.067,0.135,0.563,0.108,0.399,83.019
Talking Body,2kaDX4aq4DuYA7yPDXud4J,Fallen,Talking Body,0.699,0.813,6,-8.025,1,0.0469,0.00783,0.0,0.268,0.393,122.923
Do This To Me,67ULjiChEyHqirx6ZsJe8R,Fallen,Do This To Me,0.703,0.623,5,-10.389,0,0.0367,0.248,0.777,0.0794,0.522,122.981
Habits (Stay High),0nOF8M9VGYAScYjwPLAmNa,Fallen,Habits (Stay High),0.717,0.787,0,-6.711,1,0.0312,0.00179,9.04e-06,0.355,0.223,124.011
Break My Heart,76IKrVM9MMauiSx53dtNXD,Fallen,Break My Heart,0.67,0.834,11,-8.335,0,0.0587,0.0236,0.0,0.366,0.243,122.936
Back Then,7zPVGa22ZVGaV0QSSwk0Sg,Fallen,Back Then,0.574,0.682,9,-9.304,0,0.213,0.00972,0.0502,0.117,0.244,177.958
Captain Price,7KSW7oMI8kLDClC5bTSrZw,Fallen,Captain Price,0.675,0.85,11,-6.083,0,0.0893,0.07,0.517,0.145,0.333,88.03
Shinra Tensei,5LxOP3pnFSWpWNmBZ1ROgs,Fallen,Shinra Tensei,0.884,0.493,4,-14.617,0,0.198,0.046,0.0002,0.0903,0.205,117.985
Downfall,2TZ4dOHdIoWM1qKt4FSo3S,Fallen,Downfall,0.705,0.878,10,-5.507,0,0.0403,0.145,0.0732,0.212,0.581,152.005
Sandman,1WB91ay5D0GzjEy2eMsMk5,Fallen,Sandman,0.651,0.606,1,-8.045,1,0.145,0.0528,0.151,0.169,0.287,180.071
So Invisible (feat. Ed Thomas),0s41tFkXX55tniUObiWqDV,Fallen,So Invisible - Single,0.685,0.674,5,-4.561,0,0.0932,0.0129,3.68e-06,0.34,0.726,86.002
"No Feelings, No Problems",6uuertUZlKJ6oOzhN1e1p5,Fallen,"No Feelings, No Problems",0.642,0.821,1,-5.984,1,0.159,0.0261,5.37e-05,0.0631,0.41,169.969
Rain,6qRAh9JaCbyhpeIb2gbbxJ,Fallen,So Invisible - Single,0.528,0.772,5,-7.171,0,0.041,0.000816,0.799,0.137,0.467,167.02
Don't Let Me Go,4A5oosAOoZBGhEIO3PGv6h,Fallen,Don't Let Me Go,0.499,0.961,1,-1.703,0,0.0851,0.000342,0.0252,0.0906,0.0491,174.008
SAN GERARDO (feat. Remmy) – Prod. Fallen,6NylQryGu7hDwxYzhExxjY,Fallen,"Teoria Del Contrario Mixtape, Vol. 3",0.662,0.653,1,-6.434,1,0.434,0.0706,0.0,0.111,0.621,115.019
TERROR MASK (SPLATTERHOUSE),1bLnaHQVoYwCm6xiQ1blBH,Fallen,TERROR MASK (SPLATTERHOUSE),0.86,0.842,2,-7.556,1,0.158,0.0648,0.0211,0.0676,0.56,142.952
Colonel,5qHYsH4GEDiuDfCDLTz4H3,Fallen,Colonel,0.818,0.376,4,-11.578,0,0.478,0.0944,1.97e-05,0.168,0.167,136.998
