track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Talk 2 Me,7p2t1OarXzqe50Mk4IGFtY,Frankie Bones,The Unreleased Joints Collection,0.673,0.841,11,-7.818,1,0.0513,0.0253,0.779,0.289,0.526,127.149
Rise Up,0LNhAu2NAkHOaFOU3D9fzx,Frankie Bones,Bonesbreaks Vol 4,0.607,0.881,6,-6.668,0,0.059,0.00104,0.904,0.329,0.75,120.969
Let Me Hear You Say,0nhISEC6Sfc1vuHJl8NXvA,Frankie Bones,Unreleased Joints Vol. 5,0.78,0.863,1,-8.048,1,0.0481,2.18e-05,0.86,0.502,0.302,130.894
Tramatize,0MaOzb0uT39jfYQXNM1C4u,Frankie Bones,The Big Apple Bites Back,0.782,0.627,6,-15.945,0,0.0564,1.61e-05,0.931,0.0991,0.298,134.603
Control Your Body,6xlWa0MhGLWyypNxXEUlgS,Frankie Bones,The Unreleased Joints Collection,0.722,0.975,4,-6.648,0,0.0482,0.00971,0.152,0.0628,0.31,127.059
Motor City,6h3WKlBVqK6Hqjf2Yi53wt,Frankie Bones,Climax Control,0.801,0.489,1,-8.503,1,0.116,6.59e-05,0.728,0.11,0.471,130.867
I Can Feel It,0nFhylTsjnT70QLfix0OEd,Frankie Bones,The Unreleased Joints Collection,0.596,0.857,11,-8.015,0,0.0341,0.0221,0.779,0.301,0.379,129.936
Freestyle Hot Trax Vol 1,0V1giCz8s5uhD3LKR2Zsj9,Frankie Bones,Bonesbreaks Vol 1 & 2,0.804,0.887,11,-9.238,1,0.213,0.0714,0.863,0.0858,0.42,122.463
Invasion,32FaJbCLT0ZkyfVgSg4wXh,Frankie Bones,Unreleased Joints,0.807,0.828,5,-7.284,0,0.129,0.00484,0.606,0.168,0.253,127.101
The Real Heat,0y8lj4TWv3NkncIT4p4C0r,Frankie Bones,Act Like You Know,0.783,0.825,11,-10.203,0,0.051,0.0239,0.912,0.354,0.354,131.209
