track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Without,0F10OSwofa9GclA7kJ4NfK,Funtcase,Next Chapter,0.495,0.736,8,-4.753,1,0.0372,0.115,1.83e-06,0.067,0.0388,74.963
Borg,3pXmEIRFqRBmJUUWT6j1ol,Funtcase,Chemistry EP,0.52,0.96,1,-4.514,1,0.27,0.0133,0.00137,0.0734,0.04,149.565
Rewind - FuntCase Remix,7clEVL6JPN0Qa1iirOAU4V,Funtcase,Rewind (FuntCase Remix),0.576,0.929,1,-2.15,1,0.472,0.00582,1.23e-05,0.249,0.19,139.904
Without - GLD Remix,1TbMwpFvFCe2GBYhqxVyEl,Funtcase,Without (GLD Remix),0.572,0.642,7,-7.153,0,0.0447,0.0388,0.0874,0.101,0.25,146.832
Save Yourself,3C88OoSmDO6gjrG2DToSyw,Funtcase,Next Chapter - Part 2,0.462,0.921,9,-3.454,0,0.108,0.0034,0.000627,0.294,0.091,74.957
Go F*ck Yourself,3fd0Si9Flyqu4iUGtJU5XW,Funtcase,Go F*ck Yourself,0.335,0.951,1,-4.398,1,0.232,0.000875,0.198,0.259,0.101,142.023
Bad Selection,37ffTI6UmrpUmZCIcsp3B7,Funtcase,Warfare / Bad Selection,0.614,0.928,1,-3.702,1,0.126,0.0306,1.47e-06,0.38,0.344,123.945
Borg - Downlink Remix,2oihnMe9zaw77zyXro3YxU,Funtcase,Chemistry EP (The Remixes),0.59,0.975,3,-1.477,0,0.08,0.000416,0.0151,0.415,0.237,74.995
Man Don't Want War,30weflWX6ngv41iyNHZdv4,Funtcase,"DPMO, Vol. 2",0.434,0.989,1,-1.287,1,0.427,0.2,0.0,0.0814,0.324,150.403
Get Em,1KFnyIvTN565kWrrt7J36P,Funtcase,Get Em,0.441,0.989,8,-1.494,0,0.463,0.0133,0.000136,0.774,0.195,72.706
Fear,7hsCrgrkLPFbvKWj5Q7osb,Funtcase,"FuntCase Presents: DPMO, Vol. 4",0.414,0.992,10,-1.243,0,0.632,0.00809,0.00684,0.388,0.0607,149.85
Forever (FuntCase Remix),2H7ZuPXHielw3k5kAcxGSf,Funtcase,The Shell (Remixes),0.312,0.981,5,-2.79,0,0.375,0.0134,0.0629,0.289,0.0433,149.587
Mattress Punch,2ZQwReCLyaIM6oAhcL5YG4,Funtcase,So Vexed / Mattress Punch,0.67,0.749,1,-8.833,1,0.0454,6.71e-05,0.685,0.847,0.192,139.011
Without - Sharlitz Web Remix,4RIj0jd2yo93u72XpwUSnR,Funtcase,Without (Sharlitz Web Remix),0.437,0.926,5,-2.138,0,0.0542,0.00839,0.0836,0.138,0.056,149.951
Adrenaline,1TwFNvGjBzuCWZqYvZnLxz,Funtcase,Let's Do It,0.535,0.867,0,-4.796,1,0.0361,0.00401,0.544,0.349,0.314,140.007
Destroid 3 Crusaders - Funtcase Remix,0lF3AMPN1HZNXaYJysw9rc,Funtcase,Destroid - The Invasion Remixes,0.307,0.904,1,-5.277,1,0.196,0.00257,0.683,0.34,0.0947,140.012
Warfare,25jhClWsdRbwquMRE4Qy0h,Funtcase,Warfare / Bad Selection,0.52,0.891,2,-3.906,1,0.0877,0.0352,0.00599,0.279,0.143,139.883
