track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Concrete Angel - Radio Edit,2zM1zEjv2JX1qTmSDeB8IL,Gareth Emery,Concrete Angel,0.63,0.892,7,-5.122,1,0.041,0.0105,0.0069,0.144,0.557,130.012
without u,2VHMxDk7cTzeZOIZozfTfi,Gareth Emery,without u,0.512,0.88,7,-4.154,1,0.041,0.0918,0.000257,0.365,0.157,129.945
I Could Be Stronger (But Only For You),3necifaq3UjBYzvmiCHwy5,Gareth Emery,100 Reasons To Live,0.473,0.686,2,-5.006,1,0.0285,0.000952,0.0,0.0834,0.372,144.019
Far From Home - Craig Connelly Remix,52v89iK1cIt2RaIq08RVJk,Gareth Emery,Far From Home,0.447,0.995,1,-4.184,0,0.11,0.00032,0.226,0.212,0.21,137.98
Where Do We Go From Here,75pNtIAkUIhB8JSOuvcI3A,Gareth Emery,ANALOG,0.462,0.861,8,-6.337,1,0.0314,0.00569,0.837,0.12,0.126,130.043
end of days,6vCeq5sBch92gR9emHLQIE,Gareth Emery,THE LASERS,0.506,0.649,1,-12.637,1,0.0653,0.122,0.00374,0.155,0.173,104.684
without u - VisionV remix,1oJO0fWwvjMkSuB4scOee8,Gareth Emery,without u (remixes),0.579,0.822,7,-7.605,1,0.0742,0.627,0.0283,0.82,0.175,134.05
We Were Young,5tjOwSihWiylLoe7HC0z6f,Gareth Emery,100 Reasons To Live,0.545,0.877,8,-3.988,1,0.0517,0.012,5.84e-06,0.243,0.497,128.066
Yesterday,0IbKDougbWSz6DUAixncoB,Gareth Emery,Yesterday,0.511,0.696,0,-4.358,0,0.0427,0.285,0.000106,0.206,0.291,129.893
You Are,418wnyeZOQ6NPVfiNbLsRk,Gareth Emery,You Are,0.654,0.897,9,-3.132,0,0.0411,0.216,5.43e-06,0.226,0.635,124.925
Take Everything,2L93hpsnJ8scBHIQFZzh1b,Gareth Emery,Take Everything,0.506,0.823,6,-5.272,1,0.0424,0.0234,0.000916,0.303,0.405,133.954
Lost - William Black Remix,7g2zJC8JmpZF2vcXjZOHOe,Gareth Emery,Lost,0.594,0.806,8,-8.878,0,0.276,0.0738,0.000909,0.115,0.259,144.891
St Mary's - Yoel Lewis Remix,0GDEiA4xsh6kQvtjrZuRj7,Gareth Emery,St Mary's - Yoel Lewis Remix,0.531,0.895,7,-5.527,0,0.0354,0.0092,0.119,0.0922,0.266,127.992
Missing You,1Y3rH662UDCRPkZe1KUOyM,Gareth Emery,Missing You,0.488,0.73,0,-5.106,1,0.0331,0.0315,0.000961,0.127,0.133,137.921
Black & White,5aleTIFIUDpawNw1IK8IUD,Gareth Emery,Black & White,0.521,0.806,8,-7.735,1,0.0338,0.403,0.93,0.0911,0.183,124.984
way to you,1fbjqiXopUoZiXt5JQnhLv,Gareth Emery,THE LASERS,0.629,0.507,11,-14.537,1,0.0263,0.115,0.00127,0.13,0.327,107.008
