track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Memoirs of a Gorilla,32B4HyegZNlYIWhENs8FcZ,Getter,Radical $uicide,0.844,0.98,1,-1.259,1,0.0535,0.303,0.000751,0.55,0.316,110.005
Squad,7tzhae37aZKyhN35q8C8sG,Getter,Keep It Sexy - EP,0.915,0.924,1,-3.414,1,0.138,0.000762,0.00708,0.202,0.368,126.016
Rip N Dip,0pjVG8mk3DxVHXqsIHCbee,Getter,Rip N Dip,0.78,0.998,5,-1.467,0,0.271,0.000969,0.89,0.351,0.0314,112.546
Choppaz,4Ljf1OUadUwVKhljld7HUU,Getter,Overdrive EP,0.612,0.973,1,-0.764,0,0.169,0.000749,0.138,0.517,0.442,75.002
ADHD,4xAQFc7EiGAFCIV4x8NE6S,Getter,NAPALM,0.612,0.876,1,-4.659,1,0.105,0.0038,0.0529,0.285,0.374,159.999
Choppaz - SVDDEN DEATH Remix,40Ac876GkIU0CFljvimDpu,Getter,Overdrive Remixes,0.734,0.954,3,-0.529,1,0.418,0.065,0.0157,0.234,0.389,70.023
Dubstep Is Dead,2lK2CqSAHK6QkdQOvk3vFJ,Getter,Inner Workings,0.648,0.968,11,-6.157,0,0.0965,0.000453,0.759,0.687,0.0906,140.016
Pink Season: The Prophecy,1aHHkQlNzKrmWzhroGSXJR,Getter,Pink Season: The Prophecy,0.44,0.652,11,-12.38,0,0.295,0.0462,0.00867,0.0888,0.311,136.64
Heartless,0cQURi0vttZ2oVeBW6Jz5R,Getter,Heartless,0.549,0.694,0,-8.351,1,0.171,0.188,0.0473,0.553,0.271,114.971
Colorblind,2dh6wynI8236L1zhSeBDvr,Getter,Colorblind,0.621,0.912,1,-4.685,0,0.0852,0.00308,0.0592,0.115,0.424,130.016
2 High (feat. $uicideboy$),55CBDKzq67Qm02aD7LU6nY,Getter,Wat The Frick EP,0.726,0.892,0,-2.278,1,0.0557,0.000848,0.000144,0.831,0.334,120.1
Blood Harvest,7JZRWqWLbvPLP8TH9rSumg,Getter,Some Creature,0.68,0.896,1,-3.62,1,0.252,0.0218,0.125,0.0574,0.448,74.991
Something New,19Ml0EilJ56JSqQi56J7YB,Getter,Something New,0.67,0.702,6,-2.143,0,0.0941,0.0551,0.103,0.341,0.122,90.017
Blood (feat. Georgia Ku),7q88QfUpZr9nJNE0iDQgRT,Getter,Radical Dude!,0.397,0.961,2,-1.193,1,0.27,0.00153,0.241,0.104,0.192,79.961
Represent,1WxqEw5MBXAqZGnxqkQd54,Getter,Represent,0.718,0.939,6,-5.32,0,0.074,0.000539,0.791,0.306,0.433,80.0
Champion of Death,0qHbOme0fFyIWLNie9HG2t,Getter,Radical $uicide,0.818,0.897,0,-2.145,1,0.0438,0.17,0.00306,0.409,0.381,119.994
Throwin' Elbows - Getter & Virtual Riot Remix,5gKplc2VD2j7KDkYhxGFwb,Getter,Virus: The Remixes,0.409,0.879,11,-4.582,0,0.218,0.000239,0.0356,0.33,0.187,78.614
"Beware, the Sirens",3dVDzwhoqSCu0NyWKSlb6K,Getter,Dahlia I,0.72,0.899,10,-4.07,0,0.0569,0.0117,2.53e-05,0.125,0.0385,142.01
Fried Noodles (Getter Remix),3uewgGxACwca8iwi2ZVwVT,Getter,Pink Season: The Prophecy,0.524,0.791,9,-4.903,1,0.387,0.135,0.188,0.258,0.231,139.946
Grain,577YVWQXy9LHlhvWbpvEci,Getter,Dahlia I,0.68,0.708,2,-5.13,1,0.123,0.00927,0.00673,0.097,0.233,159.927
Forget It (feat. Oliver Tree),2xo44UuPdAFzaVMSX95suy,Getter,Radical Dude!,0.681,0.616,1,-9.173,1,0.0366,0.00539,0.00403,0.0635,0.121,113.995
Goosebumps,4gNOMSrGhS2hvnMdpkrIZA,Getter,Radical $uicide,0.892,0.724,1,-4.488,1,0.211,0.293,1.07e-05,0.336,0.484,130.006
Stop Calling Us Horrorcore,2l6vL4hbikS0dbpw1w1W29,Getter,Radical $uicide,0.707,0.585,11,-3.973,1,0.0589,0.00113,0.000166,0.243,0.178,144.02
Head Splitter,5GHb72Wb3FiB29SOD4ZfoO,Getter,Allegiance,0.739,0.876,11,-6.771,1,0.0504,0.00599,0.446,0.274,0.479,149.994
Hack Slash,6UOl745lWAneeE6BhdemYm,Getter,Dahlia I,0.699,0.987,8,-0.733,0,0.167,0.0226,0.000542,0.343,0.266,129.752
Bury Me,23r82frulzvDZ0SihIhEVU,Getter,Bury Me,0.735,0.933,1,-2.151,0,0.0787,0.0185,0.0107,0.1,0.116,129.986
Magazine,2O4GR8PGCKkXYqG5F7SeSY,Getter,Radical $uicide,0.88,0.882,8,-1.053,1,0.0988,0.259,0.000604,0.109,0.202,119.983
Inhalant Abuse,3dp1h5u2r9OSLjK0RNalML,Getter,Inhalant Abuse,0.601,0.723,1,-3.276,1,0.0599,0.00679,0.129,0.399,0.255,150.107
Why is it Still Raining,0mCb4Ci7C2I0zTkt0cbK5w,Getter,Some Creature,0.617,0.577,7,-7.162,0,0.0738,0.123,0.883,0.514,0.0738,99.977
Rip N Dip - Kill The Noise Remix,19a5WB80bENuYtPxtsknVp,Getter,Rip N Dip (Remixes),0.458,0.968,3,-2.825,1,0.21,0.0116,0.0506,0.076,0.037,112.034
With No Eyes,5ucJYSn12Lnkp9EiUKZHsd,Getter,Some Creature,0.783,0.993,10,-1.935,0,0.26,0.207,0.388,0.378,0.289,109.953
HOLE IN THE BOAT,4nvQeldwsXVpR12c0KSqRZ,Getter,NAPALM,0.234,0.567,1,-8.084,1,0.0405,0.811,0.286,0.0643,0.055,100.037
Wat The Frick - VIP Mix,0wewdo2UhWFazKdihDRk0Q,Getter,Wat The Frick EP,0.599,0.981,1,-1.148,1,0.105,2.64e-05,0.34,0.671,0.0806,75.041
Hawt - Getter Remix,6TqvZrSnjkGKLSVo6plkl5,Getter,Geekin (Remixes),0.624,0.994,2,-0.967,1,0.319,0.000994,0.315,0.436,0.296,75.017
Back,6BO5xO7Kbvw23tj185JJN6,Getter,Radical Dude!,0.593,0.947,1,-1.349,1,0.22,9.3e-05,0.897,0.444,0.54,159.968
666!,40SfMmB5d1xaB4ZWTe06nh,Getter,666!,0.758,0.98,9,-1.871,1,0.0904,0.00732,0.151,0.667,0.276,123.957
